syear,age_gr,sampreg,plb0196_h,proportion,n,lower_confidence,upper_confidence
1986,30-45 J.,West,2.0,0.3694237918215613,10583,0.36022813205126913,0.3786194515918535
1986,46-65 J.,West,2.0,0.3152881040892193,10583,0.3064357372553267,0.32414047092311193
1986,17-29 J.,West,2.0,0.30855018587360594,10583,0.29974993786546117,0.3173504338817507
1986,66 und älter,West,2.0,0.006737918215613383,10583,0.005179275877091683,0.008296560554135083
1988,30-45 J.,West,2.0,0.3628428927680798,9970,0.3534046516404886,0.37228113389567097
1988,46-65 J.,West,2.0,0.3276807980049875,9970,0.3184673594017816,0.3368942366081934
1988,17-29 J.,West,2.0,0.30174563591022446,9970,0.29273540708753165,0.3107558647329173
1988,66 und älter,West,2.0,0.0077306733167082295,9970,0.006011451411285807,0.009449895222130652
1989,30-45 J.,West,2.0,0.36051054962229745,9662,0.3509364435236048,0.3700846557209901
1989,46-65 J.,West,2.0,0.322219327949987,9662,0.3129008938421677,0.3315377620578063
1989,17-29 J.,West,2.0,0.3089346183902058,9662,0.2997213141591397,0.3181479226212719
1989,66 und älter,West,2.0,0.008335504037509768,9662,0.006522616471778004,0.010148391603241533
1990,30-45 J.,West,2.0,0.23079497907949792,13886,0.22378685593723802,0.23780310222175782
1990,46-65 J.,West,2.0,0.19397489539748955,13886,0.1873980968636116,0.2005516939313675
1990,17-29 J.,West,2.0,0.1897907949790795,13886,0.18326845173991824,0.19631313821824076
1990,30-45 J.,East,2.0,0.1509623430962343,13886,0.1450075691272156,0.156917117065253
1990,46-65 J.,East,2.0,0.12435146443514644,13886,0.11886291151724195,0.12984001735305095
1990,17-29 J.,East,2.0,0.10276150627615063,13886,0.09771097958687205,0.10781203296542921
1990,66 und älter,West,2.0,0.004518828451882845,13886,0.003403258152341415,0.005634398751424276
1990,66 und älter,East,2.0,0.0028451882845188284,13886,0.001959248323328827,0.00373112824570883
1991,30-45 J.,West,2.0,0.2420754382858155,13586,0.2348726836560177,0.24927819291561326
1991,46-65 J.,West,2.0,0.2064813175137241,13586,0.19967473324496163,0.21328790178248655
1991,17-29 J.,West,2.0,0.1972728882592527,13586,0.19058131967680872,0.2039644568416967
1991,30-45 J.,East,2.0,0.15229325305471933,13586,0.14625135465594583,0.15833515145349283
1991,46-65 J.,East,2.0,0.10802195856206835,13586,0.10280228465969947,0.11324163246443723
1991,17-29 J.,East,2.0,0.0874800779174783,13586,0.08272906704608803,0.09223108878886858
1991,66 und älter,West,2.0,0.005312555339118116,13586,0.004090177922329884,0.006534932755906347
1991,66 und älter,East,2.0,0.0010625110678236232,13586,0.0005146806359689528,0.0016103414996782935
1992,30-45 J.,West,2.0,0.26990445859872614,13316,0.26236458516676125,0.277444332030691
1992,46-65 J.,West,2.0,0.2289012738853503,13316,0.22176538176577304,0.23603716600492758
1992,17-29 J.,West,2.0,0.21178343949044587,13316,0.20484378330836817,0.21872309567252357
1992,30-45 J.,East,2.0,0.13296178343949044,13316,0.12719476003182117,0.1387288068471597
1992,46-65 J.,East,2.0,0.08280254777070063,13316,0.07812172230447835,0.08748337323692292
1992,17-29 J.,East,2.0,0.06886942675159236,13316,0.06456824588201529,0.07317060762116942
1992,66 und älter,West,2.0,0.003980891719745223,13316,0.002911361166090396,0.00505042227340005
1992,66 und älter,East,2.0,0.0007961783439490446,13316,0.0003171056678119223,0.001275251020086167
1993,30-45 J.,West,2.0,0.2912621359223301,13101,0.283481973193113,0.29904229865154713
1993,46-65 J.,West,2.0,0.23563915857605178,13101,0.22837179656106407,0.24290652059103948
1993,17-29 J.,West,2.0,0.21419902912621358,13101,0.20717366437177587,0.2212243938806513
1993,30-45 J.,East,2.0,0.12317961165048544,13101,0.11755194216635194,0.12880728113461892
1993,17-29 J.,East,2.0,0.06614077669902912,13101,0.06188499640223798,0.07039655699582027
1993,46-65 J.,East,2.0,0.06432038834951456,13101,0.060119493992376934,0.0685212827066522
1993,66 und älter,West,2.0,0.00465210355987055,13101,0.0034868619448196825,0.005817345174921418
1993,66 und älter,East,2.0,0.0006067961165048543,13101,0.00018510598248401062,0.001028486250525698
1994,30-45 J.,West,2.0,0.29228421970357454,12873,0.28442737243710964,0.30014106697003945
