"plb0196_h","year","bildungsniveau","n","percent","lower_confidence","upper_confidence"
"Ja","1986","(noch) kein Abschluss","","","",""
"Ja","1986","Hauptschule","","","",""
"Ja","1986","Realschule","","","",""
"Ja","1986","(Fach-)Abitur","","","",""
"Ja","1986","AkademikerIn","","","",""
"Nein","1986","(noch) kein Abschluss","388","1","1","1"
"Nein","1986","Hauptschule","2522","1","1","1"
"Nein","1986","Realschule","713","1","1","1"
"Nein","1986","(Fach-)Abitur","289","1","1","1"
"Nein","1986","AkademikerIn","324","1","1","1"
"Ja","1987","(noch) kein Abschluss","","","",""
"Ja","1987","Hauptschule","","","",""
"Ja","1987","Realschule","","","",""
"Ja","1987","(Fach-)Abitur","","","",""
"Ja","1987","AkademikerIn","","","",""
"Nein","1987","(noch) kein Abschluss","","","",""
"Nein","1987","Hauptschule","","","",""
"Nein","1987","Realschule","","","",""
"Nein","1987","(Fach-)Abitur","","","",""
"Nein","1987","AkademikerIn","","","",""
"Ja","1988","(noch) kein Abschluss","","","",""
"Ja","1988","Hauptschule","","","",""
"Ja","1988","Realschule","","","",""
"Ja","1988","(Fach-)Abitur","","","",""
"Ja","1988","AkademikerIn","","","",""
"Nein","1988","(noch) kein Abschluss","324","1","1","1"
"Nein","1988","Hauptschule","2322","1","1","1"
"Nein","1988","Realschule","719","1","1","1"
"Nein","1988","(Fach-)Abitur","251","1","1","1"
"Nein","1988","AkademikerIn","310","1","1","1"
"Ja","1989","(noch) kein Abschluss","","","",""
"Ja","1989","Hauptschule","","","",""
"Ja","1989","Realschule","","","",""
"Ja","1989","(Fach-)Abitur","","","",""
"Ja","1989","AkademikerIn","","","",""
"Nein","1989","(noch) kein Abschluss","304","1","1","1"
"Nein","1989","Hauptschule","2225","1","1","1"
"Nein","1989","Realschule","671","1","1","1"
"Nein","1989","(Fach-)Abitur","263","1","1","1"
"Nein","1989","AkademikerIn","295","1","1","1"
"Ja","1990","(noch) kein Abschluss","","","",""
"Ja","1990","Hauptschule","","","",""
"Ja","1990","Realschule","","","",""
"Ja","1990","(Fach-)Abitur","","","",""
"Ja","1990","AkademikerIn","","","",""
"Nein","1990","(noch) kein Abschluss","300","1","1","1"
"Nein","1990","Hauptschule","2117","1","1","1"
"Nein","1990","Realschule","662","1","1","1"
"Nein","1990","(Fach-)Abitur","259","1","1","1"
"Nein","1990","AkademikerIn","266","1","1","1"
"Ja","1991","(noch) kein Abschluss","","","",""
"Ja","1991","Hauptschule","","","",""
"Ja","1991","Realschule","","","",""
"Ja","1991","(Fach-)Abitur","","","",""
"Ja","1991","AkademikerIn","","","",""
"Nein","1991","(noch) kein Abschluss","316","1","1","1"
"Nein","1991","Hauptschule","2709","1","1","1"
"Nein","1991","Realschule","1466","1","1","1"
"Nein","1991","(Fach-)Abitur","322","1","1","1"
"Nein","1991","AkademikerIn","728","1","1","1"
"Ja","1992","(noch) kein Abschluss","","","",""
"Ja","1992","Hauptschule","","","",""
"Ja","1992","Realschule","","","",""
"Ja","1992","(Fach-)Abitur","","","",""
"Ja","1992","AkademikerIn","","","",""
"Nein","1992","(noch) kein Abschluss","284","1","1","1"
"Nein","1992","Hauptschule","2482","1","1","1"
"Nein","1992","Realschule","1231","1","1","1"
"Nein","1992","(Fach-)Abitur","312","1","1","1"
"Nein","1992","AkademikerIn","612","1","1","1"
"Ja","1993","(noch) kein Abschluss","","","",""
"Ja","1993","Hauptschule","","","",""
"Ja","1993","Realschule","","","",""
"Ja","1993","(Fach-)Abitur","","","",""
"Ja","1993","AkademikerIn","","","",""
"Nein","1993","(noch) kein Abschluss","282","1","1","1"
"Nein","1993","Hauptschule","2372","1","1","1"
"Nein","1993","Realschule","1245","1","1","1"
"Nein","1993","(Fach-)Abitur","342","1","1","1"
"Nein","1993","AkademikerIn","581","1","1","1"
"Ja","1994","(noch) kein Abschluss","","","",""
"Ja","1994","Hauptschule","","","",""
"Ja","1994","Realschule","","","",""
"Ja","1994","(Fach-)Abitur","","","",""
"Ja","1994","AkademikerIn","","","",""
"Nein","1994","(noch) kein Abschluss","258","1","1","1"
"Nein","1994","Hauptschule","2079","1","1","1"
"Nein","1994","Realschule","1188","1","1","1"
"Nein","1994","(Fach-)Abitur","331","1","1","1"
"Nein","1994","AkademikerIn","592","1","1","1"
"Ja","1995","(noch) kein Abschluss","","","",""
"Ja","1995","Hauptschule","","","",""
"Ja","1995","Realschule","","","",""
"Ja","1995","(Fach-)Abitur","","","",""
"Ja","1995","AkademikerIn","","","",""
"Nein","1995","(noch) kein Abschluss","211","1","1","1"
"Nein","1995","Hauptschule","2025","1","1","1"
"Nein","1995","Realschule","1206","1","1","1"
"Nein","1995","(Fach-)Abitur","367","1","1","1"
"Nein","1995","AkademikerIn","636","1","1","1"
"Ja","1996","(noch) kein Abschluss","","","",""
"Ja","1996","Hauptschule","","","",""
"Ja","1996","Realschule","","","",""
"Ja","1996","(Fach-)Abitur","","","",""
"Ja","1996","AkademikerIn","","","",""
"Nein","1996","(noch) kein Abschluss","194","1","1","1"
"Nein","1996","Hauptschule","1957","1","1","1"
"Nein","1996","Realschule","1183","1","1","1"
"Nein","1996","(Fach-)Abitur","347","1","1","1"
"Nein","1996","AkademikerIn","628","1","1","1"
"Ja","1997","(noch) kein Abschluss","","","",""
"Ja","1997","Hauptschule","","","",""
"Ja","1997","Realschule","","","",""
"Ja","1997","(Fach-)Abitur","","","",""
"Ja","1997","AkademikerIn","","","",""
"Nein","1997","(noch) kein Abschluss","46","1","1","1"
"Nein","1997","Hauptschule","590","1","1","1"
"Nein","1997","Realschule","441","1","1","1"
"Nein","1997","(Fach-)Abitur","111","1","1","1"
"Nein","1997","AkademikerIn","194","1","1","1"
"Ja","1998","(noch) kein Abschluss","","","",""
"Ja","1998","Hauptschule","","","",""
"Ja","1998","Realschule","","","",""
"Ja","1998","(Fach-)Abitur","","","",""
"Ja","1998","AkademikerIn","","","",""
"Nein","1998","(noch) kein Abschluss","37","1","1","1"
"Nein","1998","Hauptschule","599","1","1","1"
"Nein","1998","Realschule","482","1","1","1"
"Nein","1998","(Fach-)Abitur","105","1","1","1"
"Nein","1998","AkademikerIn","215","1","1","1"
"Ja","1999","(noch) kein Abschluss","","","",""
"Ja","1999","Hauptschule","","","",""
"Ja","1999","Realschule","","","",""
"Ja","1999","(Fach-)Abitur","","","",""
"Ja","1999","AkademikerIn","","","",""
"Nein","1999","(noch) kein Abschluss","35","1","1","1"
"Nein","1999","Hauptschule","536","1","1","1"
"Nein","1999","Realschule","497","1","1","1"
"Nein","1999","(Fach-)Abitur","94","1","1","1"
"Nein","1999","AkademikerIn","207","1","1","1"
"Ja","2000","(noch) kein Abschluss","","","",""
"Ja","2000","Hauptschule","","","",""
"Ja","2000","Realschule","","","",""
"Ja","2000","(Fach-)Abitur","","","",""
"Ja","2000","AkademikerIn","","","",""
"Nein","2000","(noch) kein Abschluss","","","",""
"Nein","2000","Hauptschule","921","1","1","1"
"Nein","2000","Realschule","885","1","1","1"
"Nein","2000","(Fach-)Abitur","243","1","1","1"
"Nein","2000","AkademikerIn","431","1","1","1"
"Ja","2001","(noch) kein Abschluss","","","",""
"Ja","2001","Hauptschule","","","",""
"Ja","2001","Realschule","","","",""
"Ja","2001","(Fach-)Abitur","","","",""
"Ja","2001","AkademikerIn","","","",""
"Nein","2001","(noch) kein Abschluss","","","",""
"Nein","2001","Hauptschule","","","",""
"Nein","2001","Realschule","","","",""
"Nein","2001","(Fach-)Abitur","","","",""
"Nein","2001","AkademikerIn","","","",""
"Ja","2002","(noch) kein Abschluss","37","0.652710796002953","0.535144223864967","0.77027736814094"
"Ja","2002","Hauptschule","1315","0.617456373217852","0.596590197611263","0.63832254882444"
"Ja","2002","Realschule","1834","0.697635126410391","0.680122087099253","0.715148165721528"
"Ja","2002","(Fach-)Abitur","651","0.716559903478067","0.687133133770975","0.745986673185159"
"Ja","2002","AkademikerIn","1736","0.784564474456313","0.767385005681233","0.801743943231394"
"Nein","2002","(noch) kein Abschluss","","","",""
"Nein","2002","Hauptschule","769","0.382543626782148","0.36167745117556","0.403409802388737"
"Nein","2002","Realschule","808","0.302364873589609","0.284851834278471","0.319877912900747"
"Nein","2002","(Fach-)Abitur","250","0.283440096521933","0.254013326814841","0.312866866229025"
"Nein","2002","AkademikerIn","464","0.215435525543686","0.198256056768606","0.232614994318767"
"Ja","2003","(noch) kein Abschluss","","","",""
"Ja","2003","Hauptschule","1230","0.625863594330662","0.604413483526138","0.647313705135185"
"Ja","2003","Realschule","1773","0.699883700413279","0.682130124580495","0.717637276246063"
"Ja","2003","(Fach-)Abitur","657","0.712798711445545","0.683482071785903","0.742115351105187"
"Ja","2003","AkademikerIn","1573","0.789042171235828","0.771272331609234","0.806812010862421"
"Nein","2003","(noch) kein Abschluss","","","",""
"Nein","2003","Hauptschule","725","0.374136405669338","0.352686294864815","0.395586516473862"
"Nein","2003","Realschule","787","0.300116299586721","0.282362723753937","0.317869875419505"
"Nein","2003","(Fach-)Abitur","258","0.287201288554455","0.257884648894813","0.316517928214097"
"Nein","2003","AkademikerIn","452","0.210957828764172","0.193187989137579","0.228727668390766"
"Ja","2004","(noch) kein Abschluss","","","",""
"Ja","2004","Hauptschule","1179","0.638752375099358","0.616665239798612","0.660839510400104"
"Ja","2004","Realschule","1779","0.710450478790971","0.69263585117211","0.728265106409832"
"Ja","2004","(Fach-)Abitur","627","0.742379903146018","0.713502169276382","0.771257637015654"
"Ja","2004","AkademikerIn","1510","0.754826127482396","0.735910980819254","0.773741274145538"
"Nein","2004","(noch) kein Abschluss","","","",""
"Nein","2004","Hauptschule","638","0.361247624900642","0.339160489599896","0.383334760201388"
"Nein","2004","Realschule","711","0.289549521209029","0.271734893590168","0.30736414882789"
"Nein","2004","(Fach-)Abitur","254","0.257620096853983","0.228742362984347","0.286497830723618"
"Nein","2004","AkademikerIn","477","0.245173872517604","0.226258725854462","0.264089019180746"
"Ja","2005","(noch) kein Abschluss","","","",""
"Ja","2005","Hauptschule","1095","0.660978915556382","0.63814493053273","0.683812900580034"
"Ja","2005","Realschule","1630","0.707726231063081","0.689227388786848","0.726225073339313"
"Ja","2005","(Fach-)Abitur","601","0.67900912125047","0.647362372268724","0.710655870232215"
