"plb0196_h","year","bildungsniveau","sex","n","percent","lower_confidence","upper_confidence"
"Nein","1990","(Fach-)Abitur","weiblich","109","1","1","1"
"Nein","1990","AkademikerIn","maennlich","169","1","1","1"
"Nein","1990","AkademikerIn","weiblich","97","1","1","1"
"Ja","1991","(noch) kein Abschluss","maennlich","","","",""
"Ja","1991","(noch) kein Abschluss","weiblich","","","",""
"Ja","1991","Hauptschule","maennlich","","","",""
"Ja","1991","Hauptschule","weiblich","","","",""
"Ja","1991","Realschule","maennlich","","","",""
"Ja","1991","Realschule","weiblich","","","",""
"Ja","1991","(Fach-)Abitur","maennlich","","","",""
"Ja","1991","(Fach-)Abitur","weiblich","","","",""
"Ja","1991","AkademikerIn","maennlich","","","",""
"Ja","1991","AkademikerIn","weiblich","","","",""
"Nein","1991","(noch) kein Abschluss","maennlich","166","1","1","1"
"Nein","1991","(noch) kein Abschluss","weiblich","150","1","1","1"
"Nein","1991","Hauptschule","maennlich","1486","1","1","1"
"Nein","1991","Hauptschule","weiblich","1223","1","1","1"
"Nein","1991","Realschule","maennlich","735","1","1","1"
"Nein","1991","Realschule","weiblich","731","1","1","1"
"Nein","1991","(Fach-)Abitur","maennlich","189","1","1","1"
"Nein","1991","(Fach-)Abitur","weiblich","133","1","1","1"
"Nein","1991","AkademikerIn","maennlich","367","1","1","1"
"Nein","1991","AkademikerIn","weiblich","361","1","1","1"
"Ja","1992","(noch) kein Abschluss","maennlich","","","",""
"Ja","1992","(noch) kein Abschluss","weiblich","","","",""
"Ja","1992","Hauptschule","maennlich","","","",""
"Ja","1992","Hauptschule","weiblich","","","",""
"Ja","1992","Realschule","maennlich","","","",""
"Ja","1992","Realschule","weiblich","","","",""
"Ja","1992","(Fach-)Abitur","maennlich","","","",""
"Ja","1992","(Fach-)Abitur","weiblich","","","",""
"Ja","1992","AkademikerIn","maennlich","","","",""
"Ja","1992","AkademikerIn","weiblich","","","",""
"Nein","1992","(noch) kein Abschluss","maennlich","151","1","1","1"
"Nein","1992","(noch) kein Abschluss","weiblich","133","1","1","1"
"Nein","1992","Hauptschule","maennlich","1410","1","1","1"
"Nein","1992","Hauptschule","weiblich","1072","1","1","1"
"Nein","1992","Realschule","maennlich","594","1","1","1"
"Nein","1992","Realschule","weiblich","637","1","1","1"
"Nein","1992","(Fach-)Abitur","maennlich","192","1","1","1"
"Nein","1992","(Fach-)Abitur","weiblich","120","1","1","1"
"Nein","1992","AkademikerIn","maennlich","314","1","1","1"
"Nein","1992","AkademikerIn","weiblich","298","1","1","1"
"Ja","1993","(noch) kein Abschluss","maennlich","","","",""
"Ja","1993","(noch) kein Abschluss","weiblich","","","",""
"Ja","1993","Hauptschule","maennlich","","","",""
"Ja","1993","Hauptschule","weiblich","","","",""
"Ja","1993","Realschule","maennlich","","","",""
"Ja","1993","Realschule","weiblich","","","",""
"Ja","1993","(Fach-)Abitur","maennlich","","","",""
"Ja","1993","(Fach-)Abitur","weiblich","","","",""
"Ja","1993","AkademikerIn","maennlich","","","",""
"Ja","1993","AkademikerIn","weiblich","","","",""
"Nein","1993","(noch) kein Abschluss","maennlich","151","1","1","1"
"Nein","1993","(noch) kein Abschluss","weiblich","131","1","1","1"
"Nein","1993","Hauptschule","maennlich","1362","1","1","1"
"Nein","1993","Hauptschule","weiblich","1010","1","1","1"
"Nein","1993","Realschule","maennlich","596","1","1","1"
"Nein","1993","Realschule","weiblich","649","1","1","1"
"Nein","1993","(Fach-)Abitur","maennlich","196","1","1","1"
"Nein","1993","(Fach-)Abitur","weiblich","146","1","1","1"
"Nein","1993","AkademikerIn","maennlich","296","1","1","1"
"Nein","1993","AkademikerIn","weiblich","285","1","1","1"
"Ja","1994","(noch) kein Abschluss","maennlich","","","",""
"Ja","1994","(noch) kein Abschluss","weiblich","","","",""
"Ja","1994","Hauptschule","maennlich","","","",""
"Ja","1994","Hauptschule","weiblich","","","",""
"Ja","1994","Realschule","maennlich","","","",""
"Ja","1994","Realschule","weiblich","","","",""
"Ja","1994","(Fach-)Abitur","maennlich","","","",""
"Ja","1994","(Fach-)Abitur","weiblich","","","",""
"Ja","1994","AkademikerIn","maennlich","","","",""
"Ja","1994","AkademikerIn","weiblich","","","",""
"Nein","1994","(noch) kein Abschluss","maennlich","132","1","1","1"
"Nein","1994","(noch) kein Abschluss","weiblich","126","1","1","1"
"Nein","1994","Hauptschule","maennlich","1192","1","1","1"
"Nein","1994","Hauptschule","weiblich","887","1","1","1"
"Nein","1994","Realschule","maennlich","574","1","1","1"
"Nein","1994","Realschule","weiblich","614","1","1","1"
"Nein","1994","(Fach-)Abitur","maennlich","172","1","1","1"
"Nein","1994","(Fach-)Abitur","weiblich","159","1","1","1"
"Nein","1994","AkademikerIn","maennlich","306","1","1","1"
"Nein","1994","AkademikerIn","weiblich","286","1","1","1"
"Ja","1995","(noch) kein Abschluss","maennlich","","","",""
"Ja","1995","(noch) kein Abschluss","weiblich","","","",""
"Ja","1995","Hauptschule","maennlich","","","",""
"Ja","1995","Hauptschule","weiblich","","","",""
"Ja","1995","Realschule","maennlich","","","",""
"Ja","1995","Realschule","weiblich","","","",""
"Ja","1995","(Fach-)Abitur","maennlich","","","",""
"Ja","1995","(Fach-)Abitur","weiblich","","","",""
"Ja","1995","AkademikerIn","maennlich","","","",""
"Ja","1995","AkademikerIn","weiblich","","","",""
"Nein","1995","(noch) kein Abschluss","maennlich","110","1","1","1"
"Nein","1995","(noch) kein Abschluss","weiblich","101","1","1","1"
"Nein","1995","Hauptschule","maennlich","1167","1","1","1"
"Nein","1995","Hauptschule","weiblich","858","1","1","1"
"Nein","1995","Realschule","maennlich","554","1","1","1"
"Nein","1995","Realschule","weiblich","652","1","1","1"
"Nein","1995","(Fach-)Abitur","maennlich","192","1","1","1"
"Nein","1995","(Fach-)Abitur","weiblich","175","1","1","1"
"Nein","1995","AkademikerIn","maennlich","327","1","1","1"
"Nein","1995","AkademikerIn","weiblich","309","1","1","1"
"Ja","1996","(noch) kein Abschluss","maennlich","","","",""
"Ja","1996","(noch) kein Abschluss","weiblich","","","",""
"Ja","1996","Hauptschule","maennlich","","","",""
"Ja","1996","Hauptschule","weiblich","","","",""
"Ja","1996","Realschule","maennlich","","","",""
"Ja","1996","Realschule","weiblich","","","",""
"Ja","1996","(Fach-)Abitur","maennlich","","","",""
"Ja","1996","(Fach-)Abitur","weiblich","","","",""
"Ja","1996","AkademikerIn","maennlich","","","",""
"Ja","1996","AkademikerIn","weiblich","","","",""
"Nein","1996","(noch) kein Abschluss","maennlich","101","1","1","1"
"Nein","1996","(noch) kein Abschluss","weiblich","93","1","1","1"
"Nein","1996","Hauptschule","maennlich","1137","1","1","1"
"Nein","1996","Hauptschule","weiblich","820","1","1","1"
"Nein","1996","Realschule","maennlich","540","1","1","1"
"Nein","1996","Realschule","weiblich","643","1","1","1"
"Nein","1996","(Fach-)Abitur","maennlich","181","1","1","1"
"Nein","1996","(Fach-)Abitur","weiblich","166","1","1","1"
"Nein","1996","AkademikerIn","maennlich","315","1","1","1"
"Nein","1996","AkademikerIn","weiblich","313","1","1","1"
"Ja","1997","(noch) kein Abschluss","maennlich","","","",""
"Ja","1997","(noch) kein Abschluss","weiblich","","","",""
"Ja","1997","Hauptschule","maennlich","","","",""
"Ja","1997","Hauptschule","weiblich","","","",""
"Ja","1997","Realschule","maennlich","","","",""
"Ja","1997","Realschule","weiblich","","","",""
"Ja","1997","(Fach-)Abitur","maennlich","","","",""
"Ja","1997","(Fach-)Abitur","weiblich","","","",""
"Ja","1997","AkademikerIn","maennlich","","","",""
"Ja","1997","AkademikerIn","weiblich","","","",""
"Nein","1997","(noch) kein Abschluss","maennlich","","","",""
"Nein","1997","(noch) kein Abschluss","weiblich","","","",""
"Nein","1997","Hauptschule","maennlich","401","1","1","1"
"Nein","1997","Hauptschule","weiblich","189","1","1","1"
"Nein","1997","Realschule","maennlich","233","1","1","1"
"Nein","1997","Realschule","weiblich","208","1","1","1"
"Nein","1997","(Fach-)Abitur","maennlich","59","1","1","1"
"Nein","1997","(Fach-)Abitur","weiblich","52","1","1","1"
"Nein","1997","AkademikerIn","maennlich","90","1","1","1"
"Nein","1997","AkademikerIn","weiblich","104","1","1","1"
"Ja","1998","(noch) kein Abschluss","maennlich","","","",""
"Ja","1998","(noch) kein Abschluss","weiblich","","","",""
"Ja","1998","Hauptschule","maennlich","","","",""
"Ja","1998","Hauptschule","weiblich","","","",""
"Ja","1998","Realschule","maennlich","","","",""
"Ja","1998","Realschule","weiblich","","","",""
"Ja","1998","(Fach-)Abitur","maennlich","","","",""
"Ja","1998","(Fach-)Abitur","weiblich","","","",""
"Ja","1998","AkademikerIn","maennlich","","","",""
"Ja","1998","AkademikerIn","weiblich","","","",""
"Nein","1998","(noch) kein Abschluss","maennlich","","","",""
"Nein","1998","(noch) kein Abschluss","weiblich","","","",""
"Nein","1998","Hauptschule","maennlich","381","1","1","1"
"Nein","1998","Hauptschule","weiblich","218","1","1","1"
"Nein","1998","Realschule","maennlich","265","1","1","1"
"Nein","1998","Realschule","weiblich","217","1","1","1"
"Nein","1998","(Fach-)Abitur","maennlich","51","1","1","1"
"Nein","1998","(Fach-)Abitur","weiblich","54","1","1","1"
"Nein","1998","AkademikerIn","maennlich","104","1","1","1"
"Nein","1998","AkademikerIn","weiblich","111","1","1","1"
"Ja","1999","(noch) kein Abschluss","maennlich","","","",""
"Ja","1999","(noch) kein Abschluss","weiblich","","","",""
"Ja","1999","Hauptschule","maennlich","","","",""
"Ja","1999","Hauptschule","weiblich","","","",""
"Ja","1999","Realschule","maennlich","","","",""
"Ja","1999","Realschule","weiblich","","","",""
"Ja","1999","(Fach-)Abitur","maennlich","","","",""
"Ja","1999","(Fach-)Abitur","weiblich","","","",""
"Ja","1999","AkademikerIn","maennlich","","","",""
"Ja","1999","AkademikerIn","weiblich","","","",""
"Nein","1999","(noch) kein Abschluss","maennlich","","","",""
"Nein","1999","(noch) kein Abschluss","weiblich","","","",""
"Nein","1999","Hauptschule","maennlich","351","1","1","1"
"Nein","1999","Hauptschule","weiblich","185","1","1","1"
"Nein","1999","Realschule","maennlich","260","1","1","1"
"Nein","1999","Realschule","weiblich","237","1","1","1"
"Nein","1999","(Fach-)Abitur","maennlich","50","1","1","1"
"Nein","1999","(Fach-)Abitur","weiblich","44","1","1","1"
"Nein","1999","AkademikerIn","maennlich","98","1","1","1"
"Nein","1999","AkademikerIn","weiblich","109","1","1","1"
"Ja","2000","(noch) kein Abschluss","maennlich","","","",""
"Ja","2000","(noch) kein Abschluss","weiblich","","","",""
"Ja","2000","Hauptschule","maennlich","","","",""
"Ja","2000","Hauptschule","weiblich","","","",""
"Ja","2000","Realschule","maennlich","","","",""
"Ja","2000","Realschule","weiblich","","","",""
"Ja","2000","(Fach-)Abitur","maennlich","","","",""
"Ja","2000","(Fach-)Abitur","weiblich","","","",""
"Ja","2000","AkademikerIn","maennlich","","","",""
"Ja","2000","AkademikerIn","weiblich","","","",""
"Nein","2000","(noch) kein Abschluss","maennlich","","","",""
"Nein","2000","(noch) kein Abschluss","weiblich","","","",""
"Nein","2000","Hauptschule","maennlich","607","1","1","1"
"Nein","2000","Hauptschule","weiblich","314","1","1","1"
"Nein","2000","Realschule","maennlich","449","1","1","1"
"Nein","2000","Realschule","weiblich","436","1","1","1"
"Nein","2000","(Fach-)Abitur","maennlich","124","1","1","1"
"Nein","2000","(Fach-)Abitur","weiblich","119","1","1","1"
"Nein","2000","AkademikerIn","maennlich","226","1","1","1"
"Nein","2000","AkademikerIn","weiblich","205","1","1","1"
"Ja","2001","(noch) kein Abschluss","maennlich","","","",""
"Ja","2001","(noch) kein Abschluss","weiblich","","","",""
"Ja","2001","Hauptschule","maennlich","","","",""
"Ja","2001","Hauptschule","weiblich","","","",""
"Ja","2001","Realschule","maennlich","","","",""
"Ja","2001","Realschule","weiblich","","","",""
"Ja","2001","(Fach-)Abitur","maennlich","","","",""
"Ja","2001","(Fach-)Abitur","weiblich","","","",""
"Ja","2001","AkademikerIn","maennlich","","","",""
"Ja","2001","AkademikerIn","weiblich","","","",""
"Nein","2001","(noch) kein Abschluss","maennlich","","","",""
"Nein","2001","(noch) kein Abschluss","weiblich","","","",""
"Nein","2001","Hauptschule","maennlich","","","",""
"Nein","2001","Hauptschule","weiblich","","","",""
"Nein","2001","Realschule","maennlich","","","",""
"Nein","2001","Realschule","weiblich","","","",""
"Nein","2001","(Fach-)Abitur","maennlich","","","",""
"Nein","2001","(Fach-)Abitur","weiblich","","","",""
"Nein","2001","AkademikerIn","maennlich","","","",""
"Nein","2001","AkademikerIn","weiblich","","","",""
"Ja","2002","(noch) kein Abschluss","maennlich","","","",""
"Ja","2002","(noch) kein Abschluss","weiblich","","","",""
"Ja","2002","Hauptschule","maennlich","894","0.629465245692834","0.604167348347671","0.654763143037996"
"Ja","2002","Hauptschule","weiblich","421","0.59351979552988","0.556710513668267","0.630329077391492"
"Ja","2002","Realschule","maennlich","941","0.700980741026428","0.676603695582183","0.725357786470673"
"Ja","2002","Realschule","weiblich","893","0.693667246463774","0.668482874264588","0.718851618662959"
"Ja","2002","(Fach-)Abitur","maennlich","337","0.715771586985429","0.674642594047873","0.756900579922985"
