"plb0196_h","year","age_gr","bildungsniveau","n","percent","lower_confidence","upper_confidence"
"Ja","1986","17-34","(noch) kein Abschluss","","","",""
"Ja","1986","17-34","Hauptschule","","","",""
"Ja","1986","17-34","Realschule","","","",""
"Ja","1986","17-34","(Fach-)Abitur","","","",""
"Ja","1986","17-34","AkademikerIn","","","",""
"Ja","1986","35-65","(noch) kein Abschluss","","","",""
"Ja","1986","35-65","Hauptschule","","","",""
"Ja","1986","35-65","Realschule","","","",""
"Ja","1986","35-65","(Fach-)Abitur","","","",""
"Ja","1986","35-65","AkademikerIn","","","",""
"Ja","1986","66 +","(noch) kein Abschluss","","","",""
"Ja","1986","66 +","Hauptschule","","","",""
"Ja","1986","66 +","Realschule","","","",""
"Ja","1986","66 +","(Fach-)Abitur","","","",""
"Ja","1986","66 +","AkademikerIn","","","",""
"Nein","1986","17-34","(noch) kein Abschluss","90","1","1","1"
"Nein","1986","17-34","Hauptschule","950","1","1","1"
"Nein","1986","17-34","Realschule","442","1","1","1"
"Nein","1986","17-34","(Fach-)Abitur","190","1","1","1"
"Nein","1986","17-34","AkademikerIn","97","1","1","1"
"Nein","1986","35-65","(noch) kein Abschluss","298","1","1","1"
"Nein","1986","35-65","Hauptschule","1557","1","1","1"
"Nein","1986","35-65","Realschule","265","1","1","1"
"Nein","1986","35-65","(Fach-)Abitur","96","1","1","1"
"Nein","1986","35-65","AkademikerIn","222","1","1","1"
"Nein","1986","66 +","(noch) kein Abschluss","","","",""
"Nein","1986","66 +","Hauptschule","15","","",""
"Nein","1986","66 +","Realschule","6","","",""
"Nein","1986","66 +","(Fach-)Abitur","3","","",""
"Nein","1986","66 +","AkademikerIn","5","","",""
"Ja","1987","17-34","(noch) kein Abschluss","","","",""
"Ja","1987","17-34","Hauptschule","","","",""
"Ja","1987","17-34","Realschule","","","",""
"Ja","1987","17-34","(Fach-)Abitur","","","",""
"Ja","1987","17-34","AkademikerIn","","","",""
"Ja","1987","35-65","(noch) kein Abschluss","","","",""
"Ja","1987","35-65","Hauptschule","","","",""
"Ja","1987","35-65","Realschule","","","",""
"Ja","1987","35-65","(Fach-)Abitur","","","",""
"Ja","1987","35-65","AkademikerIn","","","",""
"Ja","1987","66 +","(noch) kein Abschluss","","","",""
"Ja","1987","66 +","Hauptschule","","","",""
"Ja","1987","66 +","Realschule","","","",""
"Ja","1987","66 +","(Fach-)Abitur","","","",""
"Ja","1987","66 +","AkademikerIn","","","",""
"Nein","1987","17-34","(noch) kein Abschluss","","","",""
"Nein","1987","17-34","Hauptschule","","","",""
"Nein","1987","17-34","Realschule","","","",""
"Nein","1987","17-34","(Fach-)Abitur","","","",""
"Nein","1987","17-34","AkademikerIn","","","",""
"Nein","1987","35-65","(noch) kein Abschluss","","","",""
"Nein","1987","35-65","Hauptschule","","","",""
"Nein","1987","35-65","Realschule","","","",""
"Nein","1987","35-65","(Fach-)Abitur","","","",""
"Nein","1987","35-65","AkademikerIn","","","",""
"Nein","1987","66 +","(noch) kein Abschluss","","","",""
"Nein","1987","66 +","Hauptschule","","","",""
"Nein","1987","66 +","Realschule","","","",""
"Nein","1987","66 +","(Fach-)Abitur","","","",""
"Nein","1987","66 +","AkademikerIn","","","",""
"Ja","1988","17-34","(noch) kein Abschluss","","","",""
"Ja","1988","17-34","Hauptschule","","","",""
"Ja","1988","17-34","Realschule","","","",""
"Ja","1988","17-34","(Fach-)Abitur","","","",""
"Ja","1988","17-34","AkademikerIn","","","",""
"Ja","1988","35-65","(noch) kein Abschluss","","","",""
"Ja","1988","35-65","Hauptschule","","","",""
"Ja","1988","35-65","Realschule","","","",""
"Ja","1988","35-65","(Fach-)Abitur","","","",""
"Ja","1988","35-65","AkademikerIn","","","",""
"Ja","1988","66 +","(noch) kein Abschluss","","","",""
"Ja","1988","66 +","Hauptschule","","","",""
"Ja","1988","66 +","Realschule","","","",""
"Ja","1988","66 +","(Fach-)Abitur","","","",""
"Ja","1988","66 +","AkademikerIn","","","",""
"Nein","1988","17-34","(noch) kein Abschluss","76","1","1","1"
"Nein","1988","17-34","Hauptschule","850","1","1","1"
"Nein","1988","17-34","Realschule","431","1","1","1"
"Nein","1988","17-34","(Fach-)Abitur","171","1","1","1"
"Nein","1988","17-34","AkademikerIn","77","1","1","1"
"Nein","1988","35-65","(noch) kein Abschluss","248","1","1","1"
"Nein","1988","35-65","Hauptschule","1459","1","1","1"
"Nein","1988","35-65","Realschule","283","1","1","1"
"Nein","1988","35-65","(Fach-)Abitur","77","1","1","1"
"Nein","1988","35-65","AkademikerIn","223","1","1","1"
"Nein","1988","66 +","(noch) kein Abschluss","","","",""
"Nein","1988","66 +","Hauptschule","13","","",""
"Nein","1988","66 +","Realschule","5","","",""
