"hlf0036","year","n","percent","lower_confidence_percent","upper_confidence_percent"
"Ja","2009","213","0.0170620352533231","0.0145141305210264","0.0196099399856198"
"Nein","2009","9711","0.982937964746677","0.98039006001438","0.985485869478974"
"Ja","2010","383","0.0180463339424058","0.0158026193215936","0.0202900485632181"
"Nein","2010","13139","0.981953666057594","0.979709951436782","0.984197380678406"
"Ja","2011","534","0.0245882905126772","0.0222145454084593","0.0269620356168952"
"Nein","2011","15817","0.975411709487323","0.973037964383105","0.977785454591541"
"Ja","2012","529","0.0262494989789366","0.0237809358169625","0.0287180621409107"
"Nein","2012","15584","0.973750501021063","0.971281937859089","0.976219064183037"
"Ja","2013","567","0.026818886095314","0.0244424989896626","0.0291952732009653"
"Nein","2013","17187","0.973181113904686","0.970804726799035","0.975557501010337"
"Ja","2014","599","0.0334501335522653","0.0306361802234438","0.0362640868810868"
"Nein","2014","15086","0.966549866447735","0.963735913118913","0.969363819776556"
"Ja","2015","560","0.0299065547146275","0.0272312095826701","0.0325818998465849"
"Nein","2015","15011","0.970093445285372","0.967418100153415","0.97276879041733"
"Ja","2016","527","0.0331355735127875","0.0301884848439616","0.0360826621816133"
"Nein","2016","13643","0.966864426487212","0.963917337818387","0.969811515156038"
"Ja","2017","656","0.0374300277068879","0.0344457801988397","0.0404142752149362"
"Nein","2017","14885","0.962569972293112","0.959585724785064","0.96555421980116"
"Ja","2018","636","0.0389529447670367","0.0358786867453551","0.0420272027887184"
"Nein","2018","14580","0.961047055232963","0.957972797211281","0.964121313254645"
"Ja","2019","","","",""
"Nein","2019","","","",""
"Ja","2020","678","0.0350905386099454","0.0322466252481073","0.0379344519717835"
"Nein","2020","15404","0.964909461390055","0.962065548028216","0.967753374751893"
