"hlf0036","year","regtyp","sampreg","n","percent","lower_confidence_percent","upper_confidence_percent"
"Ja","2009","Städtischer Raum","Westdeutschland","96","0.0120813362429099","0.00923014321786648","0.0149325292679533"
"Ja","2009","Städtischer Raum","Ostdeutschland","7","","",""
"Ja","2009","Ländlicher Raum","Westdeutschland","66","0.0363686986228739","0.0277107649449528","0.045026632300795"
"Ja","2009","Ländlicher Raum","Ostdeutschland","44","0.0183937851428695","0.0118505159452511","0.0249370543404879"
"Nein","2009","Städtischer Raum","Westdeutschland","5544","0.98791866375709","0.985067470732047","0.990769856782134"
"Nein","2009","Städtischer Raum","Ostdeutschland","861","0.995404025157903","0.99090439575422","0.999903654561585"
"Nein","2009","Ländlicher Raum","Westdeutschland","1730","0.963631301377126","0.954973367699205","0.972289235055047"
"Nein","2009","Ländlicher Raum","Ostdeutschland","1576","0.981606214857131","0.975062945659512","0.988149484054749"
"Ja","2010","Städtischer Raum","Westdeutschland","187","0.0148070168297722","0.0121209557849295","0.0174930778746149"
"Ja","2010","Städtischer Raum","Ostdeutschland","18","","",""
"Ja","2010","Ländlicher Raum","Westdeutschland","119","0.0302374428071302","0.0237409488319663","0.036733936782294"
"Ja","2010","Ländlicher Raum","Ostdeutschland","59","0.0205742402552089","0.0143420298622635","0.0268064506481543"
"Nein","2010","Städtischer Raum","Westdeutschland","7580","0.985192983170228","0.982506922125385","0.987879044215071"
"Nein","2010","Städtischer Raum","Ostdeutschland","1075","0.992113497081311","0.986869518330346","0.997357475832276"
"Nein","2010","Ländlicher Raum","Westdeutschland","2550","0.96976255719287","0.963266063217706","0.976259051168034"
"Nein","2010","Ländlicher Raum","Ostdeutschland","1934","0.979425759744791","0.973193549351846","0.985657970137736"
"Ja","2011","Städtischer Raum","Westdeutschland","277","0.0211243147455121","0.0181937198646378","0.0240549096263864"
"Ja","2011","Städtischer Raum","Ostdeutschland","22","","",""
"Ja","2011","Ländlicher Raum","Westdeutschland","175","0.0404650766774232","0.0338726542488181","0.0470574991060284"
"Ja","2011","Ländlicher Raum","Ostdeutschland","60","0.0211575835312955","0.0153515236337305","0.0269636434288604"
"Nein","2011","Städtischer Raum","Westdeutschland","8972","0.978875685254488","0.975945090373614","0.981806280135362"
"Nein","2011","Städtischer Raum","Ostdeutschland","1288","0.985214344129417","0.978678553921912","0.991750134336922"
"Nein","2011","Ländlicher Raum","Westdeutschland","3257","0.959534923322577","0.952942500893972","0.966127345751182"
"Nein","2011","Ländlicher Raum","Ostdeutschland","2300","0.978842416468704","0.973036356571139","0.984648476366269"
"Ja","2012","Städtischer Raum","Westdeutschland","288","0.0239017381341848","0.0207488929113263","0.0270545833570432"
"Ja","2012","Städtischer Raum","Ostdeutschland","25","","",""
"Ja","2012","Ländlicher Raum","Westdeutschland","151","0.0378514893145264","0.0314724144823723","0.0442305641466806"
"Ja","2012","Ländlicher Raum","Ostdeutschland","65","0.0258619578437924","0.0194838505372265","0.0322400651503582"
"Nein","2012","Städtischer Raum","Westdeutschland","8728","0.976098261865815","0.972945416642957","0.979251107088674"
"Nein","2012","Städtischer Raum","Ostdeutschland","1255","0.986821364652024","0.980573989318782","0.993068739985265"
"Nein","2012","Ländlicher Raum","Westdeutschland","3287","0.962148510685474","0.955769435853319","0.968527585517628"
"Nein","2012","Ländlicher Raum","Ostdeutschland","2314","0.974138042156208","0.967759934849642","0.980516149462773"
"Ja","2013","Städtischer Raum","Westdeutschland","307","0.0240271422559799","0.0210908354020225","0.0269634491099373"
"Ja","2013","Städtischer Raum","Ostdeutschland","22","","",""
"Ja","2013","Ländlicher Raum","Westdeutschland","175","0.0391753454092396","0.0329121074527869","0.0454385833656922"
"Ja","2013","Ländlicher Raum","Ostdeutschland","63","0.0258387023160411","0.019375862701199","0.0323015419308832"
"Nein","2013","Städtischer Raum","Westdeutschland","10141","0.97597285774402","0.973036550890063","0.978909164597977"
"Nein","2013","Städtischer Raum","Ostdeutschland","1283","0.983873282604682","0.977039118444562","0.990707446764802"
"Nein","2013","Ländlicher Raum","Westdeutschland","3511","0.96082465459076","0.954561416634308","0.967087892547213"
"Nein","2013","Ländlicher Raum","Ostdeutschland","2252","0.974161297683959","0.967698458069117","0.980624137298801"
"Ja","2014","Städtischer Raum","Westdeutschland","322","0.0302874755029272","0.026763065101432","0.0338118859044223"
"Ja","2014","Städtischer Raum","Ostdeutschland","24","","",""
"Ja","2014","Ländlicher Raum","Westdeutschland","186","0.0502217078457468","0.0427325948708781","0.0577108208206155"
"Ja","2014","Ländlicher Raum","Ostdeutschland","67","0.030944250706364","0.023600603014622","0.038287898398106"
"Nein","2014","Städtischer Raum","Westdeutschland","8761","0.969712524497073","0.966188114095578","0.973236934898568"
"Nein","2014","Städtischer Raum","Ostdeutschland","1175","0.985164600891093","0.978321664298034","0.992007537484152"
"Nein","2014","Ländlicher Raum","Westdeutschland","3081","0.949778292154253","0.942289179179385","0.957267405129122"
"Nein","2014","Ländlicher Raum","Ostdeutschland","2069","0.969055749293636","0.961712101601894","0.976399396985378"
"Ja","2015","Städtischer Raum","Westdeutschland","284","0.024961419124565","0.0217481329889157","0.0281747052602144"
"Ja","2015","Städtischer Raum","Ostdeutschland","27","","",""
"Ja","2015","Ländlicher Raum","Westdeutschland","177","0.0475195331422231","0.040255388164935","0.0547836781195112"
"Ja","2015","Ländlicher Raum","Ostdeutschland","72","0.0315026520589762","0.0239154442312845","0.0390898598866679"
"Nein","2015","Städtischer Raum","Westdeutschland","8771","0.975038580875435","0.971825294739786","0.978251867011084"
"Nein","2015","Städtischer Raum","Ostdeutschland","1158","0.981691948098674","0.974058907052758","0.989324989144589"
"Nein","2015","Ländlicher Raum","Westdeutschland","3118","0.952480466857777","0.945216321880489","0.959744611835065"
"Nein","2015","Ländlicher Raum","Ostdeutschland","1964","0.968497347941024","0.960910140113332","0.976084555768715"
"Ja","2016","Städtischer Raum","Westdeutschland","277","0.0293015421056061","0.0256429785718452","0.0329601056393671"
