"hlf0036","year","sampreg","n","percent","lower_confidence_percent","upper_confidence_percent"
"Ja","2009","Westdeutschland","162","0.0178986388435888","0.0148851710143674","0.0209121066728103"
"Ja","2009","Ostdeutschland","51","0.0134363990463421","0.00891235427863367","0.0179604438140505"
"Nein","2009","Westdeutschland","7274","0.982101361156411","0.97908789332719","0.985114828985633"
"Nein","2009","Ostdeutschland","2437","0.986563600953658","0.98203955618595","0.991087645721366"
"Ja","2010","Westdeutschland","306","0.0185303242303734","0.0159429395172175","0.0211177089435293"
"Ja","2010","Ostdeutschland","77","0.0158918999276276","0.0114796567101034","0.0203041431451517"
"Nein","2010","Westdeutschland","10130","0.981469675769627","0.978882291056471","0.984057060482783"
"Nein","2010","Ostdeutschland","3009","0.984108100072372","0.979695856854848","0.988520343289897"
"Ja","2011","Westdeutschland","452","0.0258708862168695","0.0231078584182861","0.0286339140154529"
"Ja","2011","Ostdeutschland","82","0.0188262558099276","0.0144291188224838","0.0232233927973715"
"Nein","2011","Westdeutschland","12229","0.97412911378313","0.971366085984547","0.976892141581714"
"Nein","2011","Ostdeutschland","3588","0.981173744190072","0.976776607202628","0.985570881177516"
"Ja","2012","Westdeutschland","439","0.027348447068922","0.0244840142697631","0.030212879868081"
"Ja","2012","Ostdeutschland","90","0.0213368839097372","0.0166546943323752","0.0260190734870991"
"Nein","2012","Westdeutschland","12015","0.972651552931078","0.969787120131919","0.975515985730237"
"Nein","2012","Ostdeutschland","3569","0.978663116090263","0.973980926512901","0.983345305667625"
"Ja","2013","Westdeutschland","482","0.0277860962055832","0.0250764647274858","0.0304957276836806"
"Ja","2013","Ostdeutschland","85","0.0224249810048229","0.0176017851767621","0.0272481768328837"
"Nein","2013","Westdeutschland","13652","0.972213903794417","0.969504272316319","0.974923535272514"
"Nein","2013","Ostdeutschland","3535","0.977575018995177","0.972751823167116","0.982398214823238"
"Ja","2014","Westdeutschland","508","0.0352767762592902","0.0320232042418927","0.0385303482766877"
"Ja","2014","Ostdeutschland","91","0.0251498390113669","0.0198356535065121","0.0304640245162217"
"Nein","2014","Westdeutschland","11842","0.96472322374071","0.961469651723312","0.967976795758107"
"Nein","2014","Ostdeutschland","3244","0.974850160988633","0.969535975483778","0.980164346493488"
"Ja","2015","Westdeutschland","461","0.0306255364244316","0.0275867354862044","0.0336643373626588"
"Ja","2015","Ostdeutschland","99","0.0266244743685904","0.0210650034732182","0.0321839452639625"
"Nein","2015","Westdeutschland","11889","0.969374463575568","0.966335662637341","0.972413264513796"
"Nein","2015","Ostdeutschland","3122","0.97337552563141","0.967816054736037","0.978934996526782"
"Ja","2016","Westdeutschland","442","0.0338304704765596","0.030472598244709","0.0371883427084101"
"Ja","2016","Ostdeutschland","85","0.0299478548824574","0.0238829959600274","0.0360127138048874"
"Nein","2016","Westdeutschland","10694","0.96616952952344","0.96281165729159","0.969527401755291"
"Nein","2016","Ostdeutschland","2949","0.970052145117543","0.963987286195113","0.976117004039973"
"Ja","2017","Westdeutschland","555","0.0396806017419279","0.036211153425302","0.0431500500585538"
"Ja","2017","Ostdeutschland","101","0.0269157243560631","0.0214598042226976","0.0323716444894286"
"Nein","2017","Westdeutschland","11606","0.960319398258072","0.956849949941446","0.963788846574698"
"Nein","2017","Ostdeutschland","3279","0.973084275643937","0.967628355510571","0.978540195777302"
"Ja","2018","Westdeutschland","529","0.040329983312289","0.0367908435310454","0.0438691230935326"
"Ja","2018","Ostdeutschland","107","0.032447859826496","0.0264442101805661","0.0384515094724258"
"Nein","2018","Westdeutschland","11341","0.959670016687711","0.956130876906467","0.963209156468955"
"Nein","2018","Ostdeutschland","3239","0.967552140173504","0.961548490527574","0.973555789819434"
"Ja","2019","Westdeutschland","","","",""
"Ja","2019","Ostdeutschland","","","",""
"Nein","2019","Westdeutschland","","","",""
"Nein","2019","Ostdeutschland","","","",""
"Ja","2020","Westdeutschland","534","0.0349664451170672","0.0317698864058375","0.0381630038282969"
"Ja","2020","Ostdeutschland","144","0.0356641504811612","0.0294268832986993","0.041901417663623"
"Nein","2020","Westdeutschland","12152","0.965033554882933","0.961836996171703","0.968230113594162"
"Nein","2020","Ostdeutschland","3252","0.964335849518839","0.958098582336377","0.970573116701301"
