"hlf0036","year","hhtyp","n","percent","lower_confidence_percent","upper_confidence_percent"
"Ja","2009","1-Pers.- Haushalt","15","","",""
"Ja","2009","(Ehe-)Paar ohne Kind(er)","80","0.0235651363937516","0.018516603802177","0.0286136689853263"
"Ja","2009","Alleinerziehende","5","","",""
"Ja","2009","Paar mit Kind(ern)","109","0.0311038972099191","0.0248181011070223","0.037389693312816"
"Ja","2009","Sonstige","4","","",""
"Nein","2009","1-Pers.- Haushalt","2761","0.994786263825843","0.992107232599899","0.997465295051787"
"Nein","2009","(Ehe-)Paar ohne Kind(er)","3388","0.976434863606248","0.971386331014674","0.981483396197823"
"Nein","2009","Alleinerziehende","612","0.99258936440974","0.985822023629314","0.999356705190167"
"Nein","2009","Paar mit Kind(ern)","2821","0.968896102790081","0.962610306687184","0.975181898892978"
"Nein","2009","Sonstige","129","0.968872251524704","0.939358162443718","0.998386340605689"
"Ja","2010","1-Pers.- Haushalt","23","","",""
"Ja","2010","(Ehe-)Paar ohne Kind(er)","72","0.0181829325275103","0.0136019955247487","0.0227638695302719"
"Ja","2010","Alleinerziehende","23","","",""
"Ja","2010","Paar mit Kind(ern)","263","0.039420619268376","0.0343389480069948","0.0445022905297572"
"Ja","2010","Sonstige","2","","",""
"Nein","2010","1-Pers.- Haushalt","2603","0.992289205415209","0.988943640735867","0.995634770094551"
"Nein","2010","(Ehe-)Paar ohne Kind(er)","3196","0.98181706747249","0.977236130469728","0.986398004475251"
"Nein","2010","Alleinerziehende","1809","0.992044728021097","0.987976750923963","0.996112705118231"
"Nein","2010","Paar mit Kind(ern)","5370","0.960579380731624","0.955497709470243","0.965661051993005"
"Nein","2010","Sonstige","161","0.99415311195181","0.982448869322283","1.00585735458134"
"Ja","2011","1-Pers.- Haushalt","28","","",""
"Ja","2011","(Ehe-)Paar ohne Kind(er)","120","0.0282677921470414","0.0233030726006106","0.0332325116934723"
"Ja","2011","Alleinerziehende","33","0.0106618910862575","0.00645540128910098","0.0148683808834139"
"Ja","2011","Paar mit Kind(ern)","347","0.0503649748528869","0.044871871418265","0.0558580782875088"
"Ja","2011","Sonstige","6","","",""
