"hlf0036","year","hhtyp","regtyp","n","percent","lower_confidence","upper_confidence"
"Ja","2009","1-Pers.- Haushalt","Staedtischer Raum","","","",""
"Ja","2009","1-Pers.- Haushalt","Laendlicher Raum","","","",""
"Ja","2009","(Ehe-)Paar ohne Kind(er)","Staedtischer Raum","78","0.013303186220131","0.00996243084495749","0.0166439415953044"
"Ja","2009","(Ehe-)Paar ohne Kind(er)","Laendlicher Raum","82","0.0436725956677664","0.0355269081521506","0.0518182831833821"
"Ja","2009","Alleinerziehende","Staedtischer Raum","","","",""
"Ja","2009","Alleinerziehende","Laendlicher Raum","","","",""
"Ja","2009","Paar mit Kind(ern)","Staedtischer Raum","198","0.0263887527250846","0.022643179748152","0.0301343257020171"
"Ja","2009","Paar mit Kind(ern)","Laendlicher Raum","223","0.0457406362240001","0.0391727573273335","0.0523085151206667"
"Ja","2009","Sonstige","Staedtischer Raum","","","",""
"Ja","2009","Sonstige","Laendlicher Raum","","","",""
"Nein","2009","1-Pers.- Haushalt","Staedtischer Raum","1917","0.996354618367208","0.993663093359866","0.999046143374549"
"Nein","2009","1-Pers.- Haushalt","Laendlicher Raum","857","0.99077654898253","0.984398655301545","0.997154442663515"
"Nein","2009","(Ehe-)Paar ohne Kind(er)","Staedtischer Raum","4440","0.986696813779869","0.983356058404696","0.990037569155042"
"Nein","2009","(Ehe-)Paar ohne Kind(er)","Laendlicher Raum","2336","0.956327404332234","0.948181716816618","0.964473091847849"
"Nein","2009","Alleinerziehende","Staedtischer Raum","936","0.997240071273292","0.993882730183012","1.00059741236357"
"Nein","2009","Alleinerziehende","Laendlicher Raum","598","0.987472967194261","0.978625061999511","0.99632087238901"
"Nein","2009","Paar mit Kind(ern)","Staedtischer Raum","6837","0.973611247274915","0.969865674297983","0.977356820251848"
"Nein","2009","Paar mit Kind(ern)","Laendlicher Raum","3664","0.954259363776","0.947691484879333","0.960827242672667"
"Nein","2009","Sonstige","Staedtischer Raum","230","0.988662949112651","0.975155719984836","1.00217017824047"
"Nein","2009","Sonstige","Laendlicher Raum","189","0.964915910611911","0.939025015562518","0.990806805661304"
"Ja","2010","1-Pers.- Haushalt","Staedtischer Raum","","","",""
"Ja","2010","1-Pers.- Haushalt","Laendlicher Raum","","","",""
"Ja","2010","(Ehe-)Paar ohne Kind(er)","Staedtischer Raum","76","0.01297644625439","0.00959223395814172","0.0163606585506383"
"Ja","2010","(Ehe-)Paar ohne Kind(er)","Laendlicher Raum","68","0.0285137473404496","0.0216213618415722","0.0354061328393269"
"Ja","2010","Alleinerziehende","Staedtischer Raum","31","0.00690774321701598","0.00396398069859844","0.00985150573543353"
"Ja","2010","Alleinerziehende","Laendlicher Raum","32","0.0104819637429364","0.00558863251575524","0.0153752949701176"
"Ja","2010","Paar mit Kind(ern)","Staedtischer Raum","571","0.031830117474754","0.0289671640000158","0.0346930709494922"
"Ja","2010","Paar mit Kind(ern)","Laendlicher Raum","509","0.0609565431228573","0.0556894127590833","0.0662236734866312"
"Ja","2010","Sonstige","Staedtischer Raum","","","",""
"Ja","2010","Sonstige","Laendlicher Raum","","","",""
"Nein","2010","1-Pers.- Haushalt","Staedtischer Raum","1788","0.9926174862878","0.988667251435731","0.996567721139869"
"Nein","2010","1-Pers.- Haushalt","Laendlicher Raum","828","0.991563121550853","0.985359348064019","0.997766895037687"
"Nein","2010","(Ehe-)Paar ohne Kind(er)","Staedtischer Raum","4220","0.98702355374561","0.983639341449362","0.990407766041858"
"Nein","2010","(Ehe-)Paar ohne Kind(er)","Laendlicher Raum","2172","0.97148625265955","0.964593867160673","0.978378638158428"
"Nein","2010","Alleinerziehende","Staedtischer Raum","3010","0.993092256782984","0.990148494264566","0.996036019301402"
"Nein","2010","Alleinerziehende","Laendlicher Raum","1632","0.989518036257064","0.984624705029882","0.994411367484245"
"Nein","2010","Paar mit Kind(ern)","Staedtischer Raum","13872","0.968169882525246","0.965306929050508","0.971032835999984"
"Nein","2010","Paar mit Kind(ern)","Laendlicher Raum","7417","0.939043456877143","0.933776326513369","0.944310587240917"
"Nein","2010","Sonstige","Staedtischer Raum","311","0.997247817396053","0.991453217731553","1.00304241706055"
"Nein","2010","Sonstige","Laendlicher Raum","263","0.990819476681683","0.979358061120178","1.00228089224319"
"Ja","2011","1-Pers.- Haushalt","Staedtischer Raum","","","",""
"Ja","2011","1-Pers.- Haushalt","Laendlicher Raum","","","",""
"Ja","2011","(Ehe-)Paar ohne Kind(er)","Staedtischer Raum","132","0.0228255645943103","0.0188517737123411","0.0267993554762796"
"Ja","2011","(Ehe-)Paar ohne Kind(er)","Laendlicher Raum","108","0.0387784463579892","0.0320212425692007","0.0455356501467777"
"Ja","2011","Alleinerziehende","Staedtischer Raum","61","0.0107805532104492","0.00749022384374136","0.0140708825771571"
"Ja","2011","Alleinerziehende","Laendlicher Raum","31","0.0135629225009771","0.00854606741804117","0.018579777583913"
"Ja","2011","Paar mit Kind(ern)","Staedtischer Raum","812","0.0431231858899824","0.0399545818826443","0.0462917898973206"
"Ja","2011","Paar mit Kind(ern)","Laendlicher Raum","627","0.0682155766557078","0.0629950078606223","0.0734361454507932"
"Ja","2011","Sonstige","Staedtischer Raum","","","",""
"Ja","2011","Sonstige","Laendlicher Raum","","","",""
"Nein","2011","1-Pers.- Haushalt","Staedtischer Raum","2350","0.990667086312489","0.986794244719169","0.99453992790581"
"Nein","2011","1-Pers.- Haushalt","Laendlicher Raum","1112","0.989743586923415","0.983848221056467","0.995638952790364"
"Nein","2011","(Ehe-)Paar ohne Kind(er)","Staedtischer Raum","5294","0.97717443540569","0.97320064452372","0.981148226287659"
"Nein","2011","(Ehe-)Paar ohne Kind(er)","Laendlicher Raum","3028","0.961221553642011","0.954464349853222","0.967978757430799"
"Nein","2011","Alleinerziehende","Staedtischer Raum","3723","0.989219446789551","0.985929117422843","0.992509776156259"
"Nein","2011","Alleinerziehende","Laendlicher Raum","2011","0.986437077499023","0.981420222416087","0.991453932581959"
