"hlf0036","year","regtyp","n","percent","lower_confidence_percent","upper_confidence_percent"
"Ja","2009","Städtischer Raum","103","0.0113455272383987","0.00877241382918296","0.0139186406476145"
"Ja","2009","Ländlicher Raum","110","0.0295083166914044","0.02383342879291","0.0351832045898988"
"Nein","2009","Städtischer Raum","6405","0.988654472761601","0.986081359352386","0.991227586170817"
"Nein","2009","Ländlicher Raum","3306","0.970491683308596","0.964816795410101","0.97616657120709"
"Ja","2010","Städtischer Raum","205","0.0141252901087312","0.0116680885552776","0.0165824916621848"
"Ja","2010","Ländlicher Raum","178","0.0266615910996758","0.0220373878041125","0.0312857943952392"
"Nein","2010","Städtischer Raum","8655","0.985874709891269","0.983417508337815","0.988331911444722"
"Nein","2010","Ländlicher Raum","4484","0.973338408900324","0.968714205604761","0.977962612195888"
"Ja","2011","Städtischer Raum","299","0.0205068314051669","0.0178035784760945","0.0232100843342393"
"Ja","2011","Ländlicher Raum","235","0.0334151279552192","0.0287867866697964","0.0380434692406421"
"Nein","2011","Städtischer Raum","10260","0.979493168594833","0.976789915665761","0.982196421523906"
"Nein","2011","Ländlicher Raum","5557","0.966584872044781","0.961956530759358","0.971213213330204"
"Ja","2012","Städtischer Raum","313","0.0228740211562847","0.0199862660311138","0.0257617762814557"
"Ja","2012","Ländlicher Raum","216","0.0334389600082676","0.0288189854610629","0.0380589345554723"
"Nein","2012","Städtischer Raum","9983","0.977125978843715","0.974238223718544","0.980013733968886"
"Nein","2012","Ländlicher Raum","5601","0.966561039991732","0.961941065444528","0.971181014538937"
"Ja","2013","Städtischer Raum","329","0.0232899738023559","0.0205632506488174","0.0260166969558943"
"Ja","2013","Ländlicher Raum","238","0.034304922562398","0.0296998708856185","0.0389099742391776"
"Nein","2013","Städtischer Raum","11424","0.976710026197644","0.973983303044106","0.979436749351183"
"Nein","2013","Ländlicher Raum","5763","0.965695077437602","0.961090025760822","0.970300129114381"
"Ja","2014","Städtischer Raum","346","0.0288117540908156","0.025578455226251","0.0320450529553803"
"Ja","2014","Ländlicher Raum","253","0.043277952116703","0.037852238716203","0.048703665517203"
"Nein","2014","Städtischer Raum","9936","0.971188245909184","0.96795494704462","0.974421544773749"
"Nein","2014","Ländlicher Raum","5150","0.956722047883297","0.951296334482797","0.962147761283797"
"Ja","2015","Städtischer Raum","311","0.0243121183949977","0.0213290379226103","0.0272951988673851"
"Ja","2015","Ländlicher Raum","249","0.0418368261393456","0.036462266920441","0.0472113853582502"
"Nein","2015","Städtischer Raum","9929","0.975687881605002","0.972704801132615","0.97867096207739"
"Nein","2015","Ländlicher Raum","5082","0.958163173860654","0.95278861464175","0.963537733079559"
"Ja","2016","Städtischer Raum","299","0.0287377217055037","0.0253367528698734","0.0321386905411341"
"Ja","2016","Ländlicher Raum","228","0.042638742720548","0.0369816907270875","0.0482957947140084"
"Nein","2016","Städtischer Raum","8971","0.971262278294496","0.967861309458866","0.974663247130127"
"Nein","2016","Ländlicher Raum","4672","0.957361257279452","0.951704205285992","0.963018309272913"
"Ja","2017","Städtischer Raum","376","0.0335009642670428","0.029996548617865","0.0370053799162205"
"Ja","2017","Ländlicher Raum","280","0.0462268654745509","0.0406331696935432","0.0518205612555585"
"Nein","2017","Städtischer Raum","9752","0.966499035732957","0.962994620083779","0.970003451382135"
"Nein","2017","Ländlicher Raum","5133","0.953773134525449","0.948179438744441","0.959366830306457"
"Ja","2018","Städtischer Raum","367","0.03309111900984","0.0295850673718864","0.0365971706477936"
"Ja","2018","Ländlicher Raum","269","0.0519611233074415","0.0459384402131607","0.0579838064017224"
"Nein","2018","Städtischer Raum","9632","0.96690888099016","0.963402829352206","0.970414932628114"
"Nein","2018","Ländlicher Raum","4948","0.948038876692558","0.942016193598277","0.954061559786839"
"Ja","2019","Städtischer Raum","","","",""
"Ja","2019","Ländlicher Raum","","","",""
"Nein","2019","Städtischer Raum","","","",""
"Nein","2019","Ländlicher Raum","","","",""
"Ja","2020","Städtischer Raum","377","0.0280216721370576","0.0249100208294151","0.0311333234447001"
"Ja","2020","Ländlicher Raum","301","0.0504652263020911","0.044558494565481","0.0563719580387012"
"Nein","2020","Städtischer Raum","10429","0.971978327862942","0.9688666765553","0.975089979170585"
"Nein","2020","Ländlicher Raum","4975","0.949534773697909","0.943628041961299","0.955441505434519"
