"year","bildungsniveau","mean","median","n","percentile_10","percentile_25","percentile_75","percentile_90","percentile_99","lower_confidence_mean","upper_confidence_mean","minimum","maximum","lower_confidence_median","upper_confidence_median"
"2002","(Fach-)Abitur","72.76","70.5","2437","54","61","82","92","116","72.15","73.37","40","180","70","71"
"2002","(noch) kein Abschluss","68.98","67.5","897","53","60","78","86","102","68.15","69.81","36","125","65","68"
"2002","AkademikerIn","75.81","74.5","4535","58","65","85","95","112","75.39","76.23","40","150","75","75"
"2002","Hauptschule","75.62","74.5","8838","58","65","85","94","115","75.31","75.93","34","180","75","75"
"2002","Realschule","73.91","71.5","5934","56","62","82","94","120","73.52","74.3","36","180","71","72"
"2003","(Fach-)Abitur","","","","","","","","","","","","","",""
"2003","(noch) kein Abschluss","","","","","","","","","","","","","",""
"2003","AkademikerIn","","","","","","","","","","","","","",""
"2003","Hauptschule","","","","","","","","","","","","","",""
"2003","Realschule","","","","","","","","","","","","","",""
"2004","(Fach-)Abitur","73.43","71.5","2373","55","62","83","93","120","72.82","74.04","40","200","70","72"
"2004","(noch) kein Abschluss","69","68.5","898","52","60","78","86","107","68.13","69.87","35","120","65","68"
"2004","AkademikerIn","76.13","74.5","4267","58","65","85","95","115","75.68","76.58","38","210","75","76"
"2004","Hauptschule","76.28","74.5","7971","58","65","85","95","120","75.95","76.61","32","200","75","76"
"2004","Realschule","75.06","72.5","5559","57","64","85","95","120","74.65","75.47","37","200","72","74"
"2005","(Fach-)Abitur","","","","","","","","","","","","","",""
"2005","(noch) kein Abschluss","","","","","","","","","","","","","",""
"2005","AkademikerIn","","","","","","","","","","","","","",""
"2005","Hauptschule","","","","","","","","","","","","","",""
"2005","Realschule","","","","","","","","","","","","","",""
"2006","(Fach-)Abitur","73.3","71.5","2436","55","62","81","93","120","72.69","73.91","42","167","70","72"
"2006","(noch) kein Abschluss","72.02","69.5","645","54","62","80","90","111","70.9","73.14","35","175","68","70"
"2006","AkademikerIn","76.43","74.5","4554","57","65","85","95","120","75.99","76.87","38","195","75","76"
"2006","Hauptschule","77.21","75.5","8015","59","66","85","97","124","76.86","77.56","34","200","76","77"
"2006","Realschule","76.06","74.5","5689","57","64","85","97","125","75.64","76.48","33","200","74","75"
"2007","(Fach-)Abitur","","","","","","","","","","","","","",""
"2007","(noch) kein Abschluss","","","","","","","","","","","","","",""
"2007","AkademikerIn","","","","","","","","","","","","","",""
"2007","Hauptschule","","","","","","","","","","","","","",""
"2007","Realschule","","","","","","","","","","","","","",""
"2008","(Fach-)Abitur","74.64","72.5","2143","55","63","83","95","122","73.97","75.31","41","230","71","73"
"2008","(noch) kein Abschluss","71.89","70.5","540","54","61","81","90","110","70.69","73.09","35","150","67","70"
"2008","AkademikerIn","76.97","75.5","4168","58","65","86","97","120","76.51","77.43","38","190","75","77"
"2008","Hauptschule","78.02","76.5","6746","60","67","87","98","125","77.64","78.4","38","204","76","78"
"2008","Realschule","76.83","74.5","5043","57","64","86","98","126","76.37","77.29","36","185","75","75"
"2009","(Fach-)Abitur","","","","","","","","","","","","","",""
"2009","(noch) kein Abschluss","","","","","","","","","","","","","",""
"2009","AkademikerIn","","","","","","","","","","","","","",""
"2009","Hauptschule","","","","","","","","","","","","","",""
"2009","Realschule","","","","","","","","","","","","","",""
"2010","(Fach-)Abitur","76.2","73.5","1876","57","64","84","98","135","75.43","76.97","42","250","72","74"
"2010","(noch) kein Abschluss","72.61","69.5","414","55","61","81","93","120","71.16","74.06","35","150","67","70"
"2010","AkademikerIn","77.18","74.5","3814","58","65","86","97","120","76.69","77.67","40","140","75","77"
"2010","Hauptschule","78.37","76.5","5535","60","67","88","100","125","77.94","78.8","39","197","77","78"
"2010","Realschule","77.99","74.5","4416","58","65","88","100","134","77.49","78.49","36","217","75","76"
"2011","(Fach-)Abitur","","","","","","","","","","","","","",""
"2011","(noch) kein Abschluss","","","","","","","","","","","","","",""
"2011","AkademikerIn","","","","","","","","","","","","","",""
"2011","Hauptschule","","","","","","","","","","","","","",""
"2011","Realschule","","","","","","","","","","","","","",""
"2012","(Fach-)Abitur","75.83","73.5","2392","56","64","85","98","130","75.17","76.49","30","170","72","75"
"2012","(noch) kein Abschluss","72.7","69.5","539","54","62","82","94","117","71.29","74.11","30","170","68","71"
"2012","AkademikerIn","76.52","74.5","4605","58","65","86","96","118","76.07","76.97","34","225","75","76"
"2012","Hauptschule","78.81","77.5","6857","60","67","89","100","130","78.42","79.2","39","210","78","78"
"2012","Realschule","78.28","75.5","5372","58","65","89","100","130","77.83","78.73","37","190","75","76"
"2013","(Fach-)Abitur","","","","","","","","","","","","","",""
"2013","(noch) kein Abschluss","","","","","","","","","","","","","",""
"2013","AkademikerIn","","","","","","","","","","","","","",""
"2013","Hauptschule","","","","","","","","","","","","","",""
"2013","Realschule","","","","","","","","","","","","","",""
"2014","(Fach-)Abitur","76.23","73.5","3880","56","64","85","98","130","75.69","76.77","30","180","73","75"
"2014","(noch) kein Abschluss","74.76","71.5","985","55","62","85","98","130","73.66","75.86","35","180","70","72"
"2014","AkademikerIn","76.6","74.5","6165","57","65","86","96","122","76.21","76.99","41","195","75","75"
"2014","Hauptschule","79.39","77.5","8117","59","68","90","100","130","79.01","79.77","35","225","78","79"
"2014","Realschule","78.52","75.5","6764","58","65","89","100","130","78.11","78.93","35","200","75","76"
"2015","(Fach-)Abitur","","","","","","","","","","","","","",""
"2015","(noch) kein Abschluss","","","","","","","","","","","","","",""
"2015","AkademikerIn","","","","","","","","","","","","","",""
"2015","Hauptschule","","","","","","","","","","","","","",""
"2015","Realschule","","","","","","","","","","","","","",""
"2016","(Fach-)Abitur","76.64","74.5","3610","57","64","86","99","135","76.07","77.21","30","188","73","75"
"2016","(noch) kein Abschluss","74.63","71.5","797","55","62","82","96","122","73.35","75.91","40","230","70","72"
"2016","AkademikerIn","76.98","74.5","5829","58","65","86","97","121","76.57","77.39","39","215","75","75"
"2016","Hauptschule","79.82","77.5","6840","60","68","90","102","133","79.39","80.25","38","200","78","80"
"2016","Realschule","79.88","77.5","5904","59","66","90","104","140","79.42","80.34","36","200","76","78"
"2017","(Fach-)Abitur","","","","","","","","","","","","","",""
"2017","(noch) kein Abschluss","","","","","","","","","","","","","",""
"2017","AkademikerIn","","","","","","","","","","","","","",""
"2017","Hauptschule","","","","","","","","","","","","","",""
"2017","Realschule","","","","","","","","","","","","","",""
"2018","(Fach-)Abitur","77.18","74.5","4467","57","64","87","100","130","76.67","77.69","30","190","74","75"
"2018","(noch) kein Abschluss","75.46","72.5","1972","56","64","83","96","132","74.74","76.18","40","190","72","75"
"2018","AkademikerIn","77.37","75.5","6838","58","65","86","98","125","76.99","77.75","38","187","75","76"
"2018","Hauptschule","80.32","78.5","7324","60","68","90","103","134","79.9","80.74","38","190","78","80"
