"year","regtyp","sampreg","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"2002","Laendlicher Raum","Ostdeutschland","75.42","74.5","3633","57","65","85","95","115","74.94","75.9","41","180","74","75"
"2002","Laendlicher Raum","Westdeutschland","74.73","73.5","4080","57","64","84","93","115","74.27","75.19","34","170","73","74"
"2002","Staedtischer Raum","Ostdeutschland","73.61","72.5","1763","56","63","82","93","110","72.92","74.3","36","140","72","74"
"2002","Staedtischer Raum","Westdeutschland","74.55","73.5","13355","56","64","84","93","118","74.29","74.81","35","180","73","74"
"2003","Laendlicher Raum","Ostdeutschland","","","","","","","","","","","","","",""
"2003","Laendlicher Raum","Westdeutschland","","","","","","","","","","","","","",""
"2003","Staedtischer Raum","Ostdeutschland","","","","","","","","","","","","","",""
"2003","Staedtischer Raum","Westdeutschland","","","","","","","","","","","","","",""
"2004","Laendlicher Raum","Ostdeutschland","75.82","74.5","3432","57","65","85","95","115","75.32","76.32","37","160","74","75"
"2004","Laendlicher Raum","Westdeutschland","75.74","74.5","3782","58","65","85","95","120","75.24","76.24","38","200","73","75"
"2004","Staedtischer Raum","Ostdeutschland","74.24","71.5","1755","56","64","84","93","120","73.52","74.96","41","185","72","74"
"2004","Staedtischer Raum","Westdeutschland","75.14","73.5","12408","57","65","85","95","120","74.87","75.41","32","210","73","74"
"2005","Laendlicher Raum","Ostdeutschland","","","","","","","","","","","","","",""
"2005","Laendlicher Raum","Westdeutschland","","","","","","","","","","","","","",""
"2005","Staedtischer Raum","Ostdeutschland","","","","","","","","","","","","","",""
"2005","Staedtischer Raum","Westdeutschland","","","","","","","","","","","","","",""
"2006","Laendlicher Raum","Ostdeutschland","77","74.5","3506","58","65","85","97","120","76.48","77.52","37","200","75","76"
"2006","Laendlicher Raum","Westdeutschland","76.79","74.5","3982","58","65","85","97","123","76.3","77.28","35","190","75","75"
"2006","Staedtischer Raum","Ostdeutschland","74.65","73.5","1736","57","64","83","95","120","73.96","75.34","37","130","73","75"
