"year","age_gr","quintil_oecd","mean","median","n","percentile_10","percentile_25","percentile_75","percentile_90","percentile_99","lower_confidence_mean","upper_confidence_mean","minimum","maximum","lower_confidence_median","upper_confidence_median"
"2002","17-29","1 Einkommensschwächstes Quintil","68.77","67.5","1133","52","58","78","86","111","67.95","69.59","39","180","65","67"
"2002","17-29","2","70.02","69.5","977","53","60","80","87","110","69.17","70.87","39","125","66","68"
"2002","17-29","3","70.94","69.5","762","53","60","80","90","115","69.93","71.95","34","132","66","70"
"2002","17-29","4","71.15","68.5","726","55","60","80","91","125","70.1","72.2","40","150","66","70"
"2002","17-29","5 Einkommensstärkstes Quintil","71.02","69.5","503","53","60","79","90","110","69.71","72.33","36","172","65","70"
"2002","30-45","1 Einkommensschwächstes Quintil","75.53","74.5","1420","56","63","85","97","125","74.71","76.35","40","177","73","75"
"2002","30-45","2","74.95","74.5","1769","56","63","83","95","120","74.23","75.67","42","170","74","75"
"2002","30-45","3","75.65","74.5","1407","57","64","85","95","123","74.86","76.44","44","160","73","75"
"2002","30-45","4","75.92","74.5","1436","57","64","85","96","117","75.12","76.72","42","170","73","75"
"2002","30-45","5 Einkommensstärkstes Quintil","74.48","73.5","1331","56","63","84","95","117","73.66","75.3","40","136","71","74"
"2002","46-65","1 Einkommensschwächstes Quintil","77.11","74.5","1316","60","67","85","95","117","76.3","77.92","36","175","75","78"
"2002","46-65","2","76.77","74.5","1500","60","66","85","95","115","76.03","77.51","39","170","75","78"
"2002","46-65","3","77.48","75.5","1439","60","68","85","96","120","76.73","78.23","43","180","75","77"
"2002","46-65","4","77.28","76.5","1484","58","66","86","96","115","76.52","78.04","39","160","75","78"
"2002","46-65","5 Einkommensstärkstes Quintil","75.95","74.5","2062","58","65","85","95","118","75.28","76.62","40","169","75","76"
"2002","66","1 Einkommensschwächstes Quintil","72.38","71.5","731","55","64","80","90","105","71.43","73.33","39","140","70","74"
"2002","66","2","74.34","72.5","1037","59","65","83","90","113","73.51","75.17","40","180","73","75"
"2002","66","3","73.51","73.5","759","58","65","82","90","103","72.63","74.39","40","114","72","75"
"2002","66","4","74.53","73.5","546","59","65","83","92","106","73.41","75.65","35","126","72","75"
