"year","age_gr","sex","mean","median","n","lower_confidence","upper_confidence"
"2002","17-34","maennlich","78.9","77.5","2942","78.41","79.39"
"2002","17-34","weiblich","63.74","61.5","3130","63.32","64.16"
"2002","35-65","maennlich","83.76","81.5","6530","83.44","84.08"
"2002","35-65","weiblich","69","67.5","6663","68.69","69.31"
"2002","66 +","maennlich","80.48","79.5","1613","79.9","81.06"
"2002","66 +","weiblich","68.84","67.5","1953","68.32","69.36"
"2003","17-34","maennlich","","","","",""
"2003","17-34","weiblich","","","","",""
"2003","35-65","maennlich","","","","",""
"2003","35-65","weiblich","","","","",""
"2003","66 +","maennlich","","","","",""
"2003","66 +","weiblich","","","","",""
"2004","17-34","maennlich","78.85","77.5","2669","78.32","79.38"
"2004","17-34","weiblich","64.68","61.5","2869","64.23","65.13"
"2004","35-65","maennlich","84.57","82.5","5946","84.22","84.92"
"2004","35-65","weiblich","69.58","67.5","6181","69.25","69.91"
"2004","66 +","maennlich","80.9","79.5","1702","80.32","81.48"
"2004","66 +","weiblich","69.57","68.5","2010","69.03","70.11"
"2005","17-34","maennlich","","","","",""
"2005","17-34","weiblich","","","","",""
"2005","35-65","maennlich","","","","",""
"2005","35-65","weiblich","","","","",""
"2005","66 +","maennlich","","","","",""
"2005","66 +","weiblich","","","","",""
"2006","17-34","maennlich","80.35","78.5","2407","79.78","80.92"
"2006","17-34","weiblich","65.51","62.5","2665","65.01","66.01"
"2006","35-65","maennlich","85.48","83.5","5943","85.12","85.84"
"2006","35-65","weiblich","70.01","67.5","6361","69.67","70.35"
"2006","66 +","maennlich","81.86","79.5","2069","81.3","82.42"
"2006","66 +","weiblich","70.14","69.5","2316","69.62","70.66"
"2007","17-34","maennlich","","","","",""
"2007","17-34","weiblich","","","","",""
"2007","35-65","maennlich","","","","",""
"2007","35-65","weiblich","","","","",""
"2007","66 +","maennlich","","","","",""
"2007","66 +","weiblich","","","","",""
"2008","17-34","maennlich","80.83","77.5","2055","80.2","81.46"
"2008","17-34","weiblich","65.3","62.5","2236","64.77","65.83"
"2008","35-65","maennlich","86.65","84.5","5084","86.25","87.05"
"2008","35-65","weiblich","70.63","67.5","5484","70.26","71"
"2008","66 +","maennlich","82.82","80.5","2029","82.25","83.39"
"2008","66 +","weiblich","70.66","69.5","2226","70.12","71.2"
"2009","17-34","maennlich","","","","",""
"2009","17-34","weiblich","","","","",""
"2009","35-65","maennlich","","","","",""
"2009","35-65","weiblich","","","","",""
"2009","66 +","maennlich","","","","",""
"2009","66 +","weiblich","","","","",""
"2010","17-34","maennlich","82.19","79.5","1696","81.45","82.93"
"2010","17-34","weiblich","65.34","61.5","1820","64.73","65.95"
"2010","35-65","maennlich","87.38","84.5","4289","86.93","87.83"
"2010","35-65","weiblich","71.68","68.5","4696","71.26","72.1"
"2010","66 +","maennlich","82.89","81.5","1908","82.29","83.49"
"2010","66 +","weiblich","70.15","69.5","2068","69.62","70.68"
"2011","17-34","maennlich","","","","",""
"2011","17-34","weiblich","","","","",""
"2011","35-65","maennlich","","","","",""
"2011","35-65","weiblich","","","","",""
"2011","66 +","maennlich","","","","",""
"2011","66 +","weiblich","","","","",""
"2012","17-34","maennlich","81.93","79.5","1949","81.24","82.62"
"2012","17-34","weiblich","65.32","61.5","2107","64.74","65.9"
"2012","35-65","maennlich","87.73","84.5","5148","87.31","88.15"
"2012","35-65","weiblich","72.01","69.5","5884","71.62","72.4"
"2012","66 +","maennlich","82.9","81.5","2507","82.4","83.4"
"2012","66 +","weiblich","70.05","69.5","2629","69.55","70.55"
"2013","17-34","maennlich","","","","",""
"2013","17-34","weiblich","","","","",""
"2013","35-65","maennlich","","","","",""
"2013","35-65","weiblich","","","","",""
"2013","66 +","maennlich","","","","",""
"2013","66 +","weiblich","","","","",""
"2014","17-34","maennlich","81.98","79.5","2946","81.4","82.56"
"2014","17-34","weiblich","66.02","62.5","3491","65.53","66.51"
"2014","35-65","maennlich","88.21","84.5","7000","87.85","88.57"
"2014","35-65","weiblich","72.32","69.5","8368","71.99","72.65"
"2014","66 +","maennlich","83.48","81.5","2420","82.95","84.01"
"2014","66 +","weiblich","69.99","68.5","2488","69.47","70.51"
"2015","17-34","maennlich","","","","",""
"2015","17-34","weiblich","","","","",""
"2015","35-65","maennlich","","","","",""
"2015","35-65","weiblich","","","","",""
"2015","66 +","maennlich","","","","",""
