year,quintil_oecd,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence,n
1984,1. Quintil,,,,,,,,,,,,
1984,2. Quintil,,,,,,,,,,,,
1985,1. Quintil,,,,,,,,,,,,
1985,2. Quintil,,,,,,,,,,,,
1986,1. Quintil,,,,,,,,,,,,
1986,2. Quintil,,,,,,,,,,,,
1987,1. Quintil,,,,,,,,,,,,
1987,2. Quintil,,,,,,,,,,,,
1988,1. Quintil,,,,,,,,,,,,
1988,2. Quintil,,,,,,,,,,,,
1989,1. Quintil,,,,,,,,,,,,
1989,2. Quintil,,,,,,,,,,,,
1990,1. Quintil,,,,,,,,,,,,
1990,2. Quintil,,,,,,,,,,,,
1991,1. Quintil,,,,,,,,,,,,
1991,2. Quintil,,,,,,,,,,,,
1992,1. Quintil,,,,,,,,,,,,
1992,2. Quintil,,,,,,,,,,,,
1993,1. Quintil,,,,,,,,,,,,
1993,2. Quintil,,,,,,,,,,,,
1994,1. Quintil,,,,,,,,,,,,
1994,2. Quintil,,,,,,,,,,,,
1995,2. Quintil,,,,,,,,,,,,
1995,3. Quintil,,,,,,,,,,,,
1995,4. Quintil,,,,,,,,,,,,
1995,5. Quintil,,,,,,,,,,,,
1996,2. Quintil,,,,,,,,,,,,
1996,3. Quintil,,,,,,,,,,,,
1996,4. Quintil,,,,,,,,,,,,
1996,5. Quintil,,,,,,,,,,,,
1997,2. Quintil,,,,,,,,,,,,
1997,3. Quintil,,,,,,,,,,,,
1997,4. Quintil,,,,,,,,,,,,
1997,5. Quintil,,,,,,,,,,,,
1998,2. Quintil,,,,,,,,,,,,
1998,3. Quintil,,,,,,,,,,,,
1998,4. Quintil,,,,,,,,,,,,
1998,5. Quintil,,,,,,,,,,,,
1999,2. Quintil,,,,,,,,,,,,
1999,3. Quintil,,,,,,,,,,,,
1999,4. Quintil,,,,,,,,,,,,
1999,5. Quintil,,,,,,,,,,,,
2000,2. Quintil,,,,,,,,,,,,
2000,3. Quintil,,,,,,,,,,,,
2000,4. Quintil,,,,,,,,,,,,
2000,5. Quintil,,,,,,,,,,,,
2001,2. Quintil,,,,,,,,,,,,
2001,3. Quintil,,,,,,,,,,,,
2001,4. Quintil,,,,,,,,,,,,
2001,5. Quintil,,,,,,,,,,,,
2002,2. Quintil,73.7414010972551,73.52203704664593,73.96076514786428,63.0,72.54399262773212,82.0,36.0,110.5,72.0,71.0,72.0,4304.0
2002,3. Quintil,74.55130355418521,74.37915995592014,74.72344715245028,64.0,74.0,83.0,39.0,111.5,74.0,73.0,75.0,6657.0
2002,4. Quintil,75.34911275804589,75.16722302075074,75.53100249534104,65.0,75.0,85.0,35.0,115.0,75.0,75.0,76.0,5957.0
2002,5. Quintil,74.83035553852096,74.64728127938119,75.01342979766073,64.0,74.0,84.0,36.0,114.0,74.0,73.0,75.0,5913.0
2003,2. Quintil,,,,,,,,,,,,
2003,3. Quintil,,,,,,,,,,,,
2003,4. Quintil,,,,,,,,,,,,
2003,5. Quintil,,,,,,,,,,,,
2004,2. Quintil,74.62492188058623,74.37745419864227,74.87238956253019,64.0,73.0,84.0,34.0,114.0,73.0,71.0,74.0,3855.0
2004,3. Quintil,75.05212053358933,74.87363023498492,75.23061083219375,65.0,75.0,84.0,36.5,112.5,75.0,75.0,76.0,6239.0
2004,4. Quintil,75.92932562682462,75.73715571587634,76.1214955377729,65.0,75.0,85.0,38.0,115.0,75.0,75.0,75.0,5739.0
2004,5. Quintil,75.46731358831882,75.2766863056229,75.65794087101473,65.0,74.0,85.0,38.0,115.0,74.0,73.0,74.0,5544.0
2005,2. Quintil,,,,,,,,,,,,
2005,3. Quintil,,,,,,,,,,,,
2005,4. Quintil,,,,,,,,,,,,
2005,5. Quintil,,,,,,,,,,,,
2006,2. Quintil,75.0940538431057,74.85401093462086,75.33409675159054,64.0,74.0,84.0,35.0,114.0,74.0,73.0,75.025,3949.0
2006,3. Quintil,76.15649919917104,75.96040803756269,76.35259036077939,65.0,75.0,85.0,35.0,115.0,75.0,75.0,75.0,6053.0
2006,4. Quintil,76.46473182106672,76.27561624257362,76.65384739955982,65.0,75.0,85.0,40.0,115.0,75.0,75.0,75.0,6101.0
2006,5. Quintil,76.41081729307832,76.21364984471728,76.60798474143937,65.0,75.0,85.0,40.0,115.0,75.0,74.0,75.0,5658.0
2007,1. Quintil,,,,,,,,,,,,
2007,2. Quintil,,,,,,,,,,,,
2007,3. Quintil,,,,,,,,,,,,
