"year","quintil_oecd","sex","mean","median","n","percentile_10","percentile_25","percentile_75","percentile_90","percentile_99","lower_confidence_mean","upper_confidence_mean","minimum","maximum","lower_confidence_median","upper_confidence_median"
"2002","1 Einkommensschwächstes Quintil","männlich","80.22","79.5","2070","65","70","88","98","121","79.61","80.83","40","180","79","80"
"2002","1 Einkommensschwächstes Quintil","weiblich","68.39","66.5","2530","52","59","76","86","110","67.86","68.92","36","140","65","67"
"2002","2","männlich","81.49","79.5","2504","66","72","90","98","120","80.97","82.01","44","180","80","80"
"2002","2","weiblich","68.08","65.5","2779","53","60","75","85","105","67.59","68.57","39","170","65","67"
"2002","3","männlich","82.33","80.5","2148","67","74","90","100","125","81.77","82.89","34","180","80","82"
"2002","3","weiblich","67.88","66.5","2219","54","60","75","83","100","67.38","68.38","40","130","65","67"
"2002","4","männlich","83.3","81.5","2114","69","74","90","100","120","82.75","83.85","48","170","80","82"
"2002","4","weiblich","67.47","64.5","2078","54","59","75","84","103","66.93","68.01","35","140","64","65"
"2002","5 Einkommensstärkstes Quintil","männlich","83","80.5","2249","69","75","90","100","120","82.47","83.53","48","150","81","82"
"2002","5 Einkommensstärkstes Quintil","weiblich","65.28","63.5","2140","53","58","70","79","100","64.79","65.77","36","172","63","64"
"2003","1 Einkommensschwächstes Quintil","männlich","","","","","","","","","","","","","",""
"2003","1 Einkommensschwächstes Quintil","weiblich","","","","","","","","","","","","","",""
"2003","2","männlich","","","","","","","","","","","","","",""
"2003","2","weiblich","","","","","","","","","","","","","",""
"2003","3","männlich","","","","","","","","","","","","","",""
"2003","3","weiblich","","","","","","","","","","","","","",""
"2003","4","männlich","","","","","","","","","","","","","",""
"2003","4","weiblich","","","","","","","","","","","","","",""
"2003","5 Einkommensstärkstes Quintil","männlich","","","","","","","","","","","","","",""
"2003","5 Einkommensstärkstes Quintil","weiblich","","","","","","","","","","","","","",""
"2004","1 Einkommensschwächstes Quintil","männlich","81.02","79.5","1838","65","71","90","99","120","80.34","81.7","42","200","80","80"
