"year","sampreg","sex","mean","median","n","lower_confidence","upper_confidence"
"2002","Ostdeutschland","maennlich","81.6","79.5","2625","81.1","82.1"
"2002","Ostdeutschland","weiblich","68.26","66.5","2771","67.78","68.74"
"2002","Westdeutschland","maennlich","81.98","79.5","8460","81.69","82.27"
"2002","Westdeutschland","weiblich","67.58","64.5","8975","67.32","67.84"
"2003","Ostdeutschland","maennlich","","","","",""
"2003","Ostdeutschland","weiblich","","","","",""
"2003","Westdeutschland","maennlich","","","","",""
"2003","Westdeutschland","weiblich","","","","",""
"2004","Ostdeutschland","maennlich","81.99","79.5","2491","81.45","82.53"
"2004","Ostdeutschland","weiblich","68.74","67.5","2696","68.25","69.23"
"2004","Westdeutschland","maennlich","82.52","79.5","7826","82.21","82.83"
"2004","Westdeutschland","weiblich","68.38","65.5","8364","68.1","68.66"
"2005","Ostdeutschland","maennlich","","","","",""
"2005","Ostdeutschland","weiblich","","","","",""
"2005","Westdeutschland","maennlich","","","","",""
"2005","Westdeutschland","weiblich","","","","",""
"2006","Ostdeutschland","maennlich","82.85","80.5","2518","82.31","83.39"
"2006","Ostdeutschland","weiblich","69.69","67.5","2724","69.17","70.21"
"2006","Westdeutschland","maennlich","83.62","80.5","7901","83.31","83.93"
"2006","Westdeutschland","weiblich","68.84","66.5","8618","68.55","69.13"
"2007","Ostdeutschland","maennlich","","","","",""
"2007","Ostdeutschland","weiblich","","","","",""
"2007","Westdeutschland","maennlich","","","","",""
"2007","Westdeutschland","weiblich","","","","",""
"2008","Ostdeutschland","maennlich","83.48","81.5","2297","82.92","84.04"
"2008","Ostdeutschland","weiblich","69.74","67.5","2445","69.2","70.28"
"2008","Westdeutschland","maennlich","84.64","81.5","6871","84.29","84.99"
"2008","Westdeutschland","weiblich","69.37","66.5","7501","69.06","69.68"
"2009","Ostdeutschland","maennlich","","","","",""
"2009","Ostdeutschland","weiblich","","","","",""
"2009","Westdeutschland","maennlich","","","","",""
"2009","Westdeutschland","weiblich","","","","",""
"2010","Ostdeutschland","maennlich","84.59","82.5","1976","83.98","85.2"
"2010","Ostdeutschland","weiblich","70.29","67.5","2121","69.71","70.87"
"2010","Westdeutschland","maennlich","85.23","82.5","5917","84.84","85.62"
"2010","Westdeutschland","weiblich","69.87","67.5","6463","69.53","70.21"
"2011","Ostdeutschland","maennlich","","","","",""
"2011","Ostdeutschland","weiblich","","","","",""
"2011","Westdeutschland","maennlich","","","","",""
"2011","Westdeutschland","weiblich","","","","",""
"2012","Ostdeutschland","maennlich","85.44","82.5","2281","84.82","86.06"
"2012","Ostdeutschland","weiblich","71.31","69.5","2515","70.74","71.88"
"2012","Westdeutschland","maennlich","85.17","82.5","7323","84.83","85.51"
"2012","Westdeutschland","weiblich","69.76","67.5","8105","69.44","70.08"
"2013","Ostdeutschland","maennlich","","","","",""
"2013","Ostdeutschland","weiblich","","","","",""
"2013","Westdeutschland","maennlich","","","","",""
"2013","Westdeutschland","weiblich","","","","",""
"2014","Ostdeutschland","maennlich","85.62","83.5","2530","85.03","86.21"
"2014","Ostdeutschland","weiblich","71.46","69.5","2989","70.92","72"
"2014","Westdeutschland","maennlich","85.63","83.5","9836","85.32","85.94"
"2014","Westdeutschland","weiblich","70.02","67.5","11358","69.74","70.3"
"2015","Ostdeutschland","maennlich","","","","",""
"2015","Ostdeutschland","weiblich","","","","",""
"2015","Westdeutschland","maennlich","","","","",""
"2015","Westdeutschland","weiblich","","","","",""
"2016","Ostdeutschland","maennlich","85.86","83.5","2272","85.23","86.49"
"2016","Ostdeutschland","weiblich","71.33","69.5","2706","70.73","71.93"
"2016","Westdeutschland","maennlich","86.28","84.5","8710","85.94","86.62"
"2016","Westdeutschland","weiblich","70.75","67.5","10084","70.44","71.06"
"2017","Ostdeutschland","maennlich","","","","",""
"2017","Ostdeutschland","weiblich","","","","",""
"2017","Westdeutschland","maennlich","","","","",""
"2017","Westdeutschland","weiblich","","","","",""
"2018","Ostdeutschland","maennlich","87.2","84.5","2783","86.57","87.83"
"2018","Ostdeutschland","weiblich","71.97","69.5","3078","71.4","72.54"
"2018","Westdeutschland","maennlich","86.45","84.5","10802","86.14","86.76"
"2018","Westdeutschland","weiblich","71.09","67.5","11552","70.8","71.38"
"2019","Ostdeutschland","maennlich","","","","",""
"2019","Ostdeutschland","weiblich","","","","",""
"2019","Westdeutschland","maennlich","","","","",""
"2019","Westdeutschland","weiblich","","","","",""
"2020","Ostdeutschland","maennlich","87.58","84.5","2526","86.92","88.24"
"2020","Ostdeutschland","weiblich","72.94","69.5","2758","72.3","73.58"
"2020","Westdeutschland","maennlich","87.14","84.5","9697","86.81","87.47"
"2020","Westdeutschland","weiblich","71.84","68.5","10388","71.53","72.15"
