"year","sex","mean","median","n","percentile_10","percentile_25","percentile_75","percentile_90","percentile_99","lowerconfidence_mean","upperconfidence_mean","minimum","maximum","lowerconfidence_median","upperconfidence_median"
"2002","maennlich","81.91","79.5","11085","66","73","90","99","120","81.66","82.16","34","180","80","80"
"2002","weiblich","67.71","64.5","11746","53","59","75","85","105","67.48","67.94","35","172","65","65"
"2003","maennlich","","","","","","","","","","","","","",""
"2003","weiblich","","","","","","","","","","","","","",""
"2004","maennlich","82.42","79.5","10317","67","73","90","100","125","82.15","82.69","37","210","80","82"
"2004","weiblich","68.45","65.5","11060","53","60","75","85","110","68.21","68.69","32","200","65","66"
"2005","maennlich","","","","","","","","","","","","","",""
"2005","weiblich","","","","","","","","","","","","","",""
"2006","maennlich","83.47","80.5","10419","68","74","90","100","125","83.2","83.74","40","200","82","82"
"2006","weiblich","69","66.5","11342","54","60","76","86","110","68.75","69.25","33","200","66","67"
"2007","maennlich","","","","","","","","","","","","","",""
"2007","weiblich","","","","","","","","","","","","","",""
"2008","maennlich","84.42","81.5","9168","68","75","92","103","130","84.12","84.72","43","230","82","83"
"2008","weiblich","69.43","67.5","9946","54","60","77","87","115","69.16","69.7","35","175","67","68"
"2009","maennlich","","","","","","","","","","","","","",""
"2009","weiblich","","","","","","","","","","","","","",""
"2010","maennlich","85.11","82.5","7893","68","75","93","105","133","84.78","85.44","43","250","83","84"
"2010","weiblich","69.94","67.5","8584","54","60","78","89","120","69.64","70.24","35","177","67","68"
"2011","maennlich","","","","","","","","","","","","","",""
"2011","weiblich","","","","","","","","","","","","","",""
"2012","maennlich","85.22","82.5","9604","68","75","93","105","131","84.92","85.52","30","225","83","84"
"2012","weiblich","70.04","67.5","10620","54","60","78","90","117","69.76","70.32","30","199","68","69"
"2013","maennlich","","","","","","","","","","","","","",""
"2013","weiblich","","","","","","","","","","","","","",""
"2014","maennlich","85.63","83.5","12366","68","75","93","105","135","85.36","85.9","30","225","83","84"
"2014","weiblich","70.28","67.5","14347","54","60","78","90","120","70.03","70.53","30","180","68","68"
"2015","maennlich","","","","","","","","","","","","","",""
"2015","weiblich","","","","","","","","","","","","","",""
"2016","maennlich","86.21","83.5","10982","68","75","94","107","140","85.91","86.51","38","215","84","85"
"2016","weiblich","70.85","67.5","12790","54","60","79","90","120","70.58","71.12","30","230","68","69"
"2017","maennlich","","","","","","","","","","","","","",""
"2017","weiblich","","","","","","","","","","","","","",""
"2018","maennlich","86.58","84.5","13585","68","75","95","108","140","86.31","86.85","38","230","83","84"
"2018","weiblich","71.24","68.5","14630","54","60","80","90","125","70.98","71.5","30","195","68","69"
"2019","maennlich","","","","","","","","","","","","","",""
"2019","weiblich","","","","","","","","","","","","","",""
"2020","maennlich","87.21","84.5","12223","69","75","95","110","143","86.92","87.5","37","230","85","85"
"2020","weiblich","72.03","69.5","13146","55","60","80","92","125","71.75","72.31","36","192","68","69"
