"year","quintil_oecd","regtyp","mean","median","n","percentile_10","percentile_25","percentile_75","percentile_90","percentile_99","lower_confidence_mean","upper_confidence_mean","minimum","maximum","lower_confidence_median","upper_confidence_median"
"2002","1 Einkommensschwächstes Quintil","Ländlicher Raum","74.61","73.5","1861","56","65","84","94","115","73.92","75.3","43","177","72","75"
"2002","1 Einkommensschwächstes Quintil","Städtischer Raum","73.29","71.5","2739","55","62","82","92","115","72.72","73.86","36","180","71","73"
"2002","2","Ländlicher Raum","74.95","74.5","2054","57","64","84","93","112","74.31","75.59","39","170","74","75"
"2002","2","Städtischer Raum","74.21","72.5","3229","57","64","82","92","115","73.7","74.72","39","180","72","74"
"2002","3","Ländlicher Raum","75.38","74.5","1555","57","65","84","94","110","74.65","76.11","34","180","73","75"
"2002","3","Städtischer Raum","74.94","73.5","2812","58","64","84","93","120","74.4","75.48","40","160","72","74"
"2002","4","Ländlicher Raum","75.46","74.5","1288","58","65","85","95","115","74.67","76.25","38","170","73","75"
"2002","4","Städtischer Raum","75.56","74.5","2904","57","64","85","95","115","75.01","76.11","35","160","73","75"
"2002","5 Einkommensstärkstes Quintil","Ländlicher Raum","74.7","74.5","955","56","63","83","95","115","73.75","75.65","40","135","72","75"
"2002","5 Einkommensstärkstes Quintil","Städtischer Raum","74.59","72.5","3434","56","64","84","95","116","74.08","75.1","36","172","72","74"
"2003","1 Einkommensschwächstes Quintil","Ländlicher Raum","","","","","","","","","","","","","",""
"2003","1 Einkommensschwächstes Quintil","Städtischer Raum","","","","","","","","","","","","","",""
"2003","2","Ländlicher Raum","","","","","","","","","","","","","",""
"2003","2","Städtischer Raum","","","","","","","","","","","","","",""
"2003","3","Ländlicher Raum","","","","","","","","","","","","","",""
"2003","3","Städtischer Raum","","","","","","","","","","","","","",""
"2003","4","Ländlicher Raum","","","","","","","","","","","","","",""
"2003","4","Städtischer Raum","","","","","","","","","","","","","",""
"2003","5 Einkommensstärkstes Quintil","Ländlicher Raum","","","","","","","","","","","","","",""
"2003","5 Einkommensstärkstes Quintil","Städtischer Raum","","","","","","","","","","","","","",""
"2004","1 Einkommensschwächstes Quintil","Ländlicher Raum","75.88","74.5","1681","57","65","85","95","120","75.1","76.66","37","200","73","75"
"2004","1 Einkommensschwächstes Quintil","Städtischer Raum","73.81","71.5","2458","55","63","82","93","120","73.2","74.42","32","200","71","73"
"2004","2","Ländlicher Raum","75.06","74.5","1848","57","65","85","94","113","74.4","75.72","38","165","74","75"
"2004","2","Städtischer Raum","74.8","73.5","3071","57","65","84","93","120","74.26","75.34","35","200","73","75"
"2004","3","Ländlicher Raum","76.14","74.5","1485","58","65","86","95","114","75.37","76.91","38","170","74","75"
"2004","3","Städtischer Raum","75.74","74.5","2587","57","65","85","95","125","75.15","76.33","40","160","73","75"
"2004","4","Ländlicher Raum","76.39","74.5","1291","59","65","85","95","120","75.56","77.22","39","135","73","75"
"2004","4","Städtischer Raum","75.64","74.5","2945","58","65","85","95","118","75.09","76.19","40","160","74","75"
"2004","5 Einkommensstärkstes Quintil","Ländlicher Raum","75.6","74.5","909","58","65","85","94","119","74.59","76.61","43","172","73","75"
"2004","5 Einkommensstärkstes Quintil","Städtischer Raum","75.54","73.5","3102","57","65","85","95","115","75","76.08","38","210","73","75"
"2005","1 Einkommensschwächstes Quintil","Ländlicher Raum","","","","","","","","","","","","","",""
"2005","1 Einkommensschwächstes Quintil","Städtischer Raum","","","","","","","","","","","","","",""
"2005","2","Ländlicher Raum","","","","","","","","","","","","","",""
"2005","2","Städtischer Raum","","","","","","","","","","","","","",""
"2005","3","Ländlicher Raum","","","","","","","","","","","","","",""
"2005","3","Städtischer Raum","","","","","","","","","","","","","",""
"2005","4","Ländlicher Raum","","","","","","","","","","","","","",""
"2005","4","Städtischer Raum","","","","","","","","","","","","","",""
"2005","5 Einkommensstärkstes Quintil","Ländlicher Raum","","","","","","","","","","","","","",""
"2005","5 Einkommensstärkstes Quintil","Städtischer Raum","","","","","","","","","","","","","",""
"2006","1 Einkommensschwächstes Quintil","Ländlicher Raum","76.52","74.5","1783","58","65","85","99","120","75.79","77.25","35","130","74","75"
"2006","1 Einkommensschwächstes Quintil","Städtischer Raum","74.66","72.5","2467","56","63","83","95","127","74.01","75.31","36","200","72","75"
"2006","2","Ländlicher Raum","76.57","74.5","1888","58","65","85","96","121","75.84","77.3","38","200","75","76"
"2006","2","Städtischer Raum","75.67","74.5","2953","57","65","85","95","116","75.12","76.22","33","195","74","75"
"2006","3","Ländlicher Raum","77.26","75.5","1563","59","65","85","98","125","76.47","78.05","40","190","75","78"
"2006","3","Städtischer Raum","75.71","73.5","2565","58","65","85","95","125","75.09","76.33","34","200","73","75"
"2006","4","Ländlicher Raum","77.26","75.5","1321","59","65","86","97","120","76.4","78.12","40","195","75","76"
"2006","4","Städtischer Raum","76.69","74.5","3072","58","65","85","97","125","76.14","77.24","42","165","75","75"
"2006","5 Einkommensstärkstes Quintil","Ländlicher Raum","77.16","75.5","933","60","67","86","96","116","76.19","78.13","45","140","75","77"
"2006","5 Einkommensstärkstes Quintil","Städtischer Raum","75.76","74.5","3216","57","64","85","95","120","75.23","76.29","40","167","74","75"
"2007","1 Einkommensschwächstes Quintil","Ländlicher Raum","","","","","","","","","","","","","",""
"2007","1 Einkommensschwächstes Quintil","Städtischer Raum","","","","","","","","","","","","","",""
"2007","2","Ländlicher Raum","","","","","","","","","","","","","",""
"2007","2","Städtischer Raum","","","","","","","","","","","","","",""
"2007","3","Ländlicher Raum","","","","","","","","","","","","","",""
"2007","3","Städtischer Raum","","","","","","","","","","","","","",""
"2007","4","Ländlicher Raum","","","","","","","","","","","","","",""
"2007","4","Städtischer Raum","","","","","","","","","","","","","",""
"2007","5 Einkommensstärkstes Quintil","Ländlicher Raum","","","","","","","","","","","","","",""
"2007","5 Einkommensstärkstes Quintil","Städtischer Raum","","","","","","","","","","","","","",""
"2008","1 Einkommensschwächstes Quintil","Ländlicher Raum","77.23","74.5","1368","58","65","86","100","125","76.33","78.13","35","180","75","76"
"2008","1 Einkommensschwächstes Quintil","Städtischer Raum","75.6","73.5","1915","57","64","84","96","123","74.85","76.35","36","230","73","75"
"2008","2","Ländlicher Raum","76.66","74.5","1593","58","65","85","96","120","75.92","77.4","38","170","75","77"
"2008","2","Städtischer Raum","75.85","74.5","2416","57","65","85","95","125","75.21","76.49","40","204","74","75"
"2008","3","Ländlicher Raum","77.79","76.5","1394","60","67","87","98","120","76.99","78.59","42","150","75","78"
"2008","3","Städtischer Raum","76.52","74.5","2307","57","65","85","97","125","75.87","77.17","38","165","75","75"
"2008","4","Ländlicher Raum","78.08","76.5","1348","59","67","88","98","125","77.24","78.92","41","183","75","78"
"2008","4","Städtischer Raum","77.02","74.5","2719","58","65","86","98","128","76.42","77.62","45","178","75","75"
"2008","5 Einkommensstärkstes Quintil","Ländlicher Raum","79.05","77.5","918","59","67","88","100","128","78","80.1","45","185","75","78"
"2008","5 Einkommensstärkstes Quintil","Städtischer Raum","76.97","74.5","3136","58","65","86","97","122","76.42","77.52","40","165","75","75"
"2009","1 Einkommensschwächstes Quintil","Ländlicher Raum","","","","","","","","","","","","","",""
"2009","1 Einkommensschwächstes Quintil","Städtischer Raum","","","","","","","","","","","","","",""
"2009","2","Ländlicher Raum","","","","","","","","","","","","","",""
"2009","2","Städtischer Raum","","","","","","","","","","","","","",""
"2009","3","Ländlicher Raum","","","","","","","","","","","","","",""
"2009","3","Städtischer Raum","","","","","","","","","","","","","",""
"2009","4","Ländlicher Raum","","","","","","","","","","","","","",""
"2009","4","Städtischer Raum","","","","","","","","","","","","","",""
"2009","5 Einkommensstärkstes Quintil","Ländlicher Raum","","","","","","","","","","","","","",""
"2009","5 Einkommensstärkstes Quintil","Städtischer Raum","","","","","","","","","","","","","",""
"2010","1 Einkommensschwächstes Quintil","Ländlicher Raum","78.26","75.5","964","59","65","88","100","125","77.18","79.34","35","150","75","77"
"2010","1 Einkommensschwächstes Quintil","Städtischer Raum","77.26","74.5","1404","58","65","85","98","133","76.35","78.17","37","250","73","75"
