year,sampreg,hgroom,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,West,1 room,0.05529,299,5807,0.04941,0.06117
1984,West,2 rooms,0.21128,1149,5807,0.20078,0.22178
1984,West,3 rooms,0.33326,2073,5807,0.32114,0.34539
1984,West,4 rooms,0.19486,1184,5807,0.18467,0.20505
1984,West,5 rooms,0.10075,598,5807,0.09301,0.10849
1984,West,6 rooms,0.05764,310,5807,0.05164,0.06363
1984,West,7 rooms,0.02291,123,5807,0.01906,0.02676
1984,West,8 rooms,0.01368,71,5807,0.01070,0.01667
1985,West,1 room,0.05760,261,5215,0.05127,0.06392
1985,West,2 rooms,0.21114,980,5215,0.20006,0.22222
1985,West,3 rooms,0.33000,1834,5215,0.31724,0.34277
1985,West,4 rooms,0.19476,1095,5215,0.18401,0.20551
1985,West,5 rooms,0.10173,562,5215,0.09352,0.10993
1985,West,6 rooms,0.05778,298,5215,0.05145,0.06411
1985,West,7 rooms,0.02389,122,5215,0.01975,0.02804
1985,West,8 rooms,0.01277,63,5215,0.00972,0.01582
1986,West,1 room,0.06147,254,4990,0.05480,0.06813
1986,West,2 rooms,0.20822,908,4990,0.19696,0.21949
1986,West,3 rooms,0.32918,1746,4990,0.31614,0.34222
1986,West,4 rooms,0.19179,1037,4990,0.18087,0.20272
1986,West,5 rooms,0.09889,538,4990,0.09061,0.10717
1986,West,6 rooms,0.06163,311,4990,0.05496,0.06830
1986,West,7 rooms,0.02361,120,4990,0.01939,0.02782
1986,West,8 rooms,0.01554,76,4990,0.01211,0.01897
1987,West,1 room,0.06093,244,4929,0.05425,0.06761
1987,West,2 rooms,0.20763,896,4929,0.19631,0.21896
1987,West,3 rooms,0.32767,1709,4929,0.31456,0.34077
1987,West,4 rooms,0.19277,1028,4929,0.18176,0.20378
1987,West,5 rooms,0.10487,561,4929,0.09632,0.11343
1987,West,6 rooms,0.05915,297,4929,0.05257,0.06574
1987,West,7 rooms,0.02362,123,4929,0.01938,0.02786
1987,West,8 rooms,0.01422,71,4929,0.01091,0.01752
1988,West,1 room,0.05938,223,4721,0.05264,0.06612
1988,West,2 rooms,0.20587,849,4721,0.19434,0.21741
1988,West,3 rooms,0.33160,1654,4721,0.31817,0.34503
1988,West,4 rooms,0.18774,970,4721,0.17660,0.19888
1988,West,5 rooms,0.10353,526,4721,0.09484,0.11222
1988,West,6 rooms,0.06477,308,4721,0.05775,0.07180
1988,West,7 rooms,0.02363,121,4721,0.01929,0.02796
1988,West,8 rooms,0.01359,70,4721,0.01028,0.01689
1989,West,1 room,0.05570,206,4600,0.04907,0.06233
1989,West,2 rooms,0.21049,848,4600,0.19870,0.22227
1989,West,3 rooms,0.32238,1578,4600,0.30887,0.33588
1989,West,4 rooms,0.19250,955,4600,0.18111,0.20390
1989,West,5 rooms,0.10580,518,4600,0.09691,0.11469
1989,West,6 rooms,0.06500,305,4600,0.05788,0.07213
1989,West,7 rooms,0.02374,118,4600,0.01934,0.02814
1989,West,8 rooms,0.01441,72,4600,0.01096,0.01785
1990,West,1 room,0.05612,203,4547,0.04943,0.06281
1990,West,2 rooms,0.20918,824,4547,0.19736,0.22100
1990,West,3 rooms,0.32563,1579,4547,0.31201,0.33926
1990,West,4 rooms,0.18801,934,4547,0.17665,0.19937
1990,West,5 rooms,0.10738,509,4547,0.09838,0.11638
1990,West,6 rooms,0.06617,303,4547,0.05894,0.07339
1990,West,7 rooms,0.02518,125,4547,0.02063,0.02974
1990,West,8 rooms,0.01357,70,4547,0.01021,0.01694
1990,East,1 room,0.07065,83,2126,0.05975,0.08154
1990,East,2 rooms,0.28920,466,2126,0.26992,0.30847
1990,East,3 rooms,0.37460,882,2126,0.35402,0.39518
1990,East,4 rooms,0.16405,446,2126,0.14830,0.17979
1990,East,5 rooms,0.06423,177,2126,0.05381,0.07466
1990,East,6 rooms,0.02400,72,2126,0.01749,0.03050
1991,West,1 room,0.05324,199,4602,0.04675,0.05973
1991,West,2 rooms,0.21704,865,4602,0.20513,0.22895
1991,West,3 rooms,0.31639,1563,4602,0.30295,0.32982
1991,West,4 rooms,0.18643,934,4602,0.17518,0.19769
