year,hhtyp,quintil_oecd_hh,hgroom,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,Single-person household,1st Quintile,1 room,0.21449,87,303,0.16820,0.26079
1984,Single-person household,1st Quintile,2 rooms,0.44130,140,303,0.38529,0.49730
1984,Single-person household,1st Quintile,3 rooms,0.24623,76,303,0.19764,0.29482
1984,Single-person household,2nd Quintile,1 room,0.12128,41,222,0.07824,0.16433
1984,Single-person household,2nd Quintile,2 rooms,0.40433,95,222,0.33963,0.46903
1984,Single-person household,2nd Quintile,3 rooms,0.41789,86,222,0.35286,0.48292
1984,Single-person household,3rd Quintile,1 room,0.16707,50,217,0.11732,0.21682
1984,Single-person household,3rd Quintile,2 rooms,0.46067,103,217,0.39420,0.52714
1984,Single-person household,3rd Quintile,3 rooms,0.29064,64,217,0.23009,0.35119
1984,Single-person household,4th Quintile,1 room,0.18493,55,214,0.13279,0.23707
1984,Single-person household,4th Quintile,2 rooms,0.38447,92,214,0.31914,0.44980
1984,Single-person household,4th Quintile,3 rooms,0.30549,67,214,0.24364,0.36735
1984,Single-person household,5th Quintile,2 rooms,0.37500,89,161,0.29998,0.45001
1984,Single-person household,5th Quintile,3 rooms,0.31229,72,161,0.24048,0.38410
1984,Couple without children,1st Quintile,2 rooms,0.38996,69,118,0.30158,0.47834
1984,Couple without children,1st Quintile,3 rooms,0.29977,49,118,0.21675,0.38279
1984,Couple without children,2nd Quintile,2 rooms,0.24334,57,183,0.18100,0.30568
1984,Couple without children,2nd Quintile,3 rooms,0.43118,85,183,0.35922,0.50313
1984,Couple without children,2nd Quintile,4 rooms,0.21191,41,183,0.15253,0.27128
1984,Couple without children,3rd Quintile,2 rooms,0.22768,69,223,0.17252,0.28284
1984,Couple without children,3rd Quintile,3 rooms,0.47073,118,223,0.40507,0.53639
1984,Couple without children,3rd Quintile,4 rooms,0.15426,36,223,0.10675,0.20178
1984,Couple without children,4th Quintile,2 rooms,0.22114,75,260,0.17059,0.27168
1984,Couple without children,4th Quintile,3 rooms,0.42718,126,260,0.36694,0.48743
1984,Couple without children,4th Quintile,4 rooms,0.21149,59,260,0.16175,0.26122
1984,Couple without children,5th Quintile,2 rooms,0.13745,81,385,0.10301,0.17189
1984,Couple without children,5th Quintile,3 rooms,0.38350,159,385,0.33487,0.43213
1984,Couple without children,5th Quintile,4 rooms,0.28511,110,385,0.23996,0.33027
1984,Couple without children,5th Quintile,5 rooms,0.09265,35,385,0.06365,0.12165
1984,Single parent,1st Quintile,3 rooms,0.55301,64,64,0.43024,0.67579
1984,Single parent,2nd Quintile,3 rooms,0.38691,31,31,0.21262,0.56119
1984,Couple with children,1st Quintile,2 rooms,0.06979,54,487,0.04714,0.09245
1984,Couple with children,1st Quintile,3 rooms,0.37318,239,487,0.33018,0.41618
1984,Couple with children,1st Quintile,4 rooms,0.24834,127,487,0.20993,0.28676
1984,Couple with children,1st Quintile,5 rooms,0.17333,67,487,0.13968,0.20699
1984,Couple with children,2nd Quintile,2 rooms,0.04553,66,585,0.02862,0.06243
1984,Couple with children,2nd Quintile,3 rooms,0.31933,232,585,0.28152,0.35714
1984,Couple with children,2nd Quintile,4 rooms,0.28672,165,585,0.25004,0.32340
1984,Couple with children,2nd Quintile,5 rooms,0.15500,78,585,0.12564,0.18435
1984,Couple with children,2nd Quintile,6 rooms,0.10209,44,585,0.07753,0.12665
1984,Couple with children,3rd Quintile,2 rooms,0.03519,41,545,0.01971,0.05068
1984,Couple with children,3rd Quintile,3 rooms,0.32002,221,545,0.28082,0.35922
1984,Couple with children,3rd Quintile,4 rooms,0.31964,168,545,0.28045,0.35882
1984,Couple with children,3rd Quintile,5 rooms,0.16306,78,545,0.13202,0.19411
1984,Couple with children,3rd Quintile,6 rooms,0.08031,37,545,0.05747,0.10315
1984,Couple with children,4th Quintile,3 rooms,0.23664,166,474,0.19834,0.27494
1984,Couple with children,4th Quintile,4 rooms,0.31108,157,474,0.26936,0.35280
1984,Couple with children,4th Quintile,5 rooms,0.20607,99,474,0.16962,0.24252
1984,Couple with children,4th Quintile,6 rooms,0.12380,52,474,0.09412,0.15348
1984,Couple with children,5th Quintile,3 rooms,0.19188,82,303,0.14746,0.23629
1984,Couple with children,5th Quintile,4 rooms,0.28607,97,303,0.23510,0.33704
1984,Couple with children,5th Quintile,5 rooms,0.23429,77,303,0.18652,0.28206
1984,Couple with children,5th Quintile,6 rooms,0.14590,47,303,0.10609,0.18571
1985,Single-person household,1st Quintile,1 room,0.21393,75,274,0.16529,0.26258
1985,Single-person household,1st Quintile,2 rooms,0.40345,119,274,0.34526,0.46165
1985,Single-person household,1st Quintile,3 rooms,0.28360,80,274,0.23013,0.33707
1985,Single-person household,2nd Quintile,2 rooms,0.44544,91,153,0.36642,0.52445
1985,Single-person household,2nd Quintile,3 rooms,0.33184,62,153,0.25698,0.40670
1985,Single-person household,3rd Quintile,1 room,0.16833,47,195,0.11568,0.22098
1985,Single-person household,3rd Quintile,2 rooms,0.42138,85,195,0.35189,0.49086
1985,Single-person household,3rd Quintile,3 rooms,0.34125,63,195,0.27453,0.40797
1985,Single-person household,4th Quintile,1 room,0.17198,52,208,0.12057,0.22339
1985,Single-person household,4th Quintile,2 rooms,0.39382,89,208,0.32726,0.46039
1985,Single-person household,4th Quintile,3 rooms,0.31861,67,208,0.25514,0.38208
1985,Single-person household,5th Quintile,2 rooms,0.34150,69,128,0.25902,0.42397
1985,Single-person household,5th Quintile,3 rooms,0.32034,59,128,0.23918,0.40149
1985,Couple without children,1st Quintile,2 rooms,0.32206,44,98,0.22907,0.41505
1985,Couple without children,1st Quintile,3 rooms,0.41164,54,98,0.31370,0.50958
1985,Couple without children,2nd Quintile,2 rooms,0.28266,63,178,0.21632,0.34900
1985,Couple without children,2nd Quintile,3 rooms,0.42068,81,178,0.34795,0.49341
1985,Couple without children,2nd Quintile,4 rooms,0.18498,34,178,0.12778,0.24219
1985,Couple without children,3rd Quintile,2 rooms,0.22750,56,189,0.16757,0.28742
1985,Couple without children,3rd Quintile,3 rooms,0.45571,97,189,0.38452,0.52691
1985,Couple without children,3rd Quintile,4 rooms,0.17102,36,189,0.11719,0.22484
1985,Couple without children,4th Quintile,2 rooms,0.18541,65,270,0.13897,0.23185
1985,Couple without children,4th Quintile,3 rooms,0.41684,116,270,0.35792,0.47576
1985,Couple without children,4th Quintile,4 rooms,0.22293,58,270,0.17319,0.27267
1985,Couple without children,4th Quintile,5 rooms,0.12517,31,270,0.08563,0.16472
1985,Couple without children,5th Quintile,2 rooms,0.14196,70,358,0.10576,0.17817
1985,Couple without children,5th Quintile,3 rooms,0.36107,142,358,0.31124,0.41089
1985,Couple without children,5th Quintile,4 rooms,0.29552,107,358,0.24818,0.34285
1985,Couple without children,5th Quintile,5 rooms,0.11696,39,358,0.08362,0.15030
1985,Single parent,1st Quintile,3 rooms,0.47447,52,52,0.33742,0.61152
1985,Couple with children,1st Quintile,2 rooms,0.07877,55,437,0.05348,0.10405
1985,Couple with children,1st Quintile,3 rooms,0.35841,203,437,0.31340,0.40342
1985,Couple with children,1st Quintile,4 rooms,0.25236,117,437,0.21159,0.29313
1985,Couple with children,1st Quintile,5 rooms,0.16960,62,437,0.13437,0.20483
1985,Couple with children,2nd Quintile,2 rooms,0.04653,46,523,0.02846,0.06459
