year,bula_h,quintil_oecd_hh,hgroom,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,Lower Saxony,1st Quintile,2 rooms,0.32271,34,86,0.22332,0.42210
1984,Lower Saxony,1st Quintile,3 rooms,0.32686,52,86,0.22714,0.42658
1984,Lower Saxony,2nd Quintile,3 rooms,0.31918,39,70,0.20919,0.42917
1984,Lower Saxony,2nd Quintile,4 rooms,0.24996,31,70,0.14779,0.35213
1984,Lower Saxony,3rd Quintile,3 rooms,0.31657,36,36,0.16247,0.47067
1984,Lower Saxony,4th Quintile,3 rooms,0.28932,38,38,0.14321,0.43543
1984,North Rhine-Westphalia,1st Quintile,1 room,0.15513,44,346,0.11693,0.19333
1984,North Rhine-Westphalia,1st Quintile,2 rooms,0.28527,90,346,0.23762,0.33292
1984,North Rhine-Westphalia,1st Quintile,3 rooms,0.33976,152,346,0.28978,0.38973
1984,North Rhine-Westphalia,1st Quintile,4 rooms,0.13721,60,346,0.10091,0.17352
1984,North Rhine-Westphalia,2nd Quintile,2 rooms,0.27572,80,262,0.22150,0.32993
1984,North Rhine-Westphalia,2nd Quintile,3 rooms,0.37406,124,262,0.31535,0.43276
1984,North Rhine-Westphalia,2nd Quintile,4 rooms,0.17414,58,262,0.12813,0.22014
1984,North Rhine-Westphalia,3rd Quintile,2 rooms,0.25499,68,233,0.19890,0.31108
1984,North Rhine-Westphalia,3rd Quintile,3 rooms,0.37549,113,233,0.31318,0.43780
1984,North Rhine-Westphalia,3rd Quintile,4 rooms,0.16603,52,233,0.11815,0.21392
1984,North Rhine-Westphalia,4th Quintile,2 rooms,0.25272,68,233,0.19680,0.30864
1984,North Rhine-Westphalia,4th Quintile,3 rooms,0.32011,98,233,0.26008,0.38014
1984,North Rhine-Westphalia,4th Quintile,4 rooms,0.19576,67,233,0.14470,0.24681
1984,North Rhine-Westphalia,5th Quintile,2 rooms,0.18745,53,242,0.13818,0.23672
1984,North Rhine-Westphalia,5th Quintile,3 rooms,0.30920,86,242,0.25085,0.36755
1984,North Rhine-Westphalia,5th Quintile,4 rooms,0.22502,64,242,0.17230,0.27775
1984,North Rhine-Westphalia,5th Quintile,5 rooms,0.13796,39,242,0.09442,0.18150
1984,Hesse,1st Quintile,2 rooms,0.31641,32,87,0.21812,0.41471
1984,Hesse,1st Quintile,3 rooms,0.33901,55,87,0.23896,0.43906
1984,Hesse,2nd Quintile,3 rooms,0.48289,46,46,0.33688,0.62889
1984,Hesse,3rd Quintile,3 rooms,0.33222,33,33,0.16903,0.49542
