year,hhtyp,sampreg,hgroom,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,Single-person household,West,1 room,0.15714,256,1240,0.13687,0.17740
1984,Single-person household,West,2 rooms,0.41340,525,1240,0.38598,0.44082
1984,Single-person household,West,3 rooms,0.31270,373,1240,0.28689,0.33851
1984,Single-person household,West,4 rooms,0.07569,86,1240,0.06096,0.09042
1984,Couple without children,West,2 rooms,0.22371,352,1305,0.20109,0.24633
1984,Couple without children,West,3 rooms,0.40644,537,1305,0.37978,0.43309
1984,Couple without children,West,4 rooms,0.21601,269,1305,0.19368,0.23835
1984,Couple without children,West,5 rooms,0.08237,100,1305,0.06745,0.09729
1984,Couple without children,West,6 rooms,0.04058,47,1305,0.02987,0.05129
1984,Single parent,West,2 rooms,0.13281,57,295,0.09401,0.17160
1984,Single parent,West,3 rooms,0.43219,142,295,0.37556,0.48881
1984,Single parent,West,4 rooms,0.21063,61,295,0.16402,0.25724
1984,Single parent,West,5 rooms,0.11131,35,295,0.07536,0.14726
1984,Couple with children,West,2 rooms,0.03578,195,2586,0.02862,0.04294
1984,Couple with children,West,3 rooms,0.28738,940,2586,0.26994,0.30483
1984,Couple with children,West,4 rooms,0.29413,714,2586,0.27656,0.31169
1984,Couple with children,West,5 rooms,0.18446,399,2586,0.16951,0.19941
1984,Couple with children,West,6 rooms,0.10481,204,2586,0.09300,0.11661
1984,Couple with children,West,7 rooms,0.04443,84,2586,0.03649,0.05237
1984,Couple with children,West,8 rooms,0.02720,50,2586,0.02093,0.03347
1984,Other Combinations,West,3 rooms,0.38430,52,52,0.25079,0.51780
1985,Single-person household,West,1 room,0.16235,228,1094,0.14049,0.18421
1985,Single-person household,West,2 rooms,0.40240,455,1094,0.37333,0.43148
1985,Single-person household,West,3 rooms,0.31434,331,1094,0.28681,0.34186
1985,Single-person household,West,4 rooms,0.07839,80,1094,0.06246,0.09433
1985,Couple without children,West,2 rooms,0.21248,298,1184,0.18917,0.23579
1985,Couple without children,West,3 rooms,0.40680,490,1184,0.37881,0.43480
1985,Couple without children,West,4 rooms,0.22237,255,1184,0.19868,0.24607
1985,Couple without children,West,5 rooms,0.08685,95,1184,0.07080,0.10289
1985,Couple without children,West,6 rooms,0.04313,46,1184,0.03155,0.05471
1985,Single parent,West,2 rooms,0.13090,47,264,0.09014,0.17167
1985,Single parent,West,3 rooms,0.39397,120,264,0.33491,0.45302
1985,Single parent,West,4 rooms,0.22938,63,264,0.17856,0.28019
1985,Single parent,West,5 rooms,0.12644,34,264,0.08627,0.16661
1985,Couple with children,West,2 rooms,0.03577,158,2326,0.02822,0.04332
1985,Couple with children,West,3 rooms,0.27984,818,2326,0.26160,0.29809
1985,Couple with children,West,4 rooms,0.29332,651,2326,0.27482,0.31183
1985,Couple with children,West,5 rooms,0.18577,371,2326,0.16996,0.20158
1985,Couple with children,West,6 rooms,0.10883,198,2326,0.09617,0.12149
1985,Couple with children,West,7 rooms,0.04844,85,2326,0.03971,0.05717
1985,Couple with children,West,8 rooms,0.02614,45,2326,0.01965,0.03262
1985,Other Combinations,West,3 rooms,0.35435,47,47,0.21612,0.49257
1986,Single-person household,West,1 room,0.17159,227,1027,0.14852,0.19466
1986,Single-person household,West,2 rooms,0.39179,412,1027,0.36192,0.42166
1986,Single-person household,West,3 rooms,0.30345,300,1027,0.27532,0.33158
1986,Single-person household,West,4 rooms,0.08620,88,1027,0.06902,0.10337
1986,Couple without children,West,2 rooms,0.21287,291,1161,0.18931,0.23642
1986,Couple without children,West,3 rooms,0.40491,479,1161,0.37666,0.43316
1986,Couple without children,West,4 rooms,0.21858,249,1161,0.19479,0.24236
1986,Couple without children,West,5 rooms,0.08132,90,1161,0.06559,0.09705
1986,Couple without children,West,6 rooms,0.04788,52,1161,0.03559,0.06016
1986,Single parent,West,2 rooms,0.10326,38,243,0.06492,0.14160
1986,Single parent,West,3 rooms,0.39143,112,243,0.32994,0.45293
1986,Single parent,West,4 rooms,0.23048,58,243,0.17742,0.28354
1986,Single parent,West,5 rooms,0.12123,35,243,0.08011,0.16236
1986,Couple with children,West,2 rooms,0.03677,148,2202,0.02891,0.04463
1986,Couple with children,West,3 rooms,0.28776,780,2202,0.26885,0.30667
1986,Couple with children,West,4 rooms,0.28452,594,2202,0.26567,0.30337
1986,Couple with children,West,5 rooms,0.18203,346,2202,0.16591,0.19815
1986,Couple with children,West,6 rooms,0.11703,204,2202,0.10360,0.13046
1986,Couple with children,West,7 rooms,0.04509,79,2202,0.03642,0.05376
1986,Couple with children,West,8 rooms,0.02891,51,2202,0.02191,0.03592
1986,Other Combinations,West,3 rooms,0.37504,47,47,0.23514,0.51495
1987,Single-person household,West,1 room,0.16599,212,1026,0.14321,0.18877
1987,Single-person household,West,2 rooms,0.39773,422,1026,0.36776,0.42769
1987,Single-person household,West,3 rooms,0.29962,298,1026,0.27158,0.32767
1987,Single-person household,West,4 rooms,0.09067,94,1026,0.07309,0.10825
1987,Couple without children,West,2 rooms,0.19916,273,1146,0.17603,0.22229
1987,Couple without children,West,3 rooms,0.39825,465,1146,0.36990,0.42661
1987,Couple without children,West,4 rooms,0.22407,247,1146,0.19992,0.24822
1987,Couple without children,West,5 rooms,0.08790,101,1146,0.07150,0.10430
1987,Couple without children,West,6 rooms,0.05542,60,1146,0.04217,0.06868
1987,Single parent,West,2 rooms,0.09893,33,234,0.06059,0.13727
1987,Single parent,West,3 rooms,0.40977,114,234,0.34662,0.47292
1987,Single parent,West,4 rooms,0.19735,54,234,0.14624,0.24845
1987,Single parent,West,5 rooms,0.12520,33,234,0.08270,0.16769
1987,Couple with children,West,2 rooms,0.03660,148,2161,0.02868,0.04452
