year,rentown,hgroom,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,Owner,2 rooms,0.07502,122,1950,0.06332,0.08671
1984,Owner,3 rooms,0.22779,427,1950,0.20917,0.24642
1984,Owner,4 rooms,0.26961,559,1950,0.24991,0.28931
1984,Owner,5 rooms,0.18985,414,1950,0.17244,0.20726
1984,Owner,6 rooms,0.12452,256,1950,0.10986,0.13918
1984,Owner,7 rooms,0.05327,112,1950,0.04330,0.06324
1984,Owner,8 rooms,0.03007,60,1950,0.02248,0.03765
1984,Tenant,1 room,0.08541,284,3820,0.07655,0.09427
1984,Tenant,2 rooms,0.30261,1027,3820,0.28804,0.31718
1984,Tenant,3 rooms,0.40395,1646,3820,0.38839,0.41952
1984,Tenant,4 rooms,0.14476,625,3820,0.13360,0.15592
1984,Tenant,5 rooms,0.04103,184,3820,0.03474,0.04732
1984,Tenant,6 rooms,0.01281,54,3820,0.00924,0.01638
1985,Owner,2 rooms,0.07714,110,1813,0.06486,0.08943
1985,Owner,3 rooms,0.22250,380,1813,0.20334,0.24165
1985,Owner,4 rooms,0.26820,517,1813,0.24780,0.28860
1985,Owner,5 rooms,0.19656,399,1813,0.17827,0.21486
1985,Owner,6 rooms,0.12525,247,1813,0.11001,0.14049
1985,Owner,7 rooms,0.05359,108,1813,0.04322,0.06396
1985,Owner,8 rooms,0.02755,52,1813,0.02001,0.03508
1985,Tenant,1 room,0.08909,248,3364,0.07946,0.09872
1985,Tenant,2 rooms,0.30023,870,3364,0.28474,0.31573
1985,Tenant,3 rooms,0.40149,1454,3364,0.38492,0.41805
1985,Tenant,4 rooms,0.14593,578,3364,0.13400,0.15786
1985,Tenant,5 rooms,0.03867,163,3364,0.03215,0.04518
1985,Tenant,6 rooms,0.01292,51,3364,0.00911,0.01674
1986,Owner,2 rooms,0.06869,95,1783,0.05695,0.08043
1986,Owner,3 rooms,0.22927,385,1783,0.20976,0.24879
1986,Owner,4 rooms,0.26257,491,1783,0.24214,0.28300
1986,Owner,5 rooms,0.18891,385,1783,0.17073,0.20708
1986,Owner,6 rooms,0.13014,254,1783,0.11452,0.14576
1986,Owner,7 rooms,0.05500,108,1783,0.04441,0.06558
1986,Owner,8 rooms,0.03515,65,1783,0.02660,0.04370
