year,bula_h,hhtyp,hgroom,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,Hamburg,Couple with children,3 rooms,0.61131,34,34,0.44500,0.77763
1984,Lower Saxony,Single-person household,2 rooms,0.46604,52,89,0.36182,0.57027
1984,Lower Saxony,Single-person household,3 rooms,0.30920,37,89,0.21263,0.40576
1984,Lower Saxony,Couple without children,3 rooms,0.41345,62,93,0.31282,0.51408
1984,Lower Saxony,Couple without children,4 rooms,0.22943,31,93,0.14351,0.31535
1984,Lower Saxony,Couple with children,3 rooms,0.21896,69,189,0.15984,0.27807
1984,Lower Saxony,Couple with children,4 rooms,0.30369,76,189,0.23795,0.36942
1984,Lower Saxony,Couple with children,5 rooms,0.20160,44,189,0.14425,0.25894
1984,North Rhine-Westphalia,Single-person household,1 room,0.16664,79,336,0.12673,0.20654
1984,North Rhine-Westphalia,Single-person household,2 rooms,0.46242,171,336,0.40903,0.51581
1984,North Rhine-Westphalia,Single-person household,3 rooms,0.27234,86,336,0.22467,0.32001
1984,North Rhine-Westphalia,Couple without children,2 rooms,0.28502,112,323,0.23572,0.33433
1984,North Rhine-Westphalia,Couple without children,3 rooms,0.44872,152,323,0.39440,0.50305
1984,North Rhine-Westphalia,Couple without children,4 rooms,0.17904,59,323,0.13717,0.22092
1984,North Rhine-Westphalia,Single parent,3 rooms,0.53348,44,44,0.38436,0.68259
1984,North Rhine-Westphalia,Couple with children,2 rooms,0.03768,51,676,0.02331,0.05204
1984,North Rhine-Westphalia,Couple with children,3 rooms,0.31364,275,676,0.27864,0.34864
1984,North Rhine-Westphalia,Couple with children,4 rooms,0.28963,196,676,0.25541,0.32385
1984,North Rhine-Westphalia,Couple with children,5 rooms,0.16624,101,676,0.13815,0.19433
1984,North Rhine-Westphalia,Couple with children,6 rooms,0.09926,53,676,0.07670,0.12182
1984,Hesse,Single-person household,2 rooms,0.37719,47,82,0.27164,0.48275
1984,Hesse,Single-person household,3 rooms,0.34209,35,82,0.23877,0.44540
1984,Hesse,Couple without children,2 rooms,0.19714,36,94,0.11628,0.27800
1984,Hesse,Couple without children,3 rooms,0.41324,58,94,0.31316,0.51332
1984,Hesse,Couple with children,3 rooms,0.27142,97,204,0.21024,0.33259
1984,Hesse,Couple with children,4 rooms,0.33316,74,204,0.26832,0.39800
1984,Hesse,Couple with children,5 rooms,0.16465,33,204,0.11363,0.21566
1984,"Rhineland-Palatinate, Saarland",Single-person household,2 rooms,0.41815,32,32,0.24451,0.59179
1984,"Rhineland-Palatinate, Saarland",Couple with children,3 rooms,0.23878,45,76,0.14229,0.33527
1984,"Rhineland-Palatinate, Saarland",Couple with children,4 rooms,0.20862,31,76,0.11666,0.30058
1984,Baden-Wuerttemberg,Single-person household,1 room,0.12895,39,189,0.08104,0.17686
1984,Baden-Wuerttemberg,Single-person household,2 rooms,0.36391,75,189,0.29513,0.43268
1984,Baden-Wuerttemberg,Single-person household,3 rooms,0.39323,75,189,0.32340,0.46305
1984,Baden-Wuerttemberg,Couple without children,2 rooms,0.16503,48,170,0.10906,0.22100
1984,Baden-Wuerttemberg,Couple without children,3 rooms,0.41455,83,170,0.34028,0.48883
1984,Baden-Wuerttemberg,Couple without children,4 rooms,0.23489,39,170,0.17097,0.29881
1984,Baden-Wuerttemberg,Couple with children,2 rooms,0.03322,42,518,0.01778,0.04867
1984,Baden-Wuerttemberg,Couple with children,3 rooms,0.26418,205,518,0.22617,0.30218
1984,Baden-Wuerttemberg,Couple with children,4 rooms,0.28370,136,518,0.24484,0.32256
1984,Baden-Wuerttemberg,Couple with children,5 rooms,0.22246,91,518,0.18661,0.25831
1984,Baden-Wuerttemberg,Couple with children,6 rooms,0.13298,44,518,0.10371,0.16225
1984,Bavaria,Single-person household,1 room,0.17566,40,168,0.11795,0.23338
1984,Bavaria,Single-person household,2 rooms,0.32847,62,168,0.25724,0.39970
1984,Bavaria,Single-person household,3 rooms,0.36499,66,168,0.29197,0.43801
1984,Bavaria,Couple without children,2 rooms,0.20032,58,205,0.14539,0.25524
1984,Bavaria,Couple without children,3 rooms,0.37958,88,205,0.31299,0.44618
1984,Bavaria,Couple without children,4 rooms,0.24868,59,205,0.18936,0.30800
1984,Bavaria,Couple with children,2 rooms,0.03158,32,401,0.01445,0.04872
1984,Bavaria,Couple with children,3 rooms,0.28108,150,401,0.23703,0.32513
1984,Bavaria,Couple with children,4 rooms,0.30804,135,401,0.26279,0.35328
1984,Bavaria,Couple with children,5 rooms,0.21738,84,401,0.17696,0.25780
1984,Berlin,Single-person household,2 rooms,0.54137,35,35,0.37388,0.70887
1984,Berlin,Couple with children,3 rooms,0.48891,33,33,0.31571,0.66211
1985,Lower Saxony,Single-person household,2 rooms,0.46641,47,78,0.35498,0.57784
1985,Lower Saxony,Single-person household,3 rooms,0.30310,31,78,0.20045,0.40576
1985,Lower Saxony,Couple without children,3 rooms,0.40603,57,57,0.27741,0.53466
1985,Lower Saxony,Couple with children,3 rooms,0.23890,63,167,0.17403,0.30377
1985,Lower Saxony,Couple with children,4 rooms,0.30019,64,167,0.23046,0.36991
1985,Lower Saxony,Couple with children,5 rooms,0.20686,40,167,0.14524,0.26847
1985,North Rhine-Westphalia,Single-person household,1 room,0.15864,66,292,0.11666,0.20062
1985,North Rhine-Westphalia,Single-person household,2 rooms,0.46027,149,292,0.40300,0.51753
1985,North Rhine-Westphalia,Single-person household,3 rooms,0.26785,77,292,0.21697,0.31874
1985,North Rhine-Westphalia,Couple without children,2 rooms,0.26353,89,286,0.21238,0.31468
1985,North Rhine-Westphalia,Couple without children,3 rooms,0.44798,136,286,0.39024,0.50571
1985,North Rhine-Westphalia,Couple without children,4 rooms,0.19758,61,286,0.15136,0.24381
1985,North Rhine-Westphalia,Single parent,3 rooms,0.51751,37,37,0.35427,0.68074
1985,North Rhine-Westphalia,Couple with children,2 rooms,0.05232,48,609,0.03462,0.07002
1985,North Rhine-Westphalia,Couple with children,3 rooms,0.29214,229,609,0.25599,0.32829
