"year","bildungsniveau","mean","median","n","percentile_10","percentile_25","percentile_75","percentile_90","percentile_99","lower_confidence_mean","upper_confidence_mean","minimum","maximum","lower_confidence_median","upper_confidence_median"
"1984","(Fach-)Abitur","6.23","5.5","484","3","5","8","10","10","6","6.46","0","10","6","7"
"1984","(noch) kein Abschluss","6.6","6.5","848","3","5","8","10","10","6.44","6.76","0","10","7","8"
"1984","AkademikerIn","6.32","6.5","408","3","5","8","10","10","6.07","6.57","0","10","6","7"
"1984","Hauptschule","7.13","7.5","4825","4","5","9","10","10","7.06","7.2","0","10","7","8"
"1984","Realschule","6.95","6.5","1164","4","5","9","10","10","6.81","7.09","0","10","7","8"
"1985","(Fach-)Abitur","6.29","5.5","388","3","5","8","10","10","6.05","6.53","0","10","6","7"
"1985","(noch) kein Abschluss","6.87","6.5","623","4","5","8","10","10","6.7","7.04","0","10","7","8"
"1985","AkademikerIn","6.39","6.5","359","3","5","8","10","10","6.15","6.63","0","10","6","7"
"1985","Hauptschule","7.1","6.5","3881","4","5","9","10","10","7.03","7.17","0","10","7","7"
"1985","Realschule","6.92","6.5","1064","4","5","9","10","10","6.78","7.06","0","10","7","7"
"1986","(Fach-)Abitur","6.35","5.5","417","4","5","8","10","10","6.13","6.57","0","10","6","7"
"1986","(noch) kein Abschluss","6.52","6.5","632","4","5","8","10","10","6.34","6.7","0","10","7","7"
"1986","AkademikerIn","6.43","6.5","372","3","5","8","9","10","6.2","6.66","0","10","6","7"
"1986","Hauptschule","7.06","6.5","3772","4","5","9","10","10","6.99","7.13","0","10","7","7"
"1986","Realschule","6.76","6.5","1078","4","5","8","10","10","6.63","6.89","0","10","7","7"
"1987","(Fach-)Abitur","6.6","6.5","409","4","5","8","10","10","6.4","6.8","1","10","6","7"
"1987","(noch) kein Abschluss","6.79","6.5","619","4","5","8","10","10","6.62","6.96","0","10","7","7"
"1987","AkademikerIn","6.47","6.5","372","3","5","8","10","10","6.23","6.71","0","10","6","7"
"1987","Hauptschule","7.07","6.5","3770","4","5","9","10","10","7","7.14","0","10","7","7"
"1987","Realschule","6.96","6.5","1070","5","5","8","10","10","6.84","7.08","0","10","7","7"
"1988","(Fach-)Abitur","6.46","6.5","392","3","5","8","10","10","6.24","6.68","0","10","6","7"
"1988","(noch) kein Abschluss","6.53","6.5","561","4","5","8","10","10","6.35","6.71","0","10","7","7"
"1988","AkademikerIn","6.4","6.5","344","3","5","8","10","10","6.16","6.64","0","10","6","7"
"1988","Hauptschule","6.92","6.5","3612","4","5","8","10","10","6.85","6.99","0","10","7","7"
"1988","Realschule","6.72","6.5","1067","4","5","8","10","10","6.59","6.85","0","10","7","7"
"1989","(Fach-)Abitur","6.39","6.5","395","3","5","8","10","10","6.16","6.62","0","10","6","7"
"1989","(noch) kein Abschluss","6.68","6.5","544","4","5","8","10","10","6.5","6.86","0","10","7","7"
"1989","AkademikerIn","6.31","6.5","364","3","5","8","9","10","6.08","6.54","0","10","6","7"
"1989","Hauptschule","6.81","6.5","3560","4","5","8","10","10","6.74","6.88","0","10","7","7"
"1989","Realschule","6.76","6.5","1063","4","5","8","10","10","6.63","6.89","0","10","7","7"
"1990","(Fach-)Abitur","6.34","6.5","428","3","5","8","9","10","6.12","6.56","0","10","6","7"
"1990","(noch) kein Abschluss","6.75","6.5","542","4","5","8","10","10","6.57","6.93","0","10","7","7"
"1990","AkademikerIn","6.44","6.5","380","3","5","8","9","10","6.22","6.66","0","10","6","7"
"1990","Hauptschule","6.76","6.5","3753","4","5","8","10","10","6.69","6.83","0","10","7","7"
"1990","Realschule","6.72","6.5","1130","4","5","8","9","10","6.6","6.84","0","10","7","7"
"1991","(Fach-)Abitur","","","","","","","","","","","","","",""
"1991","(noch) kein Abschluss","","","","","","","","","","","","","",""
"1991","AkademikerIn","","","","","","","","","","","","","",""
"1991","Hauptschule","","","","","","","","","","","","","",""
"1991","Realschule","","","","","","","","","","","","","",""
"1992","(Fach-)Abitur","","","","","","","","","","","","","",""
"1992","(noch) kein Abschluss","","","","","","","","","","","","","",""
"1992","AkademikerIn","","","","","","","","","","","","","",""
"1992","Hauptschule","","","","","","","","","","","","","",""
"1992","Realschule","","","","","","","","","","","","","",""
"1993","(Fach-)Abitur","6.44","6.5","522","3","5","8","10","10","6.24","6.64","0","10","7","7"
"1993","(noch) kein Abschluss","6.5","5.5","558","4","5","8","10","10","6.33","6.67","0","10","6","7"
"1993","AkademikerIn","6.21","5.5","869","3","5","8","9","10","6.07","6.35","0","10","6","7"
"1993","Hauptschule","6.54","6.5","4447","4","5","8","9","10","6.48","6.6","0","10","7","7"
"1993","Realschule","6.5","6.5","2012","4","5","8","9","10","6.41","6.59","0","10","7","7"
"1994","(Fach-)Abitur","6.37","5.5","545","4","5","8","9","10","6.2","6.54","0","10","6","7"
"1994","(noch) kein Abschluss","6.61","6.5","537","4","5","8","10","10","6.43","6.79","0","10","6","7"
"1994","AkademikerIn","6.18","5.5","956","3","5","8","9","10","6.05","6.31","0","10","6","7"
"1994","Hauptschule","6.52","6.5","4311","4","5","8","9","10","6.46","6.58","0","10","7","7"
"1994","Realschule","6.55","6.5","2037","4","5","8","9","10","6.46","6.64","0","10","7","7"
"1995","(Fach-)Abitur","6.48","6.5","671","4","5","8","10","10","6.32","6.64","0","10","7","7"
"1995","(noch) kein Abschluss","6.31","5.5","530","4","5","8","10","10","6.13","6.49","0","10","6","7"
"1995","AkademikerIn","6.34","5.5","1039","3","5","8","9","10","6.21","6.47","0","10","6","7"
"1995","Hauptschule","6.59","6.5","4425","4","5","8","9","10","6.53","6.65","0","10","7","7"
"1995","Realschule","6.4","6.5","2171","4","5","8","9","10","6.31","6.49","0","10","6","7"
"1996","(Fach-)Abitur","6.43","6.5","674","4","5","8","9","10","6.28","6.58","1","10","7","7"
"1996","(noch) kein Abschluss","6.34","6.5","527","3","5","8","9","10","6.16","6.52","0","10","6","7"
"1996","AkademikerIn","6.29","6.5","1020","3","5","8","9","10","6.16","6.42","0","10","6","7"
"1996","Hauptschule","6.58","6.5","4311","4","5","8","9","10","6.52","6.64","0","10","7","7"
"1996","Realschule","6.46","6.5","2185","4","5","8","9","10","6.38","6.54","0","10","7","7"
"1997","(Fach-)Abitur","6.38","6.5","651","3","5","8","9","10","6.22","6.54","0","10","7","7"
"1997","(noch) kein Abschluss","6.41","6.5","526","3","5","8","9","10","6.23","6.59","0","10","6","7"
"1997","AkademikerIn","6.34","6.5","1075","4","5","8","9","10","6.22","6.46","0","10","6","7"
"1997","Hauptschule","6.54","6.5","4176","4","5","8","9","10","6.48","6.6","0","10","7","7"
"1997","Realschule","6.44","6.5","2200","4","5","8","9","10","6.36","6.52","0","10","7","7"
"1998","(Fach-)Abitur","6.49","6.5","746","4","5","8","9","10","6.34","6.64","0","10","7","7"
"1998","(noch) kein Abschluss","6.33","5.5","481","4","5","8","9","10","6.14","6.52","0","10","6","7"
"1998","AkademikerIn","6.48","6.5","1201","4","5","8","9","10","6.37","6.59","0","10","6","7"
"1998","Hauptschule","6.57","6.5","4504","4","5","8","9","10","6.51","6.63","0","10","7","7"
"1998","Realschule","6.62","6.5","2471","4","5","8","9","10","6.54","6.7","0","10","7","7"
"1999","(Fach-)Abitur","6.37","6.5","778","3","5","8","9","10","6.22","6.52","0","10","6","7"
"1999","(noch) kein Abschluss","6.22","5.5","475","4","5","8","9","10","6.03","6.41","0","10","6","7"
"1999","AkademikerIn","6.26","5.5","1220","3","5","8","9","10","6.14","6.38","0","10","6","7"
"1999","Hauptschule","6.54","6.5","4444","4","5","8","9","10","6.48","6.6","0","10","7","7"
"1999","Realschule","6.64","6.5","2502","4","5","8","9","10","6.56","6.72","0","10","7","7"
"2000","(Fach-)Abitur","6.53","6.5","1605","4","5","8","9","10","6.43","6.63","0","10","7","7"
"2000","(noch) kein Abschluss","6.36","5.5","542","4","5","8","9","10","6.17","6.55","0","10","6","7"
"2000","AkademikerIn","6.44","6.5","2460","4","5","8","9","10","6.36","6.52","0","10","7","7"
"2000","Hauptschule","6.69","6.5","7971","4","5","8","10","10","6.64","6.74","0","10","7","7"
"2000","Realschule","6.61","6.5","4674","4","5","8","9","10","6.55","6.67","0","10","7","7"
"2001","(Fach-)Abitur","6.44","6.5","1562","4","5","8","9","10","6.34","6.54","0","10","6","7"
"2001","(noch) kein Abschluss","6.25","5.5","522","3","5","8","10","10","6.05","6.45","0","10","6","7"
"2001","AkademikerIn","6.55","6.5","2344","4","5","8","9","10","6.47","6.63","0","10","7","7"
"2001","Hauptschule","6.69","6.5","7111","4","5","8","9","10","6.64","6.74","0","10","7","7"
"2001","Realschule","6.73","6.5","4381","4","5","8","9","10","6.67","6.79","0","10","7","7"
"2002","(Fach-)Abitur","6.51","6.5","1699","4","5","8","9","10","6.41","6.61","0","10","7","7"
"2002","(noch) kein Abschluss","6.25","5.5","488","4","5","8","9","10","6.05","6.45","0","10","6","7"
"2002","AkademikerIn","6.45","6.5","2905","4","5","8","9","10","6.38","6.52","0","10","7","7"
"2002","Hauptschule","6.56","6.5","6801","4","5","8","9","10","6.51","6.61","0","10","7","7"
"2002","Realschule","6.57","6.5","4549","4","5","8","9","10","6.51","6.63","0","10","7","7"
"2003","(Fach-)Abitur","6.58","6.5","1715","4","5","8","9","10","6.49","6.67","0","10","7","7"
"2003","(noch) kein Abschluss","6.25","5.5","531","3","5","8","9","10","6.06","6.44","0","10","6","7"
"2003","AkademikerIn","6.46","6.5","2886","4","5","8","9","10","6.39","6.53","0","10","7","7"
"2003","Hauptschule","6.63","6.5","6599","4","5","8","9","10","6.58","6.68","0","10","7","7"
