"year","alter_gr","regtyp","mean","median","n","lower_confidence","upper_confidence"
"1985","16-34 Jahre alt","Laendlicher Raum","6.81","6.5","426","6.58","7.04"
"1985","16-34 Jahre alt","Staedtischer Raum","6.54","6.5","1724","6.43","6.65"
"1985","35-65 Jahre alt","Laendlicher Raum","7.18","6.5","749","7.02","7.34"
"1985","35-65 Jahre alt","Staedtischer Raum","7.08","6.5","2716","7","7.16"
"1985","66 und älter","Laendlicher Raum","7.26","7.5","198","6.94","7.58"
"1985","66 und älter","Staedtischer Raum","7.09","6.5","579","6.91","7.27"
"1986","16-34 Jahre alt","Laendlicher Raum","6.72","6.5","413","6.5","6.94"
"1986","16-34 Jahre alt","Staedtischer Raum","6.41","6.5","1799","6.31","6.51"
"1986","35-65 Jahre alt","Laendlicher Raum","7.02","6.5","724","6.87","7.17"
"1986","35-65 Jahre alt","Staedtischer Raum","6.9","6.5","2674","6.82","6.98"
"1986","66 und älter","Laendlicher Raum","7.52","7.5","189","7.21","7.83"
"1986","66 und älter","Staedtischer Raum","7.36","7.5","552","7.18","7.54"
"1987","16-34 Jahre alt","Laendlicher Raum","6.76","6.5","429","6.55","6.97"
"1987","16-34 Jahre alt","Staedtischer Raum","6.62","6.5","1753","6.52","6.72"
"1987","35-65 Jahre alt","Laendlicher Raum","7.04","6.5","724","6.89","7.19"
"1987","35-65 Jahre alt","Staedtischer Raum","6.96","6.5","2639","6.88","7.04"
"1987","66 und älter","Laendlicher Raum","7.38","7.5","190","7.07","7.69"
"1987","66 und älter","Staedtischer Raum","7.35","7.5","590","7.18","7.52"
"1988","16-34 Jahre alt","Laendlicher Raum","6.8","6.5","408","6.58","7.02"
"1988","16-34 Jahre alt","Staedtischer Raum","6.52","6.5","1705","6.42","6.62"
"1988","35-65 Jahre alt","Laendlicher Raum","6.95","6.5","669","6.79","7.11"
"1988","35-65 Jahre alt","Staedtischer Raum","6.79","6.5","2538","6.71","6.87"
"1988","66 und älter","Laendlicher Raum","7.03","6.5","186","6.7","7.36"
"1988","66 und älter","Staedtischer Raum","7.04","6.5","576","6.85","7.23"
"1989","16-34 Jahre alt","Laendlicher Raum","6.42","6.5","400","6.21","6.63"
"1989","16-34 Jahre alt","Staedtischer Raum","6.41","6.5","1695","6.31","6.51"
"1989","35-65 Jahre alt","Laendlicher Raum","6.8","6.5","667","6.64","6.96"
"1989","35-65 Jahre alt","Staedtischer Raum","6.73","6.5","2517","6.65","6.81"
"1989","66 und älter","Laendlicher Raum","6.96","6.5","173","6.63","7.29"
"1989","66 und älter","Staedtischer Raum","7.13","7.5","581","6.95","7.31"
"1990","16-34 Jahre alt","Laendlicher Raum","6.51","6.5","465","6.3","6.72"
"1990","16-34 Jahre alt","Staedtischer Raum","6.53","6.5","1788","6.43","6.63"
