year,age_gr,sampreg,n,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence
1993,46-65 y.,West,1904,6.592104382843782,6.499363471915245,6.6848452937723195,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0
1993,46-65 y.,East,734,6.302951310154509,6.1457043857203715,6.460198234588647,5.0,6.0,8.0,0.5,10.0,6.0,5.0,6.0
1993,66 and older,West,799,6.593377924632107,6.431213992840091,6.755541856424124,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0
1993,66 and older,East,300,6.170285900005203,5.89736184330952,6.443209956700885,5.0,6.0,8.0,0.5,10.0,6.0,5.0,7.0
1994,0-16 y.,West,,,,,,,,,,,,
1994,0-16 y.,East,,,,,,,,,,,,
1994,17-29 y.,West,1545,6.5506380970945015,6.440836609823321,6.660439584365682,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0
1994,17-29 y.,East,453,6.419740256761491,6.222237757167201,6.617242756355782,5.0,7.0,8.0,0.5,10.0,7.0,7.0,8.0
1994,30-45 y.,West,2019,6.3454681973701685,6.2586714121826486,6.4322649825576885,5.0,7.0,8.0,0.5,10.0,7.0,7.0,8.0
1994,30-45 y.,East,814,6.1787106688895825,6.038570382653863,6.318850955125302,5.0,6.0,8.0,0.5,10.0,6.0,5.0,6.0
1994,46-65 y.,West,1859,6.637830097019177,6.54289461862438,6.732765575413974,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0
1994,46-65 y.,East,766,6.297066792857716,6.150741516011045,6.443392069704388,5.0,6.0,8.0,0.5,10.0,6.0,5.0,6.0
1994,66 and older,West,826,6.663124204165463,6.508879112484111,6.817369295846815,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0
1994,66 and older,East,310,6.087390964486556,5.83336162421761,6.341420304755501,5.0,6.0,8.0,0.5,10.0,6.0,5.0,6.0
1995,0-16 y.,West,,,,,,,,,,,,
1995,0-16 y.,East,,,,,,,,,,,,
1995,17-29 y.,West,1609,6.62145903147518,6.514291906174597,6.728626156775762,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0
1995,17-29 y.,East,502,6.458560759828709,6.278085181653016,6.639036338004401,5.0,7.0,8.0,0.5,10.0,7.0,7.0,8.0
1995,30-45 y.,West,2313,6.316781047991311,6.2309552680052915,6.402606827977331,5.0,6.163319984087077,8.0,0.5,10.0,6.0,5.0,6.0
1995,30-45 y.,East,796,6.117321412393947,5.976996255560187,6.257646569227707,5.0,6.0,8.0,0.5,10.0,6.0,6.0,6.0
1995,46-65 y.,West,1942,6.659556085855085,6.570501080591058,6.748611091119112,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0
1995,46-65 y.,East,747,6.377723482116042,6.2323514007693115,6.523095563462772,5.0,7.0,8.0,0.5,10.0,7.0,7.0,8.0
