"ple0020","year","bildungsniveau","regtyp","n","percent","lower_confidence_percent","upper_confidence_percent"
"Ja","2009","(noch) kein Abschluss","Städtischer Raum","1","","",""
"Ja","2009","(noch) kein Abschluss","Ländlicher Raum","1","","",""
"Ja","2009","Hauptschule","Städtischer Raum","22","","",""
"Ja","2009","Hauptschule","Ländlicher Raum","12","","",""
"Ja","2009","Realschule","Städtischer Raum","4","","",""
"Ja","2009","Realschule","Ländlicher Raum","3","","",""
"Ja","2009","(Fach-)Abitur","Städtischer Raum","","","",""
"Ja","2009","(Fach-)Abitur","Ländlicher Raum","1","","",""
"Ja","2009","AkademikerIn","Städtischer Raum","3","","",""
"Ja","2009","AkademikerIn","Ländlicher Raum","","","",""
"Nein","2009","(noch) kein Abschluss","Städtischer Raum","345","0.990066526181949","0.97961709124868","1.00051596111522"
"Nein","2009","(noch) kein Abschluss","Ländlicher Raum","137","0.972462080879819","0.945159076056263","0.999765085703375"
"Nein","2009","Hauptschule","Städtischer Raum","3905","0.992614964922486","0.98993712673321","0.995292803111762"
"Nein","2009","Hauptschule","Ländlicher Raum","2273","0.996414741733477","0.993964069197235","0.998865414269719"
"Nein","2009","Realschule","Städtischer Raum","2770","0.998188391250171","0.99660592912322","0.999770853377121"
"Nein","2009","Realschule","Ländlicher Raum","2035","0.99904718780902","0.997707688004357","1.00038668761368"
"Nein","2009","(Fach-)Abitur","Städtischer Raum","1484","1","1","1"
"Nein","2009","(Fach-)Abitur","Ländlicher Raum","519","0.99725019471543","0.99274929376992","1.00175109566094"
"Nein","2009","AkademikerIn","Städtischer Raum","2812","0.998773967830242","0.997481280680983","1.0000666549795"
"Nein","2009","AkademikerIn","Ländlicher Raum","1220","1","1","1"
"Ja","2010","(noch) kein Abschluss","Städtischer Raum","","","",""
"Ja","2010","(noch) kein Abschluss","Ländlicher Raum","","","",""
"Ja","2010","Hauptschule","Städtischer Raum","","","",""
"Ja","2010","Hauptschule","Ländlicher Raum","","","",""
"Ja","2010","Realschule","Städtischer Raum","","","",""
"Ja","2010","Realschule","Ländlicher Raum","","","",""
"Ja","2010","(Fach-)Abitur","Städtischer Raum","","","",""
"Ja","2010","(Fach-)Abitur","Ländlicher Raum","","","",""
"Ja","2010","AkademikerIn","Städtischer Raum","","","",""
"Ja","2010","AkademikerIn","Ländlicher Raum","","","",""
