year,bula_h,ple0020,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2009,Schleswig-Holstein,No,0.84305,509,509,0.81141,0.87468
2009,Hamburg,No,0.91992,267,267,0.88730,0.95254
2009,Lower Saxony,No,0.84630,1628,1628,0.82877,0.86382
2009,Bremen,No,0.91964,120,120,0.87079,0.96848
2009,North Rhine-Westphalia,No,0.83531,3621,3621,0.82323,0.84739
2009,Hesse,No,0.81251,1212,1212,0.79053,0.83450
2009,"Rhineland-Palatinate, Saarland",No,0.82150,1021,1021,0.79800,0.84500
2009,Baden-Wuerttemberg,No,0.82307,2098,2098,0.80673,0.83940
2009,Bavaria,No,0.83740,2606,2606,0.82322,0.85157
2009,Berlin,No,0.86153,680,680,0.83555,0.88751
2009,Brandenburg,No,0.84671,786,786,0.82150,0.87191
2009,Mecklenburg-Western Pomerania,No,0.88353,469,469,0.85447,0.91259
2009,Saxony,No,0.86480,1367,1367,0.84666,0.88293
2009,Saxony-Anhalt,No,0.88058,767,767,0.85762,0.90355
2009,Thuringa,No,0.84755,819,819,0.82292,0.87218
2011,Schleswig-Holstein,No,0.75219,649,649,0.71895,0.78543
2011,Hamburg,No,0.80837,311,311,0.76456,0.85219
2011,Lower Saxony,No,0.75810,1904,1904,0.73886,0.77734
2011,Bremen,No,0.76087,125,125,0.68579,0.83595
2011,North Rhine-Westphalia,No,0.76241,4121,4121,0.74942,0.77541
2011,Hesse,No,0.72793,1404,1404,0.70465,0.75122
2011,"Rhineland-Palatinate, Saarland",No,0.75642,1204,1204,0.73216,0.78067
2011,Baden-Wuerttemberg,No,0.74459,2479,2479,0.72742,0.76176
2011,Bavaria,No,0.76659,3172,3172,0.75187,0.78131
2011,Berlin,No,0.79900,779,779,0.77084,0.82716
2011,Brandenburg,No,0.78819,878,878,0.76115,0.81524
2011,Mecklenburg-Western Pomerania,No,0.79820,514,514,0.76347,0.83293
2011,Saxony,No,0.79069,1399,1399,0.76936,0.81202
2011,Saxony-Anhalt,No,0.80097,865,865,0.77435,0.82760
2011,Thuringa,No,0.79897,883,883,0.77252,0.82542
2013,Schleswig-Holstein,No,0.71867,593,593,0.68245,0.75489
2013,Hamburg,No,0.72878,309,309,0.67913,0.77843
2013,Lower Saxony,No,0.71646,1771,1771,0.69546,0.73746
2013,Bremen,No,0.64931,118,118,0.56284,0.73578
2013,North Rhine-Westphalia,No,0.68791,3708,3708,0.67300,0.70283
2013,Hesse,No,0.68207,1286,1286,0.65661,0.70753
2013,"Rhineland-Palatinate, Saarland",No,0.70456,1092,1092,0.67748,0.73163
2013,Baden-Wuerttemberg,No,0.67237,2121,2121,0.65240,0.69235
2013,Bavaria,No,0.70271,2934,2934,0.68617,0.71925
2013,Berlin,No,0.71840,765,765,0.68651,0.75030
2013,Brandenburg,No,0.75555,779,779,0.72536,0.78575
2013,Mecklenburg-Western Pomerania,No,0.78222,452,452,0.74413,0.82032
2013,Saxony,No,0.79007,1327,1327,0.76815,0.81199
2013,Saxony-Anhalt,No,0.78322,757,757,0.75384,0.81259
2013,Thuringa,No,0.78569,796,796,0.75717,0.81421
2015,Schleswig-Holstein,No,0.83589,872,872,0.81130,0.86049
2015,Hamburg,No,0.80884,422,422,0.77128,0.84641
2015,Lower Saxony,No,0.82720,2417,2417,0.81213,0.84228
2015,Bremen,No,0.83106,172,172,0.77490,0.88722
2015,North Rhine-Westphalia,No,0.81619,5156,5156,0.80562,0.82676
2015,Hesse,No,0.79858,1701,1701,0.77952,0.81765
2015,"Rhineland-Palatinate, Saarland",No,0.83477,1492,1492,0.81592,0.85362
2015,Baden-Wuerttemberg,No,0.82131,2976,2976,0.80754,0.83508
2015,Bavaria,No,0.81290,4018,4018,0.80084,0.82496
2015,Berlin,No,0.81911,911,911,0.79410,0.84412
2015,Brandenburg,No,0.83483,981,981,0.81158,0.85808
2015,Mecklenburg-Western Pomerania,No,0.84727,555,555,0.81731,0.87722
2015,Saxony,No,0.84594,1506,1506,0.82770,0.86417
2015,Saxony-Anhalt,No,0.85833,879,879,0.83526,0.88139
2015,Thuringa,No,0.82386,917,917,0.79919,0.84853
2017,Schleswig-Holstein,No,0.81992,948,948,0.79544,0.84439
2017,Hamburg,No,0.82205,466,466,0.78729,0.85682
2017,Lower Saxony,No,0.83105,2688,2688,0.81688,0.84521
2017,Bremen,No,0.81271,220,220,0.76103,0.86438
2017,North Rhine-Westphalia,No,0.83031,5508,5508,0.82039,0.84022
2017,Hesse,No,0.82217,1783,1783,0.80442,0.83992
2017,"Rhineland-Palatinate, Saarland",No,0.82542,1522,1522,0.80634,0.84450
2017,Baden-Wuerttemberg,No,0.82652,3015,3015,0.81300,0.84004
2017,Bavaria,No,0.83630,4205,4205,0.82512,0.84748
2017,Berlin,No,0.85458,986,986,0.83256,0.87659
2017,Brandenburg,No,0.81428,1029,1029,0.79051,0.83805
2017,Mecklenburg-Western Pomerania,No,0.82532,573,573,0.79420,0.85643
2017,Saxony,No,0.84924,1651,1651,0.83197,0.86650
2017,Saxony-Anhalt,No,0.82503,918,918,0.80044,0.84962
2017,Thuringa,No,0.84658,974,974,0.82393,0.86923
2019,Schleswig-Holstein,No,0.80223,952,952,0.77692,0.82755
2019,Hamburg,No,0.80869,528,528,0.77511,0.84227
2019,Lower Saxony,No,0.82335,2480,2480,0.80833,0.83836
2019,Bremen,No,0.83517,219,219,0.78591,0.88442
2019,North Rhine-Westphalia,No,0.83642,5387,5387,0.82654,0.84630
2019,Hesse,No,0.82999,1709,1709,0.81217,0.84780
2019,"Rhineland-Palatinate, Saarland",No,0.83207,1463,1463,0.81290,0.85123
2019,Baden-Wuerttemberg,No,0.81723,2792,2792,0.80289,0.83157
2019,Bavaria,No,0.82604,3944,3944,0.81421,0.83787
2019,Berlin,No,0.84531,1025,1025,0.82317,0.86746
2019,Brandenburg,No,0.80621,1106,1106,0.78290,0.82951
2019,Mecklenburg-Western Pomerania,No,0.82344,609,609,0.79314,0.85375
2019,Saxony,No,0.84865,1626,1626,0.83122,0.86607
2019,Saxony-Anhalt,No,0.84201,885,885,0.81796,0.86605
2019,Thuringa,No,0.84469,919,919,0.82126,0.86812
2021,Schleswig-Holstein,No,0.76258,823,823,0.73349,0.79167
2021,Hamburg,No,0.84853,450,450,0.81537,0.88169
2021,Lower Saxony,No,0.81690,1876,1876,0.79940,0.83441
2021,Bremen,No,0.90400,151,151,0.85685,0.95114
2021,North Rhine-Westphalia,No,0.82195,4103,4103,0.81024,0.83365
2021,Hesse,No,0.83292,1321,1321,0.81279,0.85304
2021,"Rhineland-Palatinate, Saarland",No,0.83621,996,996,0.81321,0.85920
2021,Baden-Wuerttemberg,No,0.82012,2163,2163,0.80393,0.83631
2021,Bavaria,No,0.81347,2841,2841,0.79914,0.82780
2021,Berlin,No,0.81884,903,903,0.79370,0.84397
2021,Brandenburg,No,0.80763,699,699,0.77838,0.83687
2021,Mecklenburg-Western Pomerania,No,0.84766,407,407,0.81270,0.88261
2021,Saxony,No,0.83233,1157,1157,0.81080,0.85387
2021,Saxony-Anhalt,No,0.83604,597,597,0.80631,0.86576
2021,Thuringa,No,0.81071,632,632,0.78015,0.84128
