year,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,n
1984,4.52191,4.43834,4.60549,0.00000,3.00000,9.00000,0.00000,22.50000,12006.00000
1985,4.53775,4.44946,4.62603,0.00000,3.00000,9.00000,0.00000,22.00000,10956.00000
1986,4.65359,4.56267,4.74451,0.00000,4.00000,9.00000,0.00000,22.50000,10493.00000
1987,4.75752,4.66584,4.84920,0.00000,4.00000,9.00000,0.00000,22.50000,10330.00000
1988,4.74237,4.64856,4.83619,0.00000,4.00000,9.00000,0.00000,22.50000,9852.00000
1989,4.82076,4.72573,4.91578,0.00000,5.00000,9.00000,0.00000,22.50000,9573.00000
1990,1.53340,1.47665,1.59016,0.00000,0.00000,0.00000,0.00000,0.00000,13826.00000
1991,5.08488,5.00473,5.16503,0.00000,6.00000,9.00000,0.00000,18.00000,12929.00000
1992,5.03457,4.95316,5.11597,0.00000,6.00000,9.00000,0.00000,18.00000,12725.00000
1993,5.00393,4.92200,5.08586,0.00000,6.00000,9.00000,0.00000,18.00000,12554.00000
1994,4.88385,4.80131,4.96639,0.00000,5.00000,9.00000,0.00000,18.00000,12345.00000
1995,4.78846,4.70792,4.86901,0.00000,5.00000,9.00000,0.00000,22.50000,12931.00000
1996,4.78697,4.70515,4.86879,0.00000,5.00000,9.00000,0.00000,18.00000,12646.00000
1997,4.68665,4.60443,4.76886,0.00000,4.00000,9.00000,0.00000,22.50000,12388.00000
1998,4.55820,4.47906,4.63733,0.00000,3.00000,9.00000,0.00000,22.50000,13428.00000
1999,4.70935,4.63052,4.78818,0.00000,4.00000,9.00000,0.00000,22.50000,13406.00000
2000,4.71721,4.65793,4.77649,0.00000,4.00000,9.00000,0.00000,22.50000,23786.00000
2001,4.74576,4.68339,4.80814,0.00000,5.00000,9.00000,0.00000,22.50000,21550.00000
2002,4.56414,4.50414,4.62413,0.00000,4.00000,9.00000,0.00000,22.50000,22670.00000
2003,4.53264,4.47148,4.59381,0.00000,4.00000,9.00000,0.00000,22.50000,21638.00000
2004,4.49047,4.42812,4.55282,0.00000,3.00000,9.00000,0.00000,22.50000,21140.00000
2005,4.52253,4.45923,4.58582,0.00000,4.00000,9.00000,0.00000,22.50000,20324.00000
2006,4.52015,4.45869,4.58161,0.00000,4.00000,9.00000,0.00000,22.50000,21640.00000
2007,4.67316,4.60963,4.73670,0.00000,4.00000,9.00000,0.00000,22.50000,20176.00000
2008,4.78478,4.71898,4.85059,0.00000,5.00000,9.00000,0.00000,22.50000,18953.00000
2009,4.75909,4.69164,4.82654,0.00000,5.00000,9.00000,0.00000,22.50000,17681.00000
2010,4.75600,4.69751,4.81449,0.00000,5.00000,9.00000,0.00000,22.50000,23582.00000
2011,4.77864,4.72531,4.83196,0.00000,5.00000,9.00000,0.00000,22.50000,27848.00000
2012,4.81292,4.75866,4.86718,0.00000,5.00000,9.00000,0.00000,22.50000,27221.00000
2013,4.70148,4.64545,4.75752,0.00000,5.00000,9.00000,0.00000,22.50000,25311.00000
2014,4.80459,4.75021,4.85897,0.00000,5.00000,9.00000,0.00000,19.00000,26636.00000
2015,4.77546,4.72140,4.82952,0.00000,5.00000,9.00000,0.00000,22.50000,26414.00000
2016,4.86771,4.81410,4.92133,0.00000,5.00000,9.00000,0.00000,22.50000,26783.00000
2017,4.89398,4.84332,4.94464,0.00000,6.00000,9.00000,0.00000,17.00000,29927.00000
2018,4.95120,4.89947,5.00293,0.00000,6.00000,9.00000,0.00000,21.00000,28581.00000
2019,4.97272,4.92114,5.02430,0.00000,6.00000,9.00000,0.00000,18.00000,28454.00000
2020,4.93230,4.88147,4.98313,0.00000,6.00000,9.00000,0.00000,18.00000,28826.00000
2021,5.01750,4.95586,5.07914,0.00000,6.00000,9.00000,0.00000,22.50000,18910.00000
2022,5.24490,5.19262,5.29718,0.00000,7.00000,9.00000,0.00000,22.50000,27067.00000
