syear,quintil_oecd,sampreg,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence,n
2005,4. Quintil,East,3.1418953600983355,3.0989277872399397,3.1848629329567313,2.0,3.0,4.0,1.0,7.0,3.0,3.0,3.0,1303.0
2005,5. Quintil,West,3.0464439344776224,3.023952044846972,3.068935824108273,2.0,3.0,4.0,1.0,7.0,3.0,3.0,3.0,4781.0
2005,5. Quintil,East,2.8398633542974814,2.7848622454999883,2.8948644630949745,2.0,3.0,4.0,1.0,7.0,3.0,3.0,4.0,674.0
2006,2. Quintil,West,,,,,,,,,,,,
2006,2. Quintil,East,,,,,,,,,,,,
2006,3. Quintil,West,,,,,,,,,,,,
2006,3. Quintil,East,,,,,,,,,,,,
2006,4. Quintil,West,,,,,,,,,,,,
2006,4. Quintil,East,,,,,,,,,,,,
2006,5. Quintil,West,,,,,,,,,,,,
2006,5. Quintil,East,,,,,,,,,,,,
2007,1. Quintil,West,,,,,,,,,,,,
2007,1. Quintil,East,,,,,,,,,,,,
2007,2. Quintil,West,,,,,,,,,,,,
2007,2. Quintil,East,,,,,,,,,,,,
2007,3. Quintil,West,,,,,,,,,,,,
2007,3. Quintil,East,,,,,,,,,,,,
2007,4. Quintil,West,,,,,,,,,,,,
2007,4. Quintil,East,,,,,,,,,,,,
2007,5. Quintil,West,,,,,,,,,,,,
2007,5. Quintil,East,,,,,,,,,,,,
2008,2. Quintil,West,,,,,,,,,,,,
2008,2. Quintil,East,,,,,,,,,,,,
2008,3. Quintil,West,,,,,,,,,,,,
2008,3. Quintil,East,,,,,,,,,,,,
2008,4. Quintil,West,,,,,,,,,,,,
2008,4. Quintil,East,,,,,,,,,,,,
2008,5. Quintil,West,,,,,,,,,,,,
2008,5. Quintil,East,,,,,,,,,,,,
2009,2. Quintil,West,,,,,,,,,,,,
2009,2. Quintil,East,,,,,,,,,,,,
2009,3. Quintil,West,,,,,,,,,,,,
2009,3. Quintil,East,,,,,,,,,,,,
2009,4. Quintil,West,,,,,,,,,,,,
2009,4. Quintil,East,,,,,,,,,,,,
2009,5. Quintil,West,,,,,,,,,,,,
2009,5. Quintil,East,,,,,,,,,,,,
2010,2. Quintil,West,3.275649166980259,3.2308165080844873,3.3204818258760307,2.0,3.0,5.0,1.0,7.0,3.0,3.0,3.0,1448.0
2010,2. Quintil,East,3.407408093640538,3.3442849332379727,3.4705312540431037,2.0,3.0,5.0,1.0,7.0,3.0,2.0,3.0,766.0
2010,3. Quintil,West,3.177257911053132,3.145007178799255,3.209508643307009,2.0,3.0,4.0,1.0,7.0,3.0,3.0,3.0,2826.0
2010,3. Quintil,East,3.3590482291929944,3.3130279691671194,3.4050684892188694,2.0,3.0,4.0,1.0,7.0,3.0,3.0,3.0,1302.0
2010,4. Quintil,West,3.222454313977348,3.1945990826638018,3.2503095452908943,2.0,3.0,4.0,1.0,7.0,3.0,3.0,3.0,3514.0
2010,4. Quintil,East,3.190407464716854,3.1448938446918326,3.235921084741875,2.0,3.0,4.0,1.0,7.0,3.0,3.0,3.0,1298.0
2010,5. Quintil,West,3.0266478173953124,3.0041271329320245,3.0491685018586003,2.0,3.0,4.0,1.0,7.0,3.0,3.0,3.0,4655.0
2010,5. Quintil,East,2.9665451121657416,2.9083218570390965,3.0247683672923866,2.0,3.0,4.0,1.0,7.0,3.0,3.0,4.0,746.0
2011,2. Quintil,West,,,,,,,,,,,,
2011,2. Quintil,East,,,,,,,,,,,,
2011,3. Quintil,West,,,,,,,,,,,,
2011,3. Quintil,East,,,,,,,,,,,,
2011,4. Quintil,West,,,,,,,,,,,,
2011,4. Quintil,East,,,,,,,,,,,,
2011,5. Quintil,West,,,,,,,,,,,,
2011,5. Quintil,East,,,,,,,,,,,,
2012,1. Quintil,West,,,,,,,,,,,,
2012,2. Quintil,West,,,,,,,,,,,,
2012,2. Quintil,East,,,,,,,,,,,,
2012,3. Quintil,West,,,,,,,,,,,,
2012,3. Quintil,East,,,,,,,,,,,,
2012,4. Quintil,West,,,,,,,,,,,,
2012,4. Quintil,East,,,,,,,,,,,,
2012,5. Quintil,West,,,,,,,,,,,,
2012,5. Quintil,East,,,,,,,,,,,,
2013,1. Quintil,West,,,,,,,,,,,,
2013,2. Quintil,West,,,,,,,,,,,,
2013,2. Quintil,East,,,,,,,,,,,,
2013,3. Quintil,West,,,,,,,,,,,,
2013,3. Quintil,East,,,,,,,,,,,,
2013,4. Quintil,West,,,,,,,,,,,,
2013,4. Quintil,East,,,,,,,,,,,,
2013,5. Quintil,West,,,,,,,,,,,,
2013,5. Quintil,East,,,,,,,,,,,,
2014,2. Quintil,West,,,,,,,,,,,,
2014,2. Quintil,East,,,,,,,,,,,,
2014,3. Quintil,West,,,,,,,,,,,,
2014,3. Quintil,East,,,,,,,,,,,,
2014,4. Quintil,West,,,,,,,,,,,,
2014,4. Quintil,East,,,,,,,,,,,,
2014,5. Quintil,West,,,,,,,,,,,,
2014,5. Quintil,East,,,,,,,,,,,,
2015,2. Quintil,West,3.015231077054914,2.9830644613599144,3.0473976927499136,1.0,3.0,4.0,1.0,7.0,3.0,3.0,4.0,2889.0
2015,2. Quintil,East,3.376041638051055,3.3133293580825423,3.4387539180195676,2.0,3.0,5.0,1.0,7.0,3.0,3.0,3.0,908.0
2015,3. Quintil,West,2.9350966551573383,2.9099167533260073,2.9602765569886693,1.0,2.7650965392599938,4.0,1.0,7.0,3.0,3.0,4.0,4525.0
2015,3. Quintil,East,3.1529756784320964,3.1064636393488176,3.199487717515375,2.0,3.0,4.0,1.0,7.0,3.0,3.0,3.0,1396.0
2015,4. Quintil,West,2.9367048484141662,2.9154147385077724,2.95799495832056,1.0,3.0,4.0,1.0,7.0,3.0,3.0,4.0,5848.0
2015,4. Quintil,East,2.939606185392908,2.9035682603617503,2.975644110424066,2.0,3.0,4.0,1.0,7.0,3.0,3.0,3.0,1751.0
2015,5. Quintil,West,2.79050334906739,2.7735951273038912,2.8074115708308884,2.0,2.0,4.0,1.0,7.0,2.0,1.0,2.0,7914.0
2015,5. Quintil,East,2.8140924172884416,2.7734714490289267,2.8547133855479565,2.0,2.0,4.0,1.0,7.0,2.0,1.0,2.0,1322.0
2016,2. Quintil,West,2.1582898796947974,2.121419703694855,2.1951600556947395,1.0,1.0,3.0,1.0,6.0,1.0,1.0,1.0,2275.0
2016,2. Quintil,East,1.9799650333647605,1.9011924156355373,2.0587376510939834,1.0,1.0,2.0,1.0,3.5,1.0,1.0,1.0,449.0
2016,3. Quintil,West,2.7717559950242716,2.637202101496281,2.9063098885522622,1.0,2.0,4.0,1.0,7.0,2.0,1.0,2.0,128.0
2016,3. Quintil,East,,,,,,,,,,,,
2016,4. Quintil,West,2.1486704051067234,1.9632871132049627,2.334053697008484,1.0,2.0,2.0,1.0,3.5,2.0,2.0,3.0,49.0
2016,4. Quintil,East,,,,,,,,,,,,
2016,5. Quintil,West,,,,,,,,,,,,
2016,5. Quintil,East,,,,,,,,,,,,
2017,2. Quintil,West,1.83804212526859,1.7977584333917629,1.878325817145417,1.0,1.0,2.0,1.0,3.5,1.0,1.0,1.0,1498.0
