year,regtyp,pgfamstd,proportion,n,lower_confidence,upper_confidence
1985,Staedtischer Raum,Verheiratet,0.5174260026265279,14443,0.5092764559937222,0.5255755492593337
1985,Staedtischer Raum,Ledig,0.17527022931609254,14443,0.16906957844400833,0.18147088018817675
1985,Laendlicher Raum,Verheiratet,0.14213556924941914,14443,0.13644064327924646,0.14783049521959182
1985,Staedtischer Raum,Verwitwet,0.04939892918476614,14443,0.04586477670745745,0.05293308166207483
1985,Laendlicher Raum,Ledig,0.045964238812001214,14443,0.04254901060277418,0.049379467021228245
1985,Staedtischer Raum,Geschieden,0.028083644812607333,14443,0.025389204628796007,0.03077808499641866
1985,Laendlicher Raum,Verwitwet,0.01666835033841802,14443,0.01458038307825029,0.018756317598585752
1985,Staedtischer Raum,"Verheiratet, getrennt lebend",0.015961208202848774,14443,0.013917276609658993,0.018005139796038554
1985,Laendlicher Raum,Geschieden,0.005758157389635317,14443,0.00452415741813922,0.0069921573611314135
1985,Laendlicher Raum,"Verheiratet, getrennt lebend",0.0033336700676836043,14443,0.002393592765389043,0.004273747369978166
1986,Staedtischer Raum,Verheiratet,0.5136064446409274,13742,0.5052496402341384,0.5219632490477164
1986,Staedtischer Raum,Ledig,0.17653993516062483,13742,0.1701650281867096,0.18291484213454007
1986,Laendlicher Raum,Verheiratet,0.14205717653993516,13742,0.1362201473996831,0.1478942056801872
1986,Laendlicher Raum,Ledig,0.04794184104528932,13742,0.04436976913929005,0.05151391295128859
1986,Staedtischer Raum,Verwitwet,0.04627173592690834,13742,0.042759357328231905,0.04978411452558478
1986,Staedtischer Raum,Geschieden,0.027998821102269377,13742,0.025240566395734892,0.030757075808803862
1986,Staedtischer Raum,"Verheiratet, getrennt lebend",0.020925434718538166,13742,0.018532249961454444,0.023318619475621888
1986,Laendlicher Raum,Verwitwet,0.015423911975636114,13742,0.013363505005906343,0.017484318945365885
1986,Laendlicher Raum,Geschieden,0.0060909716082129875,13742,0.004790060252637472,0.007391882963788503
1986,Laendlicher Raum,"Verheiratet, getrennt lebend",0.0031437272816583163,13742,0.0022077403087963207,0.004079714254520312
1987,Staedtischer Raum,Verheiratet,0.5095736281089617,13496,0.5011394276986594,0.518007828519264
1987,Staedtischer Raum,Ledig,0.17953020134228187,13496,0.1730549952563989,0.18600540742816485
1987,Laendlicher Raum,Verheiratet,0.14113699170943544,13496,0.13526296504446378,0.1470110183744071
1987,Staedtischer Raum,Verwitwet,0.04855902092380576,13496,0.044932589880259936,0.05218545196735159
1987,Laendlicher Raum,Ledig,0.046683774180813264,13496,0.04312455274078273,0.0502429956208438
1987,Staedtischer Raum,Geschieden,0.030793525463876825,13496,0.0278788420047092,0.03370820892304445
