"pgfamstd","year","bildungsniveau","n","percent","lower_confidence","upper_confidence"
"Geschieden / eingetr. gleichgeschlechtliche Partnerschaft aufgehoben","1984","(Fach-)Abitur","","","",""
"Geschieden / eingetr. gleichgeschlechtliche Partnerschaft aufgehoben","1984","(noch) kein Abschluss","","","",""
"Geschieden / eingetr. gleichgeschlechtliche Partnerschaft aufgehoben","1984","AkademikerIn","","","",""
"Geschieden / eingetr. gleichgeschlechtliche Partnerschaft aufgehoben","1984","Hauptschule","218","0.0396243663277449","0.034804272797821","0.0444444598576688"
"Geschieden / eingetr. gleichgeschlechtliche Partnerschaft aufgehoben","1984","Realschule","61","0.042090303562816","0.0326036952512877","0.0515769118743443"
"Ledig","1984","(Fach-)Abitur","357","0.526970541494064","0.491191017781374","0.562750065206755"
"Ledig","1984","(noch) kein Abschluss","262","0.547888287191325","0.518025195440982","0.577751378941668"
"Ledig","1984","AkademikerIn","132","0.186367317768842","0.158080670731449","0.214653964806235"
"Ledig","1984","Hauptschule","979","0.14429254119532","0.135610170307038","0.152974912083603"
"Ledig","1984","Realschule","599","0.338879981407658","0.316517460119003","0.361242502696313"
"Verheiratet / in eingetr. gleichgeschlechtlicher Partnerschaft, dauernd getrennt lebend","1984","(Fach-)Abitur","","","",""
"Verheiratet / in eingetr. gleichgeschlechtlicher Partnerschaft, dauernd getrennt lebend","1984","(noch) kein Abschluss","33","0.0242163579896635","0.0149928301688463","0.0334398858104807"
"Verheiratet / in eingetr. gleichgeschlechtlicher Partnerschaft, dauernd getrennt lebend","1984","AkademikerIn","","","",""
"Verheiratet / in eingetr. gleichgeschlechtlicher Partnerschaft, dauernd getrennt lebend","1984","Hauptschule","98","0.013449064604985","0.0106029031663803","0.0162952260435896"
"Verheiratet / in eingetr. gleichgeschlechtlicher Partnerschaft, dauernd getrennt lebend","1984","Realschule","","","",""
"Verheiratet / in eingetr. gleichgeschlechtlicher Partnerschaft, zusammenlebend","1984","(Fach-)Abitur","339","0.380293786338807","0.345504154551796","0.415083418125817"
"Verheiratet / in eingetr. gleichgeschlechtlicher Partnerschaft, zusammenlebend","1984","(noch) kein Abschluss","729","0.379097935688643","0.349987202556476","0.408208668820809"
"Verheiratet / in eingetr. gleichgeschlechtlicher Partnerschaft, zusammenlebend","1984","AkademikerIn","534","0.70239071476486","0.669178715421197","0.735602714108524"
"Verheiratet / in eingetr. gleichgeschlechtlicher Partnerschaft, zusammenlebend","1984","Hauptschule","4480","0.670703168800298","0.659091017417239","0.682315320183356"
"Verheiratet / in eingetr. gleichgeschlechtlicher Partnerschaft, zusammenlebend","1984","Realschule","951","0.52431933400976","0.500724694736913","0.547913973282607"
"Verwitwet / Lebenspartner/-in aus eingetr. gleichgeschlechtlicher Partnerschaft verstorben","1984","(Fach-)Abitur","","","",""
"Verwitwet / Lebenspartner/-in aus eingetr. gleichgeschlechtlicher Partnerschaft verstorben","1984","(noch) kein Abschluss","","","",""
"Verwitwet / Lebenspartner/-in aus eingetr. gleichgeschlechtlicher Partnerschaft verstorben","1984","AkademikerIn","","","",""
"Verwitwet / Lebenspartner/-in aus eingetr. gleichgeschlechtlicher Partnerschaft verstorben","1984","Hauptschule","517","0.131930859071652","0.123568976042618","0.140292742100686"
"Verwitwet / Lebenspartner/-in aus eingetr. gleichgeschlechtlicher Partnerschaft verstorben","1984","Realschule","94","0.0846816290467253","0.0715282193545962","0.0978350387388545"
"Geschieden / eingetr. gleichgeschlechtliche Partnerschaft aufgehoben","1985","(Fach-)Abitur","","","",""
"Geschieden / eingetr. gleichgeschlechtliche Partnerschaft aufgehoben","1985","(noch) kein Abschluss","","","",""
"Geschieden / eingetr. gleichgeschlechtliche Partnerschaft aufgehoben","1985","AkademikerIn","","","",""
"Geschieden / eingetr. gleichgeschlechtliche Partnerschaft aufgehoben","1985","Hauptschule","205","0.0423107595837216","0.0371799976181842","0.047441521549259"
"Geschieden / eingetr. gleichgeschlechtliche Partnerschaft aufgehoben","1985","Realschule","62","0.0469945679443772","0.0368719169979364","0.0571172188908181"
"Ledig","1985","(Fach-)Abitur","377","0.545712955358055","0.509983533798992","0.581442376917119"
"Ledig","1985","(noch) kein Abschluss","265","0.586694998939835","0.556020885665192","0.617369112214477"
"Ledig","1985","AkademikerIn","140","0.216382357813883","0.186007883710074","0.246756831917691"
"Ledig","1985","Hauptschule","983","0.155220178283894","0.145990426824932","0.164449929742856"
"Ledig","1985","Realschule","635","0.367509349659354","0.344448038581297","0.39057066073741"
"Verheiratet / in eingetr. gleichgeschlechtlicher Partnerschaft, dauernd getrennt lebend","1985","(Fach-)Abitur","","","",""
