year,pgfamstd,proportion,n,lower_confidence,upper_confidence
1984,1.0,0.6672622966237186,12164,0.6588886010906699,0.6756359921567673
1984,3.0,0.21988150098749176,12164,0.21252125209927278,0.22724174987571075
1984,5.0,0.06329352017304618,12164,0.05896639704631993,0.06762064329977242
1984,4.0,0.03244615818677701,12164,0.029297416186970585,0.03559490018658344
1984,2.0,0.017116524028966424,12164,0.014811493564589958,0.019421554493342888
1985,1.0,0.642843079346328,11026,0.6338991347843903,0.6517870239082657
1985,3.0,0.2409923213230951,11026,0.23300921773725275,0.24897542490893743
1985,5.0,0.06438275251033668,11026,0.059801534527822636,0.06896397049285072
1985,4.0,0.03297893286079937,11026,0.029645564228237168,0.03631230149336158
1985,2.0,0.018802913959440833,11026,0.01626756477526134,0.021338263143620327
1986,1.0,0.6405335380481719,10583,0.631391315292291,0.6496757608040529
1986,3.0,0.24229920353133097,10583,0.2341357008740086,0.25046270618865335
1986,5.0,0.06026293062086172,10583,0.05572894669071469,0.06479691455100876
1986,4.0,0.03339410805105076,10583,0.029971073235555073,0.03681714286654644
1986,2.0,0.02351021974858459,10583,0.020623438545830347,0.02639700095133883
1987,1.0,0.6358375928247662,10452,0.6266123665548001,0.6450628190947322
1987,3.0,0.24380364548172437,10452,0.23557186542495848,0.25203542553849023
1987,5.0,0.06259041373324332,10452,0.05794659801470048,0.06723422945178617
1987,4.0,0.03626193461278812,10452,0.03267798939610608,0.03984587982947016
1987,2.0,0.02150641334747806,10452,0.01872529572568937,0.02428753096926675
1988,1.0,0.6349878934624698,9970,0.6255376096962385,0.644438177228701
1988,3.0,0.24213075060532688,9970,0.2337220167022486,0.2505394845084052
1988,5.0,0.06244955609362389,9970,0.0576998089317122,0.06719930325553558
1988,4.0,0.03561339790153349,9970,0.0319755814527741,0.039251214350292885
1988,2.0,0.024818401937046004,9970,0.021764619115114153,0.027872184758977854
1989,1.0,0.6288123243468304,9662,0.619178918627508,0.6384457300661529
1989,3.0,0.24607057354012699,9662,0.23748206517901752,0.25465908190123643
1989,5.0,0.06328718642656396,9662,0.05843224852154686,0.06814212433158105
1989,4.0,0.03903403768085771,9662,0.03517216194021301,0.04289591342150241
1989,2.0,0.0227958780056209,9662,0.019819806498384628,0.025771949512857176
1990,1.0,0.6508028352379575,13886,0.6428736682627046,0.6587320022132103
1990,3.0,0.2219730941704036,13886,0.21506091531948934,0.22888527302131784
1990,5.0,0.06270794155938088,13886,0.05867551717750915,0.0667403659412526
1990,4.0,0.04722985679155215,13886,0.04370152128689186,0.050758192296212444
1990,2.0,0.017286272240705915,13886,0.015118410022346403,0.01945413445906543
1991,1.0,0.6510235754933117,13586,0.6430085175093747,0.6590386334772487
1991,3.0,0.22304338186386816,13586,0.21604329672597786,0.23004346700175846
