"pgfamstd","year","bildungsniveau","quintil_oecd","n","percent","lower_confidence_percent","upper_confidence_percent"
"Zusammenlebend","1995","(noch) kein Abschluss","1 Einkommensschwächstes Quintil","287","0.478149326011433","0.433601201589034","0.522697450433831"
"Zusammenlebend","1995","(noch) kein Abschluss","2","125","0.390505557900633","0.325891871705414","0.455119244095852"
"Zusammenlebend","1995","(noch) kein Abschluss","3","34","0.151354685981172","0.0807568257408359","0.221952546221508"
"Zusammenlebend","1995","(noch) kein Abschluss","4","21","","",""
"Zusammenlebend","1995","(noch) kein Abschluss","5 Einkommensstärkstes Quintil","5","","",""
"Zusammenlebend","1995","Hauptschule","1 Einkommensschwächstes Quintil","1716","0.59856874817554","0.579411121528005","0.617726374823074"
"Zusammenlebend","1995","Hauptschule","2","1344","0.649629361590234","0.628052067934197","0.671206655246271"
"Zusammenlebend","1995","Hauptschule","3","648","0.656918617417117","0.62674605506613","0.687091179768104"
"Zusammenlebend","1995","Hauptschule","4","378","0.656108171000694","0.616801586128798","0.695414755872591"
"Zusammenlebend","1995","Hauptschule","5 Einkommensstärkstes Quintil","121","0.632692510529952","0.562268123251047","0.703116897808857"
"Zusammenlebend","1995","Realschule","1 Einkommensschwächstes Quintil","621","0.558506627111576","0.528932623435368","0.588080630787783"
"Zusammenlebend","1995","Realschule","2","545","0.556454294688397","0.524264257193972","0.588644332182822"
"Zusammenlebend","1995","Realschule","3","307","0.532465446058271","0.490499139577401","0.574431752539141"
"Zusammenlebend","1995","Realschule","4","212","0.525259717273414","0.475183501810808","0.575335932736019"
"Zusammenlebend","1995","Realschule","5 Einkommensstärkstes Quintil","120","0.691170547371827","0.623676758907343","0.75866433583631"
"Zusammenlebend","1995","(Fach-)Abitur","1 Einkommensschwächstes Quintil","184","0.377945346185214","0.329448750709795","0.426441941660634"
"Zusammenlebend","1995","(Fach-)Abitur","2","137","0.450475288269792","0.392405179921448","0.508545396618137"
"Zusammenlebend","1995","(Fach-)Abitur","3","76","0.44790124143158","0.37565555606475","0.52014692679841"
"Zusammenlebend","1995","(Fach-)Abitur","4","54","0.383054916139942","0.300436656038776","0.465673176241108"
"Zusammenlebend","1995","(Fach-)Abitur","5 Einkommensstärkstes Quintil","39","0.500312508197668","0.390055941470451","0.610569074924885"
"Zusammenlebend","1995","AkademikerIn","1 Einkommensschwächstes Quintil","256","0.63869922706112","0.5891454080047","0.688253046117541"
"Zusammenlebend","1995","AkademikerIn","2","342","0.668808749675102","0.625420785385933","0.712196713964272"
"Zusammenlebend","1995","AkademikerIn","3","294","0.74403592984315","0.699807782496225","0.788264077190075"
"Zusammenlebend","1995","AkademikerIn","4","222","0.646098198291144","0.592953671017907","0.699242725564382"
"Zusammenlebend","1995","AkademikerIn","5 Einkommensstärkstes Quintil","162","0.594453776749644","0.533832225331998","0.655075328167289"
"Getrennt lebend","1995","(noch) kein Abschluss","1 Einkommensschwächstes Quintil","8","","",""
"Getrennt lebend","1995","(noch) kein Abschluss","2","5","","",""
"Getrennt lebend","1995","(noch) kein Abschluss","3","4","","",""
"Getrennt lebend","1995","(noch) kein Abschluss","4","3","","",""
"Getrennt lebend","1995","(noch) kein Abschluss","5 Einkommensstärkstes Quintil","","","",""
"Getrennt lebend","1995","Hauptschule","1 Einkommensschwächstes Quintil","54","0.0192976030458184","0.0139211061543778","0.0246740999372591"
"Getrennt lebend","1995","Hauptschule","2","36","0.016276465326212","0.0105535558479607","0.0219993748044633"
"Getrennt lebend","1995","Hauptschule","3","14","","",""
"Getrennt lebend","1995","Hauptschule","4","19","","",""
"Getrennt lebend","1995","Hauptschule","5 Einkommensstärkstes Quintil","2","","",""
"Getrennt lebend","1995","Realschule","1 Einkommensschwächstes Quintil","23","","",""
"Getrennt lebend","1995","Realschule","2","13","","",""
"Getrennt lebend","1995","Realschule","3","8","","",""
"Getrennt lebend","1995","Realschule","4","9","","",""
"Getrennt lebend","1995","Realschule","5 Einkommensstärkstes Quintil","1","","",""
"Getrennt lebend","1995","(Fach-)Abitur","1 Einkommensschwächstes Quintil","9","","",""
"Getrennt lebend","1995","(Fach-)Abitur","2","3","","",""
"Getrennt lebend","1995","(Fach-)Abitur","3","3","","",""
"Getrennt lebend","1995","(Fach-)Abitur","4","","","",""
"Getrennt lebend","1995","(Fach-)Abitur","5 Einkommensstärkstes Quintil","","","",""
"Getrennt lebend","1995","AkademikerIn","1 Einkommensschwächstes Quintil","5","","",""
"Getrennt lebend","1995","AkademikerIn","2","8","","",""
"Getrennt lebend","1995","AkademikerIn","3","3","","",""
"Getrennt lebend","1995","AkademikerIn","4","4","","",""
"Getrennt lebend","1995","AkademikerIn","5 Einkommensstärkstes Quintil","7","","",""
"Ledig","1995","(noch) kein Abschluss","1 Einkommensschwächstes Quintil","159","0.4338050595895","0.389606835019457","0.478003284159543"
"Ledig","1995","(noch) kein Abschluss","2","81","0.557421256596179","0.491638347946299","0.623204165246058"
"Ledig","1995","(noch) kein Abschluss","3","58","0.750669764113558","0.66544958759898","0.835889940628136"
"Ledig","1995","(noch) kein Abschluss","4","29","","",""
"Ledig","1995","(noch) kein Abschluss","5 Einkommensstärkstes Quintil","13","","",""
"Ledig","1995","Hauptschule","1 Einkommensschwächstes Quintil","336","0.125937750239002","0.112971086648793","0.13890441382921"
"Ledig","1995","Hauptschule","2","237","0.126086986253529","0.111073915459597","0.14110005704746"
"Ledig","1995","Hauptschule","3","147","0.126066382409516","0.104970548348676","0.147162216470356"
"Ledig","1995","Hauptschule","4","89","0.128916773239966","0.101186688333804","0.156646858146128"
"Ledig","1995","Hauptschule","5 Einkommensstärkstes Quintil","22","","",""
"Ledig","1995","Realschule","1 Einkommensschwächstes Quintil","336","0.29094349322523","0.263892786836815","0.317994199613644"
"Ledig","1995","Realschule","2","286","0.290980392059852","0.261549831832488","0.320410952287217"
"Ledig","1995","Realschule","3","183","0.310970996056378","0.272037189180065","0.349904802932691"
"Ledig","1995","Realschule","4","127","0.310131066563046","0.263746624191827","0.356515508934265"
"Ledig","1995","Realschule","5 Einkommensstärkstes Quintil","34","0.146250461576013","0.0946295461225952","0.197871377029431"
"Ledig","1995","(Fach-)Abitur","1 Einkommensschwächstes Quintil","177","0.536653209570135","0.486778265244094","0.586528153896175"
"Ledig","1995","(Fach-)Abitur","2","134","0.490469368622974","0.432122892670992","0.548815844574956"
"Ledig","1995","(Fach-)Abitur","3","95","0.449821300272758","0.377546934113182","0.522095666432335"
"Ledig","1995","(Fach-)Abitur","4","68","0.509687291514935","0.424728026229908","0.594646556799963"
"Ledig","1995","(Fach-)Abitur","5 Einkommensstärkstes Quintil","33","0.381330759738501","0.274224531307395","0.488436988169606"
"Ledig","1995","AkademikerIn","1 Einkommensschwächstes Quintil","60","0.237035784369905","0.19316720888802","0.280904359851789"
"Ledig","1995","AkademikerIn","2","53","0.154300431141406","0.120998417223079","0.187602445059733"
"Ledig","1995","AkademikerIn","3","51","0.173494774950582","0.135117132568878","0.211872417332286"
"Ledig","1995","AkademikerIn","4","61","0.247122601966633","0.199183901129493","0.295061302803774"
"Ledig","1995","AkademikerIn","5 Einkommensstärkstes Quintil","50","0.202807513630784","0.153162979523201","0.252452047738367"
"Geschieden","1995","(noch) kein Abschluss","1 Einkommensschwächstes Quintil","11","","",""
"Geschieden","1995","(noch) kein Abschluss","2","3","","",""
"Geschieden","1995","(noch) kein Abschluss","3","2","","",""
"Geschieden","1995","(noch) kein Abschluss","4","4","","",""
"Geschieden","1995","(noch) kein Abschluss","5 Einkommensstärkstes Quintil","","","",""
"Geschieden","1995","Hauptschule","1 Einkommensschwächstes Quintil","156","0.082910764537013","0.072133951358989","0.0936875777150371"
"Geschieden","1995","Hauptschule","2","80","0.054327146290867","0.0440758401163291","0.064578452465405"
"Geschieden","1995","Hauptschule","3","45","0.057512207000713","0.0427151374062527","0.0723092765951734"
"Geschieden","1995","Hauptschule","4","28","","",""
"Geschieden","1995","Hauptschule","5 Einkommensstärkstes Quintil","5","","",""
"Geschieden","1995","Realschule","1 Einkommensschwächstes Quintil","73","0.0797409092966947","0.0636073751468765","0.0958744434465129"
"Geschieden","1995","Realschule","2","44","0.0693979401663031","0.0529317609166462","0.08586411941596"
"Geschieden","1995","Realschule","3","23","","",""
"Geschieden","1995","Realschule","4","20","","",""
"Geschieden","1995","Realschule","5 Einkommensstärkstes Quintil","18","","",""
"Geschieden","1995","(Fach-)Abitur","1 Einkommensschwächstes Quintil","12","","",""
"Geschieden","1995","(Fach-)Abitur","2","4","","",""
"Geschieden","1995","(Fach-)Abitur","3","5","","",""
"Geschieden","1995","(Fach-)Abitur","4","7","","",""
"Geschieden","1995","(Fach-)Abitur","5 Einkommensstärkstes Quintil","4","","",""
"Geschieden","1995","AkademikerIn","1 Einkommensschwächstes Quintil","35","0.0962042485074898","0.0657865211021888","0.126621975912791"
