year,bula_h,plh0106,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1990,Schleswig-Holstein,Very important,0.13880,47,240,0.09496,0.18263
1990,Schleswig-Holstein,Important,0.38495,129,240,0.32326,0.44664
1990,Schleswig-Holstein,Less important,0.21268,64,240,0.16080,0.26456
1990,Hamburg,Important,0.47641,73,73,0.36105,0.59178
1990,Lower Saxony,Very important,0.11817,137,840,0.09633,0.14002
1990,Lower Saxony,Important,0.46458,475,840,0.43084,0.49833
1990,Lower Saxony,Less important,0.20037,196,840,0.17328,0.22745
1990,Lower Saxony,Unimportant,0.03725,32,840,0.02443,0.05006
1990,Bremen,Important,0.35571,38,38,0.20145,0.50997
1990,North Rhine-Westphalia,Very important,0.14614,372,1912,0.13030,0.16198
1990,North Rhine-Westphalia,Important,0.40452,1020,1912,0.38252,0.42653
1990,North Rhine-Westphalia,Less important,0.18683,458,1912,0.16935,0.20431
1990,North Rhine-Westphalia,Unimportant,0.02584,62,1912,0.01873,0.03296
1990,Hesse,Very important,0.13267,115,625,0.10606,0.15929
1990,Hesse,Important,0.38787,348,625,0.34964,0.42610
1990,Hesse,Less important,0.19197,162,625,0.16107,0.22287
1990,"Rhineland-Palatinate, Saarland",Very important,0.14266,102,554,0.11351,0.17181
1990,"Rhineland-Palatinate, Saarland",Important,0.41712,295,554,0.37602,0.45821
1990,"Rhineland-Palatinate, Saarland",Less important,0.18733,124,554,0.15481,0.21985
1990,"Rhineland-Palatinate, Saarland",Unimportant,0.05729,33,554,0.03792,0.07666
1990,Baden-Wuerttemberg,Very important,0.13755,223,1146,0.11760,0.15750
1990,Baden-Wuerttemberg,Important,0.37644,592,1146,0.34837,0.40450
1990,Baden-Wuerttemberg,Less important,0.17888,269,1146,0.15668,0.20108
1990,Baden-Wuerttemberg,Unimportant,0.04391,62,1146,0.03204,0.05578
1990,Bavaria,Very important,0.14233,237,1263,0.12305,0.16160
1990,Bavaria,Important,0.38516,639,1263,0.35831,0.41201
1990,Bavaria,Less important,0.20798,324,1263,0.18559,0.23037
1990,Bavaria,Unimportant,0.04571,63,1263,0.03419,0.05723
1990,Berlin,Very important,0.08309,45,222,0.04670,0.11948
1990,Berlin,Important,0.24449,119,222,0.18783,0.30116
1990,Berlin,Less important,0.14114,58,222,0.09523,0.18704
1992,Schleswig-Holstein,Very important,0.15693,57,226,0.10940,0.20445
1992,Schleswig-Holstein,Important,0.29958,103,226,0.23972,0.35943
1992,Schleswig-Holstein,Less important,0.22684,66,226,0.17212,0.28156
1992,Hamburg,Important,0.45810,63,63,0.33408,0.58213
1992,Lower Saxony,Very important,0.15137,178,832,0.12700,0.17574
1992,Lower Saxony,Important,0.39281,412,832,0.35961,0.42602
1992,Lower Saxony,Less important,0.19029,195,832,0.16360,0.21698
1992,Lower Saxony,Unimportant,0.05658,47,832,0.04087,0.07229
1992,Bremen,Important,0.30498,32,32,0.14291,0.46705
1992,North Rhine-Westphalia,Very important,0.13417,356,1874,0.11874,0.14961
1992,North Rhine-Westphalia,Important,0.39530,1003,1874,0.37316,0.41745
1992,North Rhine-Westphalia,Less important,0.17368,427,1874,0.15652,0.19084
1992,North Rhine-Westphalia,Unimportant,0.03874,88,1874,0.03000,0.04748
1992,Hesse,Very important,0.11206,102,643,0.08766,0.13646
1992,Hesse,Important,0.38420,340,643,0.34658,0.42183
1992,Hesse,Less important,0.17850,148,643,0.14888,0.20813
1992,Hesse,Unimportant,0.07703,53,643,0.05641,0.09766
1992,"Rhineland-Palatinate, Saarland",Very important,0.13275,104,542,0.10416,0.16135
1992,"Rhineland-Palatinate, Saarland",Important,0.37631,263,542,0.33549,0.41713
1992,"Rhineland-Palatinate, Saarland",Less important,0.21614,141,542,0.18145,0.25082
1992,"Rhineland-Palatinate, Saarland",Unimportant,0.05757,34,542,0.03794,0.07720
1992,Baden-Wuerttemberg,Very important,0.12571,212,1090,0.10602,0.14540
1992,Baden-Wuerttemberg,Important,0.33716,527,1090,0.30908,0.36524
1992,Baden-Wuerttemberg,Less important,0.19279,296,1090,0.16936,0.21622
1992,Baden-Wuerttemberg,Unimportant,0.04259,55,1090,0.03060,0.05458
1992,Bavaria,Very important,0.13605,252,1296,0.11738,0.15472
1992,Bavaria,Important,0.35072,623,1296,0.32473,0.37671
1992,Bavaria,Less important,0.20253,327,1296,0.18064,0.22442
1992,Bavaria,Unimportant,0.06706,94,1296,0.05344,0.08069
1992,Berlin,Very important,0.18026,126,472,0.14555,0.21498
1992,Berlin,Important,0.37132,245,472,0.32768,0.41495
1992,Berlin,Less important,0.17202,101,472,0.13794,0.20611
1992,Brandenburg,Very important,0.18001,157,636,0.15012,0.20989
1992,Brandenburg,Important,0.41436,341,636,0.37604,0.45267
1992,Brandenburg,Less important,0.18245,138,636,0.15241,0.21249
1992,Mecklenburg-Western Pomerania,Very important,0.16800,92,409,0.13173,0.20428
1992,Mecklenburg-Western Pomerania,Important,0.43716,235,409,0.38902,0.48529
1992,Mecklenburg-Western Pomerania,Less important,0.17235,82,409,0.13570,0.20900
1992,Saxony,Very important,0.16091,253,1153,0.13969,0.18213
1992,Saxony,Important,0.42181,619,1153,0.39330,0.45033
1992,Saxony,Less important,0.17386,231,1153,0.15197,0.19574
1992,Saxony,Unimportant,0.05143,50,1153,0.03868,0.06419
1992,Saxony-Anhalt,Very important,0.13452,141,768,0.11037,0.15867
1992,Saxony-Anhalt,Important,0.41773,407,768,0.38283,0.45264
1992,Saxony-Anhalt,Less important,0.21777,178,768,0.18856,0.24698
1992,Saxony-Anhalt,Unimportant,0.06678,42,768,0.04911,0.08445
1992,Thuringa,Very important,0.16265,155,665,0.13458,0.19072
1992,Thuringa,Important,0.44282,387,665,0.40504,0.48061
1992,Thuringa,Less important,0.15593,123,665,0.12833,0.18352
1995,Schleswig-Holstein,Very important,0.13309,51,248,0.09073,0.17545
1995,Schleswig-Holstein,Important,0.36886,127,248,0.30869,0.42904
1995,Schleswig-Holstein,Less important,0.21919,70,248,0.16760,0.27078
1995,Hamburg,Important,0.46868,61,61,0.34241,0.59495
1995,Lower Saxony,Very important,0.13389,179,907,0.11172,0.15607
1995,Lower Saxony,Important,0.42737,500,907,0.39515,0.45958
1995,Lower Saxony,Less important,0.17467,194,907,0.14995,0.19940
1995,Lower Saxony,Unimportant,0.03317,34,907,0.02151,0.04483
1995,Bremen,Important,0.35982,35,35,0.19849,0.52115
1995,North Rhine-Westphalia,Very important,0.15118,428,2012,0.13552,0.16684
1995,North Rhine-Westphalia,Important,0.39144,1079,2012,0.37011,0.41277
1995,North Rhine-Westphalia,Less important,0.17580,433,2012,0.15916,0.19244
1995,North Rhine-Westphalia,Unimportant,0.03195,72,2012,0.02426,0.03964
1995,Hesse,Very important,0.14562,144,677,0.11903,0.17221
1995,Hesse,Important,0.37945,342,677,0.34287,0.41603
1995,Hesse,Less important,0.18535,159,677,0.15606,0.21464
1995,Hesse,Unimportant,0.04030,32,677,0.02548,0.05513
1995,"Rhineland-Palatinate, Saarland",Very important,0.14703,129,622,0.11918,0.17488
1995,"Rhineland-Palatinate, Saarland",Important,0.34792,302,622,0.31045,0.38538
1995,"Rhineland-Palatinate, Saarland",Less important,0.19039,153,622,0.15951,0.22127
1995,"Rhineland-Palatinate, Saarland",Unimportant,0.06429,38,622,0.04500,0.08359
1995,Baden-Wuerttemberg,Very important,0.12235,220,1176,0.10361,0.14109
1995,Baden-Wuerttemberg,Important,0.35777,612,1176,0.33037,0.38518
1995,Baden-Wuerttemberg,Less important,0.18921,277,1176,0.16681,0.21160
1995,Baden-Wuerttemberg,Unimportant,0.05221,67,1176,0.03949,0.06493
1995,Bavaria,Very important,0.12578,257,1384,0.10830,0.14325
1995,Bavaria,Important,0.36342,695,1384,0.33807,0.38877
1995,Bavaria,Less important,0.21270,346,1384,0.19114,0.23427
1995,Bavaria,Unimportant,0.06469,86,1384,0.05172,0.07765
1995,Berlin,Very important,0.17754,113,475,0.14314,0.21194
1995,Berlin,Important,0.40166,254,475,0.35753,0.44580
1995,Berlin,Less important,0.15493,108,475,0.12236,0.18751
1995,Brandenburg,Very important,0.15239,127,574,0.12297,0.18182
1995,Brandenburg,Important,0.46424,334,574,0.42341,0.50508
1995,Brandenburg,Less important,0.19484,113,574,0.16241,0.22727
1995,Mecklenburg-Western Pomerania,Very important,0.16990,86,407,0.13337,0.20643
1995,Mecklenburg-Western Pomerania,Important,0.47958,256,407,0.43098,0.52818
1995,Mecklenburg-Western Pomerania,Less important,0.13836,65,407,0.10478,0.17195
1995,Saxony,Very important,0.13878,208,1085,0.11820,0.15936
1995,Saxony,Important,0.45778,642,1085,0.42813,0.48744
1995,Saxony,Less important,0.16266,195,1085,0.14069,0.18463
1995,Saxony,Unimportant,0.05129,40,1085,0.03816,0.06442
1995,Saxony-Anhalt,Very important,0.18276,156,662,0.15330,0.21223
1995,Saxony-Anhalt,Important,0.46546,397,662,0.42744,0.50349
1995,Saxony-Anhalt,Less important,0.15502,109,662,0.12742,0.18261
1995,Thuringa,Very important,0.15605,135,637,0.12784,0.18425
1995,Thuringa,Important,0.47949,389,637,0.44067,0.51832
1995,Thuringa,Less important,0.15192,113,637,0.12402,0.17982
2004,Schleswig-Holstein,Very important,0.18240,156,639,0.15243,0.21237
2004,Schleswig-Holstein,Important,0.41290,318,639,0.37470,0.45111
