year,age_gr,quintil_oecd,plh0106,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1990,17-29 y.,1st Quintile,Very important,0.28985,97,275,0.23613,0.34357
1990,17-29 y.,1st Quintile,Important,0.39610,139,275,0.33819,0.45402
1990,17-29 y.,1st Quintile,Less important,0.11765,39,275,0.07950,0.15580
1990,17-29 y.,2nd Quintile,Very important,0.30478,109,344,0.25606,0.35349
1990,17-29 y.,2nd Quintile,Important,0.44764,184,344,0.39501,0.50026
1990,17-29 y.,2nd Quintile,Less important,0.11124,51,344,0.07796,0.14451
1990,17-29 y.,3rd Quintile,Very important,0.30120,128,380,0.25501,0.34739
1990,17-29 y.,3rd Quintile,Important,0.47464,199,380,0.42437,0.52492
1990,17-29 y.,3rd Quintile,Less important,0.13524,53,380,0.10081,0.16967
1990,17-29 y.,4th Quintile,Very important,0.27900,148,487,0.23912,0.31887
1990,17-29 y.,4th Quintile,Important,0.54240,273,487,0.49811,0.58669
1990,17-29 y.,4th Quintile,Less important,0.12591,66,487,0.09641,0.15540
1990,17-29 y.,5th Quintile,Very important,0.32894,117,355,0.28000,0.37788
1990,17-29 y.,5th Quintile,Important,0.50442,188,355,0.45234,0.55651
1990,17-29 y.,5th Quintile,Less important,0.12452,50,355,0.09013,0.15892
1990,30-45 y.,1st Quintile,Very important,0.13100,42,266,0.09038,0.17162
1990,30-45 y.,1st Quintile,Important,0.47172,161,266,0.41162,0.53183
1990,30-45 y.,1st Quintile,Less important,0.19020,63,266,0.14294,0.23745
1990,30-45 y.,2nd Quintile,Very important,0.14732,68,428,0.11370,0.18093
1990,30-45 y.,2nd Quintile,Important,0.54903,259,428,0.50184,0.59623
1990,30-45 y.,2nd Quintile,Less important,0.19989,101,428,0.16196,0.23782
1990,30-45 y.,3rd Quintile,Very important,0.15186,71,405,0.11686,0.18686
1990,30-45 y.,3rd Quintile,Important,0.56042,252,405,0.51202,0.60882
1990,30-45 y.,3rd Quintile,Less important,0.17664,82,405,0.13945,0.21383
1990,30-45 y.,4th Quintile,Very important,0.23779,94,386,0.19526,0.28032
