year,quintil_oecd,plh0106,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1990,1st Quintile,Very important,0.10333,179,1087,0.08522,0.12143
1990,1st Quintile,Important,0.31591,532,1087,0.28826,0.34356
1990,1st Quintile,Less important,0.18228,284,1087,0.15932,0.20524
1990,1st Quintile,Unimportant,0.06474,92,1087,0.05011,0.07938
1990,2nd Quintile,Very important,0.11355,215,1321,0.09644,0.13067
1990,2nd Quintile,Important,0.38293,723,1321,0.35671,0.40916
1990,2nd Quintile,Less important,0.18039,327,1321,0.15965,0.20113
1990,2nd Quintile,Unimportant,0.03531,56,1321,0.02535,0.04526
1990,3rd Quintile,Very important,0.13414,264,1406,0.11632,0.15196
1990,3rd Quintile,Important,0.39135,730,1406,0.36583,0.41687
1990,3rd Quintile,Less important,0.20666,361,1406,0.18549,0.22784
1990,3rd Quintile,Unimportant,0.03133,51,1406,0.02222,0.04044
1990,4th Quintile,Very important,0.16378,321,1586,0.14556,0.18200
1990,4th Quintile,Important,0.46813,871,1586,0.44357,0.49270
1990,4th Quintile,Less important,0.18721,343,1586,0.16800,0.20641
1990,4th Quintile,Unimportant,0.02737,51,1586,0.01934,0.03540
1990,5th Quintile,Very important,0.18004,340,1661,0.16155,0.19852
1990,5th Quintile,Important,0.45310,869,1661,0.42916,0.47705
1990,5th Quintile,Less important,0.21489,392,1661,0.19513,0.23465
1990,5th Quintile,Unimportant,0.03358,60,1661,0.02492,0.04225
1992,1st Quintile,Very important,0.11646,417,2262,0.10323,0.12968
1992,1st Quintile,Important,0.33005,1140,2262,0.31066,0.34943
1992,1st Quintile,Less important,0.18491,542,2262,0.16890,0.20091
1992,1st Quintile,Unimportant,0.07634,163,2262,0.06539,0.08729
1992,2nd Quintile,Very important,0.12144,447,2270,0.10800,0.13488
1992,2nd Quintile,Important,0.35238,1203,2270,0.33273,0.37204
1992,2nd Quintile,Less important,0.17693,524,2270,0.16122,0.19263
1992,2nd Quintile,Unimportant,0.04339,96,2270,0.03501,0.05178
1992,3rd Quintile,Very important,0.13481,436,2073,0.12011,0.14952
1992,3rd Quintile,Important,0.36790,1065,2073,0.34713,0.38866
1992,3rd Quintile,Less important,0.18692,474,2073,0.17013,0.20371
1992,3rd Quintile,Unimportant,0.04587,98,2073,0.03686,0.05488
1992,4th Quintile,Very important,0.15826,450,2102,0.14266,0.17387
1992,4th Quintile,Important,0.40813,1081,2102,0.38712,0.42915
1992,4th Quintile,Less important,0.19378,481,2102,0.17688,0.21068
1992,4th Quintile,Unimportant,0.04017,90,2102,0.03177,0.04857
1992,5th Quintile,Very important,0.17332,470,2164,0.15737,0.18927
1992,5th Quintile,Important,0.44340,1111,2164,0.42246,0.46433
1992,5th Quintile,Less important,0.20228,485,2164,0.18535,0.21921
1992,5th Quintile,Unimportant,0.04549,98,2164,0.03671,0.05427
1995,1st Quintile,Very important,0.12711,402,1902,0.11214,0.14209
1995,1st Quintile,Important,0.34105,1028,1902,0.31974,0.36237
1995,1st Quintile,Less important,0.13984,369,1902,0.12425,0.15544
1995,1st Quintile,Unimportant,0.04664,103,1902,0.03716,0.05612
1995,2nd Quintile,Very important,0.11706,424,2255,0.10379,0.13033
1995,2nd Quintile,Important,0.37177,1226,2255,0.35182,0.39172
1995,2nd Quintile,Less important,0.17583,493,2255,0.16011,0.19155
1995,2nd Quintile,Unimportant,0.05313,112,2255,0.04387,0.06239
1995,3rd Quintile,Very important,0.14658,471,2325,0.13220,0.16096
1995,3rd Quintile,Important,0.39496,1292,2325,0.37508,0.41483
1995,3rd Quintile,Less important,0.18866,497,2325,0.17276,0.20457
1995,3rd Quintile,Unimportant,0.03226,65,2325,0.02507,0.03944
1995,4th Quintile,Very important,0.16010,498,2347,0.14526,0.17494
1995,4th Quintile,Important,0.43850,1288,2347,0.41843,0.45858
1995,4th Quintile,Less important,0.18317,478,2347,0.16752,0.19883
1995,4th Quintile,Unimportant,0.03913,83,2347,0.03128,0.04698
1995,5th Quintile,Very important,0.16953,485,2292,0.15416,0.18489
1995,5th Quintile,Important,0.43551,1189,2292,0.41520,0.45581
1995,5th Quintile,Less important,0.22392,530,2292,0.20685,0.24099
1995,5th Quintile,Unimportant,0.04420,88,2292,0.03578,0.05261
2004,1st Quintile,Very important,0.14013,589,3245,0.12819,0.15208
2004,1st Quintile,Important,0.39146,1678,3245,0.37467,0.40826
2004,1st Quintile,Less important,0.19733,789,3245,0.18364,0.21103
2004,1st Quintile,Unimportant,0.04812,189,3245,0.04076,0.05549
2004,2nd Quintile,Very important,0.13143,626,3769,0.12064,0.14222
2004,2nd Quintile,Important,0.40953,1995,3769,0.39383,0.42524
2004,2nd Quintile,Less important,0.20928,974,3769,0.19630,0.22227
2004,2nd Quintile,Unimportant,0.03979,174,3769,0.03355,0.04603
2004,3rd Quintile,Very important,0.13357,659,3898,0.12289,0.14425
2004,3rd Quintile,Important,0.42053,2062,3898,0.40503,0.43603
2004,3rd Quintile,Less important,0.21846,1015,3898,0.20549,0.23144
2004,3rd Quintile,Unimportant,0.04465,162,3898,0.03817,0.05114
