year,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence,n
1984,0.4855483445964866,0.4749528598946113,0.4961438292983619,0.0,0.0,1.0,0.0,2.5,0.0,0.0,0.0,5863.0
1985,0.44421606865518853,0.43354906399489573,0.45488307331548133,0.0,0.0,1.0,0.0,2.5,0.0,0.0,0.0,5272.0
1986,0.4343501677042538,0.42341442984975386,0.4452859055587537,0.0,0.0,1.0,0.0,2.5,0.0,0.0,0.0,5039.0
1987,0.42156330098033534,0.41062157443172276,0.4325050275289479,0.0,0.0,1.0,0.0,2.5,0.0,0.0,0.0,4975.0
1988,0.40923115896462936,0.3980902702407159,0.4203720476885428,0.0,0.0,1.0,0.0,2.5,0.0,0.0,0.0,4770.0
1989,0.40369320745045323,0.39246952186889134,0.4149168930320151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4651.0
1990,0.4315779443266707,0.42205394559060433,0.44110194306273703,0.0,0.0,1.0,0.0,2.5,0.0,0.0,0.0,6750.0
1991,0.4345933208375273,0.42496378372395,0.44422285795110455,0.0,0.0,1.0,0.0,2.5,0.0,0.0,0.0,6629.0
1992,0.43820545178919124,0.4284623423043074,0.44794856127407506,0.0,0.0,1.0,0.0,2.5,0.0,0.0,0.0,6603.0
1993,0.43353793278632224,0.4237992893348369,0.4432765762378076,0.0,0.0,1.0,0.0,2.5,0.0,0.0,0.0,6570.0
1994,0.4322166468751906,0.4224162404760302,0.44201705327435103,0.0,0.0,1.0,0.0,2.5,0.0,0.0,0.0,6496.0
1995,0.43445345163665205,0.4247241034558425,0.4441827998174616,0.0,0.0,1.0,0.0,2.5,0.0,0.0,0.0,6697.0
1996,0.42833840033395437,0.41860645925433143,0.4380703414135773,0.0,0.0,1.0,0.0,2.5,0.0,0.0,0.0,6631.0
1997,0.429950933655882,0.4202018590040478,0.4397000083077162,0.0,0.0,1.0,0.0,2.5,0.0,0.0,0.0,6546.0
1998,0.4285902641866989,0.4194152009615589,0.4377653274118389,0.0,0.0,1.0,0.0,2.5,0.0,0.0,0.0,7417.0
1999,0.42243191440888617,0.41311189677617377,0.43175193204159856,0.0,0.0,1.0,0.0,2.5,0.0,0.0,0.0,7143.0
2000,0.41399090625478324,0.4071780461202056,0.4208037663893609,0.0,0.0,1.0,0.0,2.5,0.0,0.0,0.0,12950.0
2001,0.4043548772000421,0.3972593787340445,0.4114503756660397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11680.0
2002,0.40575668979907953,0.3988298464140062,0.41268353318415285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12212.0
2003,0.3984338203632798,0.3914465904619911,0.4054210502645685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11804.0
2004,0.3853186901290805,0.3783903663075923,0.39224701395056866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11543.0
2005,0.37795592607263173,0.3710208419640813,0.38489101018118216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11199.0
2006,0.3640443135929537,0.3574938334812547,0.3705947937046527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12265.0
2007,0.3535909107982867,0.3468848109272931,0.36029701066928027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11453.0
2008,0.33504382112381087,0.32829579062899544,0.3417918516186263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10822.0
2009,0.32279093954460636,0.3159504457400332,0.3296314333491795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10177.0
2010,0.3144628976543428,0.3086031438420836,0.32032265146660205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13799.0
2011,0.3236857160813195,0.3182747311088538,0.32909670105378525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16603.0
2012,0.31790761183617694,0.3125010495444376,0.3233141741279163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16303.0
2013,0.3164024899187529,0.3112289978188193,0.32157598201868653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17870.0
2014,0.31322967191080764,0.3077153584063316,0.3187439854152837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15828.0
2015,0.30984930207881944,0.30438003820952897,0.3153185659481099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15764.0
2016,0.3179895892088684,0.31253943862201505,0.3234397397957217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16407.0
2017,0.31846532189958454,0.31323004626331163,0.32370059753585745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18279.0
2018,0.3121501081219238,0.30690756174642675,0.3173926544974208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17878.0
2019,0.3171855167614909,0.3119904148649929,0.32238061865798895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18428.0
2020,0.32786202522866104,0.3227356836556918,0.3329883668016303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19329.0
2021,0.3221686464755465,0.31592022222342214,0.32841707072767085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12568.0
