"plh0105","year","bildungsniveau","n","percent","lower_confidence","upper_confidence","NA"
"1 Sehr wichtig","1990","(noch) kein Abschluss","40","0.22624540958436","0.163898268053118","0.288592551115601",""
"1 Sehr wichtig","1990","Hauptschule","876","0.211692637231499","0.199170071628101","0.224215202834896",""
"1 Sehr wichtig","1990","Realschule","366","0.226876871116898","0.205856875835728","0.247896866398068",""
"1 Sehr wichtig","1990","(Fach-)Abitur","139","0.2459871647763","0.210380973048332","0.281593356504267",""
"1 Sehr wichtig","1990","AkademikerIn","120","0.177425117356981","0.148168594175632","0.206681640538329",""
"2 Wichtig","1990","(noch) kein Abschluss","109","0.629502301545896","0.557538108841326","0.701466494250466",""
"2 Wichtig","1990","Hauptschule","2786","0.675156090982267","0.660800135383329","0.689512046581205",""
"2 Wichtig","1990","Realschule","1013","0.669265177319479","0.645652118693294","0.692878235945665",""
"2 Wichtig","1990","(Fach-)Abitur","368","0.65282492487471","0.613465153598946","0.692184696150473",""
"2 Wichtig","1990","AkademikerIn","447","0.692534020091211","0.657195648586567","0.727872391595854",""
"3 Weniger wichtig","1990","(noch) kein Abschluss","20","","","",""
"3 Weniger wichtig","1990","Hauptschule","386","0.101375223269206","0.0921229648630403","0.110627481675371",""
"3 Weniger wichtig","1990","Realschule","140","0.10054525989699","0.0854519799567102","0.115638539837269",""
"3 Weniger wichtig","1990","(Fach-)Abitur","52","0.0960450340329741","0.0716842765612873","0.120405791504661",""
"3 Weniger wichtig","1990","AkademikerIn","83","0.121056668981361","0.0960761050380927","0.14603723292463",""
"4 Ganz unwichtig","1990","(noch) kein Abschluss","4","","","",""
"4 Ganz unwichtig","1990","Hauptschule","40","0.0117760485170287","0.00846915562676127","0.0150829414072962",""
"4 Ganz unwichtig","1990","Realschule","6","","","",""
"4 Ganz unwichtig","1990","(Fach-)Abitur","3","","","",""
"4 Ganz unwichtig","1990","AkademikerIn","5","","","",""
"1 Sehr wichtig","1991","(noch) kein Abschluss","","","","",""
"1 Sehr wichtig","1991","Hauptschule","","","","",""
"1 Sehr wichtig","1991","Realschule","","","","",""
"1 Sehr wichtig","1991","(Fach-)Abitur","","","","",""
"1 Sehr wichtig","1991","AkademikerIn","","","","",""
"2 Wichtig","1991","(noch) kein Abschluss","","","","",""
"2 Wichtig","1991","Hauptschule","","","","",""
"2 Wichtig","1991","Realschule","","","","",""
"2 Wichtig","1991","(Fach-)Abitur","","","","",""
"2 Wichtig","1991","AkademikerIn","","","","",""
"3 Weniger wichtig","1991","(noch) kein Abschluss","","","","",""
"3 Weniger wichtig","1991","Hauptschule","","","","",""
"3 Weniger wichtig","1991","Realschule","","","","",""
"3 Weniger wichtig","1991","(Fach-)Abitur","","","","",""
"3 Weniger wichtig","1991","AkademikerIn","","","","",""
"4 Ganz unwichtig","1991","(noch) kein Abschluss","","","","",""
"4 Ganz unwichtig","1991","Hauptschule","","","","",""
"4 Ganz unwichtig","1991","Realschule","","","","",""
"4 Ganz unwichtig","1991","(Fach-)Abitur","","","","",""
"4 Ganz unwichtig","1991","AkademikerIn","","","","",""
"1 Sehr wichtig","1992","(noch) kein Abschluss","68","0.256266636050292","0.200918397155071","0.311614874945512",""
"1 Sehr wichtig","1992","Hauptschule","1187","0.215249787076178","0.204173393122669","0.226326181029687",""
"1 Sehr wichtig","1992","Realschule","772","0.258690793440241","0.242957421452285","0.274424165428197",""
"1 Sehr wichtig","1992","(Fach-)Abitur","198","0.273249392077808","0.240142701084305","0.306356083071311",""
"1 Sehr wichtig","1992","AkademikerIn","371","0.22643435438736","0.205984519058192","0.246884189716529",""
