,Unnamed: 0,year,pgisced97,sex,pli0080,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,1990,Pre-primary Level,male,At least once per week,1.0,39,9084,0.79734,1.17336
1,1,1990,Pre-primary Level,female,At least once per week,1.0,43,9084,0.85747,1.16553
2,2,1990,Primary Level,male,Daily,0.10889,32,9084,0.06994,0.1547
3,3,1990,Primary Level,male,At least once per week,0.54155,138,9084,0.46559,0.64833
4,4,1990,Primary Level,male,At least once per month,0.22865,45,9084,0.15552,0.31264
5,5,1990,Primary Level,male,Seldom,0.1209,31,9084,0.0907,0.15446
6,6,1990,Primary Level,female,Daily,0.13581,37,9084,0.09071,0.18532
7,7,1990,Primary Level,female,At least once per week,0.4948,204,9084,0.4369,0.56372
8,8,1990,Primary Level,female,At least once per month,0.22617,78,9084,0.16612,0.28774
9,9,1990,Primary Level,female,Seldom,0.14322,41,9084,0.10046,0.19575
10,10,1990,Lower Secondary Level,male,Daily,0.10974,114,9084,0.09171,0.12938
11,11,1990,Lower Secondary Level,male,At least once per week,0.38918,401,9084,0.35239,0.43187
12,12,1990,Lower Secondary Level,male,At least once per month,0.23453,171,9084,0.21012,0.26241
13,13,1990,Lower Secondary Level,male,Seldom,0.22774,142,9084,0.20226,0.25586
14,14,1990,Lower Secondary Level,male,Never,0.03882,33,9084,0.02699,0.05008
15,15,1990,Lower Secondary Level,female,Daily,0.05499,111,9084,0.04694,0.06348
16,16,1990,Lower Secondary Level,female,At least once per week,0.37094,658,9084,0.35036,0.38896
17,17,1990,Lower Secondary Level,female,At least once per month,0.2888,420,9084,0.27449,0.30523
18,18,1990,Lower Secondary Level,female,Seldom,0.23539,342,9084,0.22185,0.24752
19,19,1990,Lower Secondary Level,female,Never,0.04987,63,9084,0.04242,0.05716
20,20,1990,Upper Secondary Level,male,Daily,0.03713,124,9084,0.03222,0.04207
21,21,1990,Upper Secondary Level,male,At least once per week,0.37256,976,9084,0.35897,0.38896
22,22,1990,Upper Secondary Level,male,At least once per month,0.31496,759,9084,0.30366,0.32556
23,23,1990,Upper Secondary Level,male,Seldom,0.24658,532,9084,0.23735,0.2552
24,24,1990,Upper Secondary Level,male,Never,0.02876,58,9084,0.02465,0.03256
25,25,1990,Upper Secondary Level,female,Daily,0.03793,93,9084,0.03283,0.04361
26,26,1990,Upper Secondary Level,female,At least once per week,0.41389,904,9084,0.39698,0.43039
27,27,1990,Upper Secondary Level,female,At least once per month,0.31358,636,9084,0.303,0.32443
28,28,1990,Upper Secondary Level,female,Seldom,0.20989,403,9084,0.19892,0.21892
29,29,1990,Upper Secondary Level,female,Never,0.02471,42,9084,0.0216,0.02795
30,30,1990,Post-secondary Non-tertiary Level,male,At least once per week,0.50124,78,9084,0.41492,0.5827
31,31,1990,Post-secondary Non-tertiary Level,male,At least once per month,0.29643,44,9084,0.24252,0.34954
32,32,1990,Post-secondary Non-tertiary Level,male,Seldom,0.20233,31,9084,0.15623,0.24728
33,33,1990,Post-secondary Non-tertiary Level,female,At least once per week,0.59636,68,9084,0.47923,0.69583
34,34,1990,Post-secondary Non-tertiary Level,female,At least once per month,0.40364,37,9084,0.32121,0.46399
35,35,1990,First Stage of Tertiary Education,male,At least once per week,0.29566,83,9084,0.26685,0.32912
36,36,1990,First Stage of Tertiary Education,male,At least once per month,0.37694,104,9084,0.34561,0.41312
37,37,1990,First Stage of Tertiary Education,male,Seldom,0.32739,83,9084,0.30376,0.35413
38,38,1990,First Stage of Tertiary Education,female,At least once per week,0.48832,106,9084,0.43831,0.53542
39,39,1990,First Stage of Tertiary Education,female,At least once per month,0.30817,72,9084,0.27433,0.34474
40,40,1990,First Stage of Tertiary Education,female,Seldom,0.20351,42,9084,0.17605,0.23243
41,41,1990,Second Stage of Tertiary Education,male,At least once per week,0.42896,193,9084,0.39608,0.46727
42,42,1990,Second Stage of Tertiary Education,male,At least once per month,0.38186,169,9084,0.35663,0.40653
43,43,1990,Second Stage of Tertiary Education,male,Seldom,0.18918,89,9084,0.17543,0.2045
44,44,1990,Second Stage of Tertiary Education,female,At least once per week,0.52313,111,9084,0.47611,0.56659
45,45,1990,Second Stage of Tertiary Education,female,At least once per month,0.34128,73,9084,0.30766,0.38321
46,46,1990,Second Stage of Tertiary Education,female,Seldom,0.13559,31,9084,0.10895,0.16166
47,47,1995,Pre-primary Level,male,Daily,0.38145,45,12621,0.2963,0.44966
48,48,1995,Pre-primary Level,male,At least once per week,0.61855,65,12621,0.51295,0.71337
49,49,1995,Pre-primary Level,female,Daily,0.25451,36,12621,0.19995,0.30668
50,50,1995,Pre-primary Level,female,At least once per week,0.74549,80,12621,0.64283,0.84534
51,51,1995,Primary Level,male,At least once per week,0.62981,107,12621,0.52302,0.75012
52,52,1995,Primary Level,male,At least once per month,0.37019,49,12621,0.28903,0.46639
53,53,1995,Primary Level,female,Daily,0.12138,32,12621,0.0969,0.14949
54,54,1995,Primary Level,female,At least once per week,0.61682,175,12621,0.51005,0.74765
55,55,1995,Primary Level,female,At least once per month,0.2618,70,12621,0.20136,0.33744
56,56,1995,Lower Secondary Level,male,Daily,0.11907,116,12621,0.1029,0.14012
57,57,1995,Lower Secondary Level,male,At least once per week,0.4494,419,12621,0.4118,0.48366
58,58,1995,Lower Secondary Level,male,At least once per month,0.25574,183,12621,0.22678,0.28332
59,59,1995,Lower Secondary Level,male,Seldom,0.17579,120,12621,0.15722,0.20354
60,60,1995,Lower Secondary Level,female,Daily,0.07197,131,12621,0.0651,0.08084
61,61,1995,Lower Secondary Level,female,At least once per week,0.40652,685,12621,0.38251,0.4316
62,62,1995,Lower Secondary Level,female,At least once per month,0.25663,416,12621,0.23883,0.27188
63,63,1995,Lower Secondary Level,female,Seldom,0.20852,304,12621,0.19574,0.22383
64,64,1995,Lower Secondary Level,female,Never,0.05635,78,12621,0.04768,0.06526
65,65,1995,Upper Secondary Level,male,Daily,0.05427,197,12621,0.04719,0.06003
66,66,1995,Upper Secondary Level,male,At least once per week,0.36256,1301,12621,0.35049,0.37752
67,67,1995,Upper Secondary Level,male,At least once per month,0.30829,1004,12621,0.29684,0.32254
68,68,1995,Upper Secondary Level,male,Seldom,0.23779,775,12621,0.22565,0.24922
69,69,1995,Upper Secondary Level,male,Never,0.03709,100,12621,0.03295,0.04174
70,70,1995,Upper Secondary Level,female,Daily,0.05051,163,12621,0.04495,0.05687
