year,pgisced97,pli0080,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1990,No answer / don't know,At least once per week,0.47257,82,113,0.38011,0.56503
1990,No answer / don't know,At least once per month,0.23074,31,113,0.15271,0.30876
1990,Pre-primary Level,Daily,0.19167,39,121,0.12124,0.26210
1990,Pre-primary Level,At least once per week,0.54738,82,121,0.45832,0.63644
1990,Primary Level,Daily,0.11636,69,606,0.09081,0.14191
1990,Primary Level,At least once per week,0.48614,342,606,0.44631,0.52597
1990,Primary Level,At least once per month,0.21405,123,606,0.18137,0.24673
1990,Primary Level,Seldom,0.12521,72,606,0.09884,0.15158
1990,Lower Secondary Level,Daily,0.06966,225,2455,0.05959,0.07973
1990,Lower Secondary Level,At least once per week,0.37587,1059,2455,0.35670,0.39503
1990,Lower Secondary Level,At least once per month,0.27431,591,2455,0.25666,0.29196
1990,Lower Secondary Level,Seldom,0.23333,484,2455,0.21660,0.25007
1990,Lower Secondary Level,Never,0.04683,96,2455,0.03847,0.05519
1990,Upper Secondary Level,Daily,0.03751,217,4528,0.03197,0.04304
1990,Upper Secondary Level,At least once per week,0.39176,1880,4528,0.37754,0.40598
1990,Upper Secondary Level,At least once per month,0.31431,1395,4528,0.30079,0.32784
1990,Upper Secondary Level,Seldom,0.22955,936,4528,0.21730,0.24180
1990,Upper Secondary Level,Never,0.02687,100,4528,0.02216,0.03158
1990,Post-secondary Non-tertiary Level,At least once per week,0.47776,146,271,0.41818,0.53735
1990,Post-secondary Non-tertiary Level,At least once per month,0.30134,81,271,0.24661,0.35607
1990,Post-secondary Non-tertiary Level,Seldom,0.14388,44,271,0.10202,0.18574
1990,First Stage of Tertiary Education,At least once per week,0.36305,189,489,0.32038,0.40571
1990,First Stage of Tertiary Education,At least once per month,0.32866,176,489,0.28698,0.37034
1990,First Stage of Tertiary Education,Seldom,0.25602,124,489,0.21729,0.29474
1990,Second Stage of Tertiary Education,At least once per week,0.43960,304,666,0.40188,0.47733
1990,Second Stage of Tertiary Education,At least once per month,0.35120,242,666,0.31492,0.38748
1990,Second Stage of Tertiary Education,Seldom,0.16327,120,666,0.13518,0.19137
1995,No answer / don't know,Daily,0.14981,38,228,0.10339,0.19624
1995,No answer / don't know,At least once per week,0.46113,134,228,0.39628,0.52598
1995,No answer / don't know,At least once per month,0.27015,56,228,0.21238,0.32791
1995,Pre-primary Level,Daily,0.25281,81,259,0.19978,0.30585
1995,Pre-primary Level,At least once per week,0.53920,145,259,0.47838,0.60003
1995,Pre-primary Level,At least once per month,0.12233,33,259,0.08235,0.16232
1995,Primary Level,Daily,0.11857,55,508,0.09043,0.14671
1995,Primary Level,At least once per week,0.47840,282,508,0.43492,0.52188
1995,Primary Level,At least once per month,0.23253,119,508,0.19575,0.26930
1995,Primary Level,Seldom,0.11810,52,508,0.09001,0.14620
1995,Lower Secondary Level,Daily,0.08368,247,2480,0.07278,0.09458
1995,Lower Secondary Level,At least once per week,0.41279,1104,2480,0.39341,0.43217
1995,Lower Secondary Level,At least once per month,0.25323,599,2480,0.23611,0.27034
1995,Lower Secondary Level,Seldom,0.19717,424,2480,0.18151,0.21283
1995,Lower Secondary Level,Never,0.05314,106,2480,0.04431,0.06197
1995,Upper Secondary Level,Daily,0.05241,360,6698,0.04707,0.05775
1995,Upper Secondary Level,At least once per week,0.38006,2661,6698,0.36844,0.39169
1995,Upper Secondary Level,At least once per month,0.31118,2034,6698,0.30009,0.32227
1995,Upper Secondary Level,Seldom,0.22281,1453,6698,0.21285,0.23278
1995,Upper Secondary Level,Never,0.03353,190,6698,0.02922,0.03784
1995,Post-secondary Non-tertiary Level,At least once per week,0.52678,239,435,0.47981,0.57375
1995,Post-secondary Non-tertiary Level,At least once per month,0.27024,134,435,0.22846,0.31202
1995,Post-secondary Non-tertiary Level,Seldom,0.11746,62,435,0.08717,0.14775
1995,First Stage of Tertiary Education,At least once per week,0.36682,272,725,0.33171,0.40192
1995,First Stage of Tertiary Education,At least once per month,0.35600,280,725,0.32112,0.39088
1995,First Stage of Tertiary Education,Seldom,0.23389,173,725,0.20306,0.26473
1995,Second Stage of Tertiary Education,Daily,0.02655,43,1720,0.01895,0.03415
1995,Second Stage of Tertiary Education,At least once per week,0.39121,621,1720,0.36814,0.41428
1995,Second Stage of Tertiary Education,At least once per month,0.34928,630,1720,0.32674,0.37182
1995,Second Stage of Tertiary Education,Seldom,0.21558,426,1720,0.19614,0.23502
1998,No answer / don't know,Daily,0.10869,67,583,0.08340,0.13398
1998,No answer / don't know,At least once per week,0.41535,278,583,0.37532,0.45539
1998,No answer / don't know,At least once per month,0.27398,147,583,0.23774,0.31021
1998,No answer / don't know,Seldom,0.16408,91,583,0.13399,0.19417
1998,Pre-primary Level,Daily,0.26654,94,310,0.21724,0.31584
1998,Pre-primary Level,At least once per week,0.56957,185,310,0.51436,0.62477
1998,Pre-primary Level,At least once per month,0.09063,31,310,0.05862,0.12264
1998,Primary Level,Daily,0.14352,69,436,0.11057,0.17646
1998,Primary Level,At least once per week,0.44526,218,436,0.39856,0.49197
1998,Primary Level,At least once per month,0.22151,89,436,0.18249,0.26053
1998,Primary Level,Seldom,0.16793,60,436,0.13280,0.20306
1998,Lower Secondary Level,Daily,0.09030,281,2527,0.07912,0.10147
1998,Lower Secondary Level,At least once per week,0.42783,1141,2527,0.40854,0.44712
1998,Lower Secondary Level,At least once per month,0.24505,589,2527,0.22828,0.26183
1998,Lower Secondary Level,Seldom,0.20114,439,2527,0.18550,0.21677
1998,Lower Secondary Level,Never,0.03568,77,2527,0.02845,0.04292
1998,Upper Secondary Level,Daily,0.05143,375,6989,0.04625,0.05661
1998,Upper Secondary Level,At least once per week,0.40589,2854,6989,0.39438,0.41741
1998,Upper Secondary Level,At least once per month,0.29555,2134,6989,0.28485,0.30625
1998,Upper Secondary Level,Seldom,0.22342,1490,6989,0.21365,0.23319
1998,Upper Secondary Level,Never,0.02371,136,6989,0.02014,0.02727
1998,Post-secondary Non-tertiary Level,At least once per week,0.54623,254,476,0.50146,0.59101
1998,Post-secondary Non-tertiary Level,At least once per month,0.28194,153,476,0.24148,0.32241
1998,Post-secondary Non-tertiary Level,Seldom,0.13344,69,476,0.10286,0.16402
1998,First Stage of Tertiary Education,At least once per week,0.37813,316,785,0.34418,0.41207
1998,First Stage of Tertiary Education,At least once per month,0.32854,271,785,0.29567,0.36142
1998,First Stage of Tertiary Education,Seldom,0.25027,198,785,0.21995,0.28059
1998,Second Stage of Tertiary Education,Daily,0.02618,46,1941,0.01907,0.03328
1998,Second Stage of Tertiary Education,At least once per week,0.39104,718,1941,0.36933,0.41276
1998,Second Stage of Tertiary Education,At least once per month,0.36269,737,1941,0.34129,0.38408
1998,Second Stage of Tertiary Education,Seldom,0.20842,440,1941,0.19034,0.22649
