year,age_gr,pgisced97,pli0080,proportion,n,lower_confidence,upper_confidence
1990,18-29 J.,middle vocational,Min 1x pro Woche,0.08081695399143515,18165,0.07685334676253183,0.08478056122033847
1990,30-45 J.,middle vocational,Min 1x pro Woche,0.06357746788184912,18165,0.06002912229027655,0.0671258134734217
1990,30-45 J.,middle vocational,Min 1x pro Monat,0.05589107280114198,18165,0.052550502273259185,0.05923164332902477
1990,46-65 J.,middle vocational,Min 1x pro Monat,0.052926320412869224,18165,0.049670457545655744,0.056182183280082704
1990,46-65 J.,middle vocational,Min 1x pro Woche,0.045459536620182275,18165,0.0424301964482103,0.04848887679215425
1990,18-29 J.,general elemantary,Min 1x pro Woche,0.04502031404414187,18165,0.04200495038066752,0.04803567770761622
1990,46-65 J.,middle vocational,Seltener,0.0416163390798287,18165,0.038712048892818096,0.04452062926683931
1990,30-45 J.,middle vocational,Seltener,0.029647523882727574,18165,0.027180931742690033,0.032114116022765114
1990,46-65 J.,general elemantary,Min 1x pro Woche,0.029427912594707367,18165,0.026970194892156324,0.03188563029725841
1990,18-29 J.,middle vocational,Min 1x pro Monat,0.027561216646535634,18165,0.025180439755819177,0.02994199353725209
1990,46-65 J.,general elemantary,Min 1x pro Monat,0.026243548918414406,18165,0.02391880657313686,0.02856829126369195
1990,46-65 J.,general elemantary,Seltener,0.025255298122323487,18165,0.022973590140568205,0.02753700610407877
1990,30-45 J.,general elemantary,Min 1x pro Woche,0.024047436038212366,18165,0.021819580049624143,0.026275292026800588
1990,30-45 J.,higher education,Min 1x pro Woche,0.01866695948171736,18165,0.016698695372340512,0.02063522359109421
1990,46-65 J.,inadequately,Min 1x pro Woche,0.017788514329636542,18165,0.015866260594727035,0.01971076806454605
1990,66 und älter,middle vocational,Min 1x pro Monat,0.01669045788953552,18165,0.014827437436700964,0.018553478342370075
1990,18-29 J.,middle vocational,Seltener,0.01614142966948501,18165,0.014308795811605076,0.01797406352736495
1990,66 und älter,middle vocational,Min 1x pro Woche,0.01614142966948501,18165,0.014308795811605076,0.01797406352736495
1990,66 und älter,middle vocational,Seltener,0.015262984517404194,18165,0.013480120443882413,0.017045848590925977
1990,30-45 J.,general elemantary,Min 1x pro Monat,0.01504337322938399,18165,0.01327318463259164,0.01681356182617634
1990,66 und älter,general elemantary,Min 1x pro Woche,0.014274733721313276,18165,0.01254968914337025,0.0159997782992563
1990,18-29 J.,general elemantary,Taeglich,0.012847260349181948,18165,0.011209554838333271,0.014484965860030626
1990,18-29 J.,middle vocational,Taeglich,0.012517843417151642,18165,0.010901000769647139,0.014134686064656145
1990,18-29 J.,general elemantary,Min 1x pro Monat,0.012188426485121336,18165,0.01059273382837124,0.013784119141871432
1990,30-45 J.,higher education,Min 1x pro Monat,0.011749203909080927,18165,0.01018217799954758,0.013316229818614272
1990,30-45 J.,inadequately,Min 1x pro Woche,0.011200175689030416,18165,0.009669775614603464,0.012730575763457368
1990,66 und älter,general elemantary,Seltener,0.010651147468979905,18165,0.009158314230266864,0.012143980707692946
1990,46-65 J.,higher education,Min 1x pro Monat,0.010651147468979905,18165,0.009158314230266864,0.012143980707692946
1990,66 und älter,general elemantary,Min 1x pro Monat,0.010541341824969803,18165,0.00905614112564875,0.012026542524290857
1990,30-45 J.,general elemantary,Seltener,0.008894257164818271,18165,0.007528878200204237,0.010259636129432306
