"pli0080","year","age_gr","bildungsniveau","n","percent","lower_confidence","upper_confidence"
"Taeglich","1990","17-34","(noch) kein Abschluss","58","0.158706286385945","0.118418311622887","0.198994261149002"
"Taeglich","1990","17-34","Hauptschule","193","0.0965137038915741","0.0820715956124833","0.110955812170665"
"Taeglich","1990","17-34","Realschule","65","0.0699875229810125","0.0531120663899342","0.0868629795720908"
"Taeglich","1990","17-34","(Fach-)Abitur","44","0.0890969383236498","0.0640509964824515","0.114142880164848"
"Taeglich","1990","17-34","AkademikerIn","","","",""
"Taeglich","1990","35-65","(noch) kein Abschluss","58","0.113935228178502","0.0862234655512928","0.141646990805712"
"Taeglich","1990","35-65","Hauptschule","99","0.0241067809360413","0.0185952104375866","0.029618351434496"
"Taeglich","1990","35-65","Realschule","","","",""
"Taeglich","1990","35-65","(Fach-)Abitur","","","",""
"Taeglich","1990","35-65","AkademikerIn","","","",""
"Taeglich","1990","66 +","(noch) kein Abschluss","","","",""
"Taeglich","1990","66 +","Hauptschule","32","0.0448795371914648","0.0300522929390229","0.0597067814439067"
"Taeglich","1990","66 +","Realschule","","","",""
"Taeglich","1990","66 +","(Fach-)Abitur","","","",""
"Taeglich","1990","66 +","AkademikerIn","","","",""
"Min 1x pro Woche","1990","17-34","(noch) kein Abschluss","177","0.570392940170142","0.515813720109254","0.62497216023103"
"Min 1x pro Woche","1990","17-34","Hauptschule","827","0.499229807552722","0.474776094619195","0.523683520486249"
"Min 1x pro Woche","1990","17-34","Realschule","485","0.539008127324129","0.506036139993116","0.571980114655142"
"Min 1x pro Woche","1990","17-34","(Fach-)Abitur","308","0.61726614234093","0.574534009864197","0.659998274817664"
"Min 1x pro Woche","1990","17-34","AkademikerIn","120","0.611483442156856","0.543420284270972","0.67954660004274"
"Min 1x pro Woche","1990","35-65","(noch) kein Abschluss","268","0.499518292020897","0.455909685962466","0.543126898079329"
"Min 1x pro Woche","1990","35-65","Hauptschule","1015","0.30164049483891","0.285147901426445","0.318133088251375"
"Min 1x pro Woche","1990","35-65","Realschule","198","0.341336296016056","0.302880237564352","0.37979235446776"
"Min 1x pro Woche","1990","35-65","(Fach-)Abitur","86","0.355804293973496","0.290106995311462","0.42150159263553"
"Min 1x pro Woche","1990","35-65","AkademikerIn","161","0.372129368268035","0.326861182082789","0.41739755445328"
"Min 1x pro Woche","1990","66 +","(noch) kein Abschluss","","","",""
"Min 1x pro Woche","1990","66 +","Hauptschule","243","0.343349151653124","0.309344179279834","0.377354124026414"
"Min 1x pro Woche","1990","66 +","Realschule","47","0.322398893905362","0.249519731573538","0.395278056237187"
"Min 1x pro Woche","1990","66 +","(Fach-)Abitur","","","",""
"Min 1x pro Woche","1990","66 +","AkademikerIn","","","",""
"Min 1x pro Monat","1990","17-34","(noch) kein Abschluss","46","0.150087698264265","0.110708746078304","0.189466650450225"
"Min 1x pro Monat","1990","17-34","Hauptschule","345","0.241355574698205","0.220427796531666","0.262283352864743"
"Min 1x pro Monat","1990","17-34","Realschule","208","0.249568240210495","0.220942871166652","0.278193609254338"
"Min 1x pro Monat","1990","17-34","(Fach-)Abitur","89","0.194142411134286","0.159368042296948","0.228916779971625"
"Min 1x pro Monat","1990","17-34","AkademikerIn","49","0.244940884430575","0.184887692441113","0.304994076420038"
"Min 1x pro Monat","1990","35-65","(noch) kein Abschluss","106","0.204848993899685","0.16964887536045","0.240049112438921"
"Min 1x pro Monat","1990","35-65","Hauptschule","1013","0.357481326158035","0.340259699767279","0.37470295254879"
"Min 1x pro Monat","1990","35-65","Realschule","228","0.370583554273236","0.331413535316641","0.40975357322983"
"Min 1x pro Monat","1990","35-65","(Fach-)Abitur","73","0.409238855556373","0.341766262707055","0.476711448405692"
"Min 1x pro Monat","1990","35-65","AkademikerIn","174","0.409071701689489","0.36302716064587","0.455116242733107"
"Min 1x pro Monat","1990","66 +","(noch) kein Abschluss","","","",""
"Min 1x pro Monat","1990","66 +","Hauptschule","211","0.275005634444196","0.24302807655368","0.306983192334712"
"Min 1x pro Monat","1990","66 +","Realschule","52","0.278105465445301","0.208240220440972","0.34797071044963"
"Min 1x pro Monat","1990","66 +","(Fach-)Abitur","","","",""
"Min 1x pro Monat","1990","66 +","AkademikerIn","","","",""
"Seltener","1990","17-34","(noch) kein Abschluss","","","",""
"Seltener","1990","17-34","Hauptschule","212","0.147766832301098","0.130411096980715","0.165122567621481"
"Seltener","1990","17-34","Realschule","114","0.134640577271463","0.112062493552205","0.157218660990721"
"Seltener","1990","17-34","(Fach-)Abitur","52","0.0942361601373823","0.0685507694025524","0.119921550872212"
"Seltener","1990","17-34","AkademikerIn","","","",""
"Seltener","1990","35-65","(noch) kein Abschluss","59","0.13696063704696","0.106974840654453","0.166946433439467"
"Seltener","1990","35-65","Hauptschule","764","0.288119796122614","0.271845784813547","0.304393807431681"
"Seltener","1990","35-65","Realschule","138","0.252784063150546","0.217535649563465","0.288032476737627"
"Seltener","1990","35-65","(Fach-)Abitur","33","0.174089875922127","0.122056002031111","0.226123749813143"
"Seltener","1990","35-65","AkademikerIn","88","0.186695559937899","0.150202977132761","0.223188142743037"
"Seltener","1990","66 +","(noch) kein Abschluss","","","",""
"Seltener","1990","66 +","Hauptschule","199","0.248527785530464","0.21757846485589","0.279477106205039"
"Seltener","1990","66 +","Realschule","50","0.339623969651418","0.265780113923104","0.413467825379732"
"Seltener","1990","66 +","(Fach-)Abitur","","","",""
"Seltener","1990","66 +","AkademikerIn","","","",""
"Nie","1990","17-34","(noch) kein Abschluss","","","",""
"Nie","1990","17-34","Hauptschule","","","",""
"Nie","1990","17-34","Realschule","","","",""
"Nie","1990","17-34","(Fach-)Abitur","","","",""
"Nie","1990","17-34","AkademikerIn","","","",""
"Nie","1990","35-65","(noch) kein Abschluss","","","",""
"Nie","1990","35-65","Hauptschule","84","0.0286516019443997","0.0226569140841848","0.0346462898046145"
"Nie","1990","35-65","Realschule","","","",""
"Nie","1990","35-65","(Fach-)Abitur","","","",""
"Nie","1990","35-65","AkademikerIn","","","",""
"Nie","1990","66 +","(noch) kein Abschluss","","","",""
"Nie","1990","66 +","Hauptschule","64","0.0882378911807513","0.0679248236576325","0.10855095870387"
"Nie","1990","66 +","Realschule","","","",""
"Nie","1990","66 +","(Fach-)Abitur","","","",""
"Nie","1990","66 +","AkademikerIn","","","",""
"Taeglich","1991","17-34","(noch) kein Abschluss","","","",""
"Taeglich","1991","17-34","Hauptschule","","","",""
"Taeglich","1991","17-34","Realschule","","","",""
"Taeglich","1991","17-34","(Fach-)Abitur","","","",""
"Taeglich","1991","17-34","AkademikerIn","","","",""
"Taeglich","1991","35-65","(noch) kein Abschluss","","","",""
"Taeglich","1991","35-65","Hauptschule","","","",""
"Taeglich","1991","35-65","Realschule","","","",""
"Taeglich","1991","35-65","(Fach-)Abitur","","","",""
"Taeglich","1991","35-65","AkademikerIn","","","",""
"Taeglich","1991","66 +","(noch) kein Abschluss","","","",""
"Taeglich","1991","66 +","Hauptschule","","","",""
"Taeglich","1991","66 +","Realschule","","","",""
"Taeglich","1991","66 +","(Fach-)Abitur","","","",""
"Taeglich","1991","66 +","AkademikerIn","","","",""
"Min 1x pro Woche","1991","17-34","(noch) kein Abschluss","","","",""
"Min 1x pro Woche","1991","17-34","Hauptschule","","","",""
"Min 1x pro Woche","1991","17-34","Realschule","","","",""
"Min 1x pro Woche","1991","17-34","(Fach-)Abitur","","","",""
"Min 1x pro Woche","1991","17-34","AkademikerIn","","","",""
"Min 1x pro Woche","1991","35-65","(noch) kein Abschluss","","","",""
"Min 1x pro Woche","1991","35-65","Hauptschule","","","",""
"Min 1x pro Woche","1991","35-65","Realschule","","","",""
"Min 1x pro Woche","1991","35-65","(Fach-)Abitur","","","",""
"Min 1x pro Woche","1991","35-65","AkademikerIn","","","",""
"Min 1x pro Woche","1991","66 +","(noch) kein Abschluss","","","",""
"Min 1x pro Woche","1991","66 +","Hauptschule","","","",""
"Min 1x pro Woche","1991","66 +","Realschule","","","",""
"Min 1x pro Woche","1991","66 +","(Fach-)Abitur","","","",""
"Min 1x pro Woche","1991","66 +","AkademikerIn","","","",""
"Min 1x pro Monat","1991","17-34","(noch) kein Abschluss","","","",""
"Min 1x pro Monat","1991","17-34","Hauptschule","","","",""
"Min 1x pro Monat","1991","17-34","Realschule","","","",""
"Min 1x pro Monat","1991","17-34","(Fach-)Abitur","","","",""
"Min 1x pro Monat","1991","17-34","AkademikerIn","","","",""
"Min 1x pro Monat","1991","35-65","(noch) kein Abschluss","","","",""
"Min 1x pro Monat","1991","35-65","Hauptschule","","","",""
"Min 1x pro Monat","1991","35-65","Realschule","","","",""
"Min 1x pro Monat","1991","35-65","(Fach-)Abitur","","","",""
"Min 1x pro Monat","1991","35-65","AkademikerIn","","","",""
"Min 1x pro Monat","1991","66 +","(noch) kein Abschluss","","","",""
"Min 1x pro Monat","1991","66 +","Hauptschule","","","",""
"Min 1x pro Monat","1991","66 +","Realschule","","","",""
"Min 1x pro Monat","1991","66 +","(Fach-)Abitur","","","",""
"Min 1x pro Monat","1991","66 +","AkademikerIn","","","",""
"Seltener","1991","17-34","(noch) kein Abschluss","","","",""
"Seltener","1991","17-34","Hauptschule","","","",""
"Seltener","1991","17-34","Realschule","","","",""
"Seltener","1991","17-34","(Fach-)Abitur","","","",""
"Seltener","1991","17-34","AkademikerIn","","","",""
"Seltener","1991","35-65","(noch) kein Abschluss","","","",""
"Seltener","1991","35-65","Hauptschule","","","",""
"Seltener","1991","35-65","Realschule","","","",""
"Seltener","1991","35-65","(Fach-)Abitur","","","",""
"Seltener","1991","35-65","AkademikerIn","","","",""
"Seltener","1991","66 +","(noch) kein Abschluss","","","",""
"Seltener","1991","66 +","Hauptschule","","","",""
"Seltener","1991","66 +","Realschule","","","",""
"Seltener","1991","66 +","(Fach-)Abitur","","","",""
"Seltener","1991","66 +","AkademikerIn","","","",""
"Nie","1991","17-34","(noch) kein Abschluss","","","",""
"Nie","1991","17-34","Hauptschule","","","",""
"Nie","1991","17-34","Realschule","","","",""
"Nie","1991","17-34","(Fach-)Abitur","","","",""
"Nie","1991","17-34","AkademikerIn","","","",""
"Nie","1991","35-65","(noch) kein Abschluss","","","",""
"Nie","1991","35-65","Hauptschule","","","",""
"Nie","1991","35-65","Realschule","","","",""
"Nie","1991","35-65","(Fach-)Abitur","","","",""
"Nie","1991","35-65","AkademikerIn","","","",""
"Nie","1991","66 +","(noch) kein Abschluss","","","",""
"Nie","1991","66 +","Hauptschule","","","",""
"Nie","1991","66 +","Realschule","","","",""
"Nie","1991","66 +","(Fach-)Abitur","","","",""
"Nie","1991","66 +","AkademikerIn","","","",""
"Taeglich","1992","17-34","(noch) kein Abschluss","","","",""
"Taeglich","1992","17-34","Hauptschule","","","",""
"Taeglich","1992","17-34","Realschule","","","",""
"Taeglich","1992","17-34","(Fach-)Abitur","","","",""
"Taeglich","1992","17-34","AkademikerIn","","","",""
"Taeglich","1992","35-65","(noch) kein Abschluss","","","",""
"Taeglich","1992","35-65","Hauptschule","","","",""
"Taeglich","1992","35-65","Realschule","","","",""
"Taeglich","1992","35-65","(Fach-)Abitur","","","",""
"Taeglich","1992","35-65","AkademikerIn","","","",""
"Taeglich","1992","66 +","(noch) kein Abschluss","","","",""
"Taeglich","1992","66 +","Hauptschule","","","",""
"Taeglich","1992","66 +","Realschule","","","",""
"Taeglich","1992","66 +","(Fach-)Abitur","","","",""
"Taeglich","1992","66 +","AkademikerIn","","","",""
"Min 1x pro Woche","1992","17-34","(noch) kein Abschluss","","","",""
"Min 1x pro Woche","1992","17-34","Hauptschule","","","",""
"Min 1x pro Woche","1992","17-34","Realschule","","","",""
"Min 1x pro Woche","1992","17-34","(Fach-)Abitur","","","",""
