year,sampreg,sex,pli0080,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1990,West,male,Daily,0.04344,336,4652,0.03758,0.04930
1990,West,male,At least once per week,0.31363,1946,4652,0.30030,0.32697
1990,West,male,At least once per month,0.25125,1321,4652,0.23878,0.26371
1990,West,male,Seldom,0.19175,930,4652,0.18043,0.20306
1990,West,male,Never,0.02228,119,4652,0.01804,0.02652
1990,West,female,Daily,0.03969,279,4778,0.03415,0.04523
1990,West,female,At least once per week,0.34767,2138,4778,0.33416,0.36117
1990,West,female,At least once per month,0.25227,1343,4778,0.23996,0.26459
1990,West,female,Seldom,0.17300,887,4778,0.16228,0.18373
1990,West,female,Never,0.02795,131,4778,0.02327,0.03262
1995,West,male,Daily,0.04782,334,4636,0.04168,0.05396
1995,West,male,At least once per week,0.31680,2029,4636,0.30341,0.33019
1995,West,male,At least once per month,0.25159,1354,4636,0.23910,0.26408
1995,West,male,Seldom,0.16338,808,4636,0.15273,0.17402
1995,West,male,Never,0.02412,111,4636,0.01970,0.02853
1995,West,female,Daily,0.04924,330,4914,0.04319,0.05529
1995,West,female,At least once per week,0.36521,2328,4914,0.35174,0.37867
1995,West,female,At least once per month,0.24171,1377,4914,0.22974,0.25368
1995,West,female,Seldom,0.14647,756,4914,0.13658,0.15636
1995,West,female,Never,0.02467,123,4914,0.02033,0.02900
1995,East,male,Daily,0.04356,102,1745,0.03398,0.05314
1995,East,male,At least once per week,0.24467,507,1745,0.22449,0.26484
1995,East,male,At least once per month,0.23625,540,1745,0.21632,0.25619
1995,East,male,Seldom,0.24748,537,1745,0.22722,0.26773
1995,East,male,Never,0.03947,59,1745,0.03033,0.04861
1995,East,female,Daily,0.05142,98,1927,0.04156,0.06128
1995,East,female,At least once per week,0.26505,594,1927,0.24534,0.28476
1995,East,female,At least once per month,0.25359,614,1927,0.23416,0.27302
1995,East,female,Seldom,0.21659,539,1927,0.19819,0.23498
1995,East,female,Never,0.04262,82,1927,0.03360,0.05164
1998,West,male,Daily,0.05265,375,4994,0.04646,0.05885
1998,West,male,At least once per week,0.33788,2206,4994,0.32476,0.35100
1998,West,male,At least once per month,0.23372,1436,4994,0.22198,0.24545
1998,West,male,Seldom,0.16642,895,4994,0.15609,0.17675
1998,West,male,Never,0.01728,82,4994,0.01366,0.02089
