"pli0080","year","bildungsniveau","bula_h","n","percent","lower_confidence_percent","upper_confidence_percent"
"Täglich","1990","(noch) kein Abschluss","Schleswig-Holstein","2","","",""
"Täglich","1990","(noch) kein Abschluss","Hamburg","1","","",""
"Täglich","1990","(noch) kein Abschluss","Niedersachsen","7","","",""
"Täglich","1990","(noch) kein Abschluss","Bremen","1","","",""
"Täglich","1990","(noch) kein Abschluss","Nordrhein-Westfalen","32","0.137348829126808","0.0959834164364698","0.178714241817145"
"Täglich","1990","(noch) kein Abschluss","Hessen","23","","",""
"Täglich","1990","(noch) kein Abschluss","Rheinland-Pfalz,Saarland","6","","",""
"Täglich","1990","(noch) kein Abschluss","Baden-Württemberg","34","0.202760645935392","0.148382469311231","0.257138822559553"
"Täglich","1990","(noch) kein Abschluss","Bayern","5","","",""
"Täglich","1990","(noch) kein Abschluss","Saarland","","","",""
"Täglich","1990","(noch) kein Abschluss","Berlin","7","","",""
"Täglich","1990","(noch) kein Abschluss","Brandenburg","","","",""
"Täglich","1990","(noch) kein Abschluss","Mecklenburg-Vorpommern","","","",""
"Täglich","1990","(noch) kein Abschluss","Sachsen","","","",""
"Täglich","1990","(noch) kein Abschluss","Sachsen-Anhalt","","","",""
"Täglich","1990","(noch) kein Abschluss","Thüringen","","","",""
"Täglich","1990","Hauptschule","Schleswig-Holstein","8","","",""
"Täglich","1990","Hauptschule","Hamburg","4","","",""
"Täglich","1990","Hauptschule","Niedersachsen","27","","",""
"Täglich","1990","Hauptschule","Bremen","9","","",""
"Täglich","1990","Hauptschule","Nordrhein-Westfalen","78","0.0435577361418955","0.0326779145339324","0.0544375577498587"
"Täglich","1990","Hauptschule","Hessen","34","0.0449699983177054","0.0271749499620856","0.0627650466733253"
"Täglich","1990","Hauptschule","Rheinland-Pfalz,Saarland","30","0.0510491903889487","0.0306681962657202","0.0714301845121771"
"Täglich","1990","Hauptschule","Baden-Württemberg","82","0.0493256631264405","0.0362525163528745","0.0623988099000065"
"Täglich","1990","Hauptschule","Bayern","44","0.0418836997902687","0.0290912337413355","0.0546761658392018"
"Täglich","1990","Hauptschule","Saarland","","","",""
"Täglich","1990","Hauptschule","Berlin","8","","",""
"Täglich","1990","Hauptschule","Brandenburg","","","",""
"Täglich","1990","Hauptschule","Mecklenburg-Vorpommern","","","",""
"Täglich","1990","Hauptschule","Sachsen","","","",""
"Täglich","1990","Hauptschule","Sachsen-Anhalt","","","",""
"Täglich","1990","Hauptschule","Thüringen","","","",""
"Täglich","1990","Realschule","Schleswig-Holstein","2","","",""
"Täglich","1990","Realschule","Hamburg","2","","",""
"Täglich","1990","Realschule","Niedersachsen","9","","",""
"Täglich","1990","Realschule","Bremen","1","","",""
"Täglich","1990","Realschule","Nordrhein-Westfalen","24","","",""
"Täglich","1990","Realschule","Hessen","9","","",""
"Täglich","1990","Realschule","Rheinland-Pfalz,Saarland","1","","",""
"Täglich","1990","Realschule","Baden-Württemberg","14","","",""
"Täglich","1990","Realschule","Bayern","6","","",""
"Täglich","1990","Realschule","Saarland","","","",""
"Täglich","1990","Realschule","Berlin","10","","",""
"Täglich","1990","Realschule","Brandenburg","","","",""
"Täglich","1990","Realschule","Mecklenburg-Vorpommern","","","",""
"Täglich","1990","Realschule","Sachsen","","","",""
"Täglich","1990","Realschule","Sachsen-Anhalt","","","",""
"Täglich","1990","Realschule","Thüringen","","","",""
"Täglich","1990","(Fach-)Abitur","Schleswig-Holstein","3","","",""
"Täglich","1990","(Fach-)Abitur","Hamburg","","","",""
"Täglich","1990","(Fach-)Abitur","Niedersachsen","5","","",""
"Täglich","1990","(Fach-)Abitur","Bremen","","","",""
"Täglich","1990","(Fach-)Abitur","Nordrhein-Westfalen","15","","",""
"Täglich","1990","(Fach-)Abitur","Hessen","8","","",""
"Täglich","1990","(Fach-)Abitur","Rheinland-Pfalz,Saarland","4","","",""
"Täglich","1990","(Fach-)Abitur","Baden-Württemberg","9","","",""
"Täglich","1990","(Fach-)Abitur","Bayern","7","","",""
"Täglich","1990","(Fach-)Abitur","Saarland","","","",""
"Täglich","1990","(Fach-)Abitur","Berlin","","","",""
"Täglich","1990","(Fach-)Abitur","Brandenburg","","","",""
"Täglich","1990","(Fach-)Abitur","Mecklenburg-Vorpommern","","","",""
"Täglich","1990","(Fach-)Abitur","Sachsen","","","",""
"Täglich","1990","(Fach-)Abitur","Sachsen-Anhalt","","","",""
"Täglich","1990","(Fach-)Abitur","Thüringen","","","",""
"Täglich","1990","AkademikerIn","Schleswig-Holstein","1","","",""
"Täglich","1990","AkademikerIn","Hamburg","","","",""
"Täglich","1990","AkademikerIn","Niedersachsen","4","","",""
"Täglich","1990","AkademikerIn","Bremen","1","","",""
"Täglich","1990","AkademikerIn","Nordrhein-Westfalen","2","","",""
"Täglich","1990","AkademikerIn","Hessen","3","","",""
"Täglich","1990","AkademikerIn","Rheinland-Pfalz,Saarland","3","","",""
"Täglich","1990","AkademikerIn","Baden-Württemberg","4","","",""
"Täglich","1990","AkademikerIn","Bayern","4","","",""
"Täglich","1990","AkademikerIn","Saarland","","","",""
"Täglich","1990","AkademikerIn","Berlin","1","","",""
"Täglich","1990","AkademikerIn","Brandenburg","","","",""
"Täglich","1990","AkademikerIn","Mecklenburg-Vorpommern","","","",""
