,Unnamed: 0,year,regtyp,sampreg,pli0080,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
93,93,2013,Urban regions,West,Seldom,0.21312,2726,25408,0.20595,0.22329
94,94,2013,Urban regions,West,Never,0.0341,407,25408,0.03154,0.03683
95,95,2013,Urban regions,East,Daily,0.02985,73,25408,0.02123,0.0428
96,96,2013,Urban regions,East,At least once per week,0.31393,643,25408,0.28591,0.33706
97,97,2013,Urban regions,East,At least once per month,0.37639,697,25408,0.34634,0.40499
98,98,2013,Urban regions,East,Seldom,0.24208,461,25408,0.22225,0.26603
99,99,2013,Urban regions,East,Never,0.03774,68,25408,0.03258,0.04298
100,100,2013,Rural regions,West,Daily,0.04375,268,25408,0.03786,0.04845
101,101,2013,Rural regions,West,At least once per week,0.37679,2215,25408,0.36012,0.39511
102,102,2013,Rural regions,West,At least once per month,0.3157,1744,25408,0.29838,0.32898
103,103,2013,Rural regions,West,Seldom,0.2224,1147,25408,0.21035,0.23589
104,104,2013,Rural regions,West,Never,0.04136,167,25408,0.03527,0.04775
105,105,2013,Rural regions,East,Daily,0.03265,128,25408,0.02684,0.04001
106,106,2013,Rural regions,East,At least once per week,0.27635,1091,25408,0.25816,0.29163
107,107,2013,Rural regions,East,At least once per month,0.35427,1327,25408,0.33343,0.37327
108,108,2013,Rural regions,East,Seldom,0.2743,960,25408,0.25398,0.28991
109,109,2013,Rural regions,East,Never,0.06243,238,25408,0.0561,0.06924
110,110,2019,Urban regions,West,Daily,0.03838,581,25091,0.03499,0.04221
111,111,2019,Urban regions,West,At least once per week,0.3806,5531,25091,0.36925,0.39364
112,112,2019,Urban regions,West,At least once per month,0.34094,4946,25091,0.32811,0.34978
113,113,2019,Urban regions,West,Seldom,0.19602,2824,25091,0.18719,0.2045
114,114,2019,Urban regions,West,Never,0.04407,531,25091,0.03997,0.04771
115,115,2019,Urban regions,East,Daily,0.03497,67,25091,0.02629,0.04491
116,116,2019,Urban regions,East,At least once per week,0.30485,596,25091,0.27836,0.3339
117,117,2019,Urban regions,East,At least once per month,0.33971,621,25091,0.31201,0.38128
118,118,2019,Urban regions,East,Seldom,0.25032,514,25091,0.22773,0.28186
119,119,2019,Urban regions,East,Never,0.07014,94,25091,0.05295,0.09068
120,120,2019,Rural regions,West,Daily,0.02512,181,25091,0.02132,0.02955
121,121,2019,Rural regions,West,At least once per week,0.37389,1955,25091,0.35395,0.39294
122,122,2019,Rural regions,West,At least once per month,0.3122,1712,25091,0.29403,0.32745
123,123,2019,Rural regions,West,Seldom,0.24159,1143,25091,0.22387,0.26334
124,124,2019,Rural regions,West,Never,0.0472,229,25091,0.04065,0.05368
125,125,2019,Rural regions,East,Daily,0.04963,140,25091,0.04074,0.05908
126,126,2019,Rural regions,East,At least once per week,0.30332,1058,25091,0.27865,0.32518
127,127,2019,Rural regions,East,At least once per month,0.3232,1261,25091,0.29857,0.34344
128,128,2019,Rural regions,East,Seldom,0.27533,920,25091,0.25522,0.29847
129,129,2019,Rural regions,East,Never,0.04852,187,25091,0.04108,0.05712
130,130,2021,Urban regions,West,Daily,0.05521,506,17189,0.04973,0.06099
131,131,2021,Urban regions,West,At least once per week,0.43957,4541,17189,0.42242,0.45822
132,132,2021,Urban regions,West,At least once per month,0.26508,2796,17189,0.25136,0.27617
133,133,2021,Urban regions,West,Seldom,0.19177,1812,17189,0.18118,0.20365
134,134,2021,Urban regions,West,Never,0.04836,395,17189,0.0433,0.05509
135,135,2021,Urban regions,East,Daily,0.05437,73,17189,0.03781,0.07314
136,136,2021,Urban regions,East,At least once per week,0.43023,578,17189,0.37934,0.48611
137,137,2021,Urban regions,East,At least once per month,0.29387,396,17189,0.26011,0.33554
138,138,2021,Urban regions,East,Seldom,0.18529,249,17189,0.15221,0.22131
139,139,2021,Urban regions,East,Never,0.03624,42,17189,0.02577,0.04899
140,140,2021,Rural regions,West,Daily,0.05915,215,17189,0.05149,0.06808
141,141,2021,Rural regions,West,At least once per week,0.45545,1596,17189,0.42935,0.48216
142,142,2021,Rural regions,West,At least once per month,0.24222,892,17189,0.22346,0.26418
143,143,2021,Rural regions,West,Seldom,0.20058,681,17189,0.17652,0.22208
144,144,2021,Rural regions,West,Never,0.0426,136,17189,0.03439,0.0517
145,145,2021,Rural regions,East,Daily,0.06229,144,17189,0.05367,0.0718
146,146,2021,Rural regions,East,At least once per week,0.41588,939,17189,0.38091,0.44748
147,147,2021,Rural regions,East,At least once per month,0.26988,643,17189,0.24721,0.3012
148,148,2021,Rural regions,East,Seldom,0.20594,467,17189,0.18489,0.2371
149,149,2021,Rural regions,East,Never,0.046,88,17189,0.03491,0.05719
