year,pli0080,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1990,Daily,0.04991,615,9430,0.04551,0.05430
1990,At least once per week,0.39816,4084,9430,0.38828,0.40804
1990,At least once per month,0.30271,2664,9430,0.29344,0.31198
1990,Seldom,0.21892,1817,9430,0.21058,0.22727
1990,Never,0.03030,250,9430,0.02684,0.03376
1995,Daily,0.05922,864,13222,0.05520,0.06324
1995,At least once per week,0.39781,5458,13222,0.38947,0.40616
1995,At least once per month,0.30154,3885,13222,0.29372,0.30936
1995,Seldom,0.20761,2640,13222,0.20070,0.21452
1995,Never,0.03382,375,13222,0.03074,0.03690
1998,Daily,0.06097,975,14173,0.05703,0.06491
1998,At least once per week,0.41572,5964,14173,0.40760,0.42383
1998,At least once per month,0.29079,4151,14173,0.28331,0.29827
1998,Seldom,0.20889,2806,14173,0.20219,0.21558
1998,Never,0.02364,277,14173,0.02113,0.02614
2003,Daily,0.04582,1053,22081,0.04307,0.04858
2003,At least once per week,0.41433,9153,22081,0.40783,0.42083
2003,At least once per month,0.30466,7078,22081,0.29859,0.31074
2003,Seldom,0.20098,4174,22081,0.19569,0.20626
2003,Never,0.03420,623,22081,0.03181,0.03660
2008,Daily,0.04295,748,19237,0.04008,0.04581
2008,At least once per week,0.39306,7467,19237,0.38616,0.39997
2008,At least once per month,0.31282,6378,19237,0.30626,0.31937
2008,Seldom,0.21865,4106,19237,0.21281,0.22449
2008,Never,0.03252,538,19237,0.03002,0.03503
2013,Daily,0.03780,1068,25408,0.03546,0.04015
2013,At least once per week,0.36951,9805,25408,0.36357,0.37544
2013,At least once per month,0.32848,8361,25408,0.32270,0.33425
2013,Seldom,0.22482,5294,25408,0.21969,0.22996
2013,Never,0.03939,880,25408,0.03700,0.04178
2019,Daily,0.03744,1011,25646,0.03512,0.03977
2019,At least once per week,0.36705,9386,25646,0.36115,0.37295
2019,At least once per month,0.33216,8704,25646,0.32640,0.33793
2019,Seldom,0.21671,5477,25646,0.21166,0.22175
2019,Never,0.04664,1068,25646,0.04406,0.04922
2021,Daily,0.05704,938,17190,0.05357,0.06050
2021,At least once per week,0.43989,7655,17190,0.43247,0.44731
2021,At least once per month,0.26233,4727,17190,0.25575,0.26890
2021,Seldom,0.19467,3209,17190,0.18875,0.20059
2021,Never,0.04608,661,17190,0.04295,0.04922
