"pli0080","year","bildungsniveau","regtyp","n","percent","lower_confidence_percent","upper_confidence_percent"
"Taeglich","1990","(noch) kein Abschluss","Staedtischer Raum","102","","",""
"Taeglich","1990","(noch) kein Abschluss","Laendlicher Raum","16","","",""
"Taeglich","1990","Hauptschule","Staedtischer Raum","263","","",""
"Taeglich","1990","Hauptschule","Laendlicher Raum","61","0.0382185413929774","0.0275901304264496","0.0488469523595053"
"Taeglich","1990","Realschule","Staedtischer Raum","69","0.0460972420762628","0.0345233328613894","0.0576711512911361"
"Taeglich","1990","Realschule","Laendlicher Raum","9","0.0193551196476424","0.00510381317668031","0.0336064261186044"
"Taeglich","1990","(Fach-)Abitur","Staedtischer Raum","41","0.064154544285351","0.0451711493008187","0.0831379392698833"
"Taeglich","1990","(Fach-)Abitur","Laendlicher Raum","10","","",""
"Taeglich","1990","AkademikerIn","Staedtischer Raum","20","","",""
"Taeglich","1990","AkademikerIn","Laendlicher Raum","3","","",""
"Min 1x pro Woche","1990","(noch) kein Abschluss","Staedtischer Raum","398","0.529210545658902","0.49297690818111","0.565444183136693"
"Min 1x pro Woche","1990","(noch) kein Abschluss","Laendlicher Raum","53","0.476664971192505","0.384576472957816","0.568753469427195"
"Min 1x pro Woche","1990","Hauptschule","Staedtischer Raum","1650","","",""
"Min 1x pro Woche","1990","Hauptschule","Laendlicher Raum","435","0.323706438712624","0.297768445050392","0.349644432374857"
"Min 1x pro Woche","1990","Realschule","Staedtischer Raum","583","0.440393759224892","0.412993643296453","0.467793875153331"
"Min 1x pro Woche","1990","Realschule","Laendlicher Raum","147","","",""
"Min 1x pro Woche","1990","(Fach-)Abitur","Staedtischer Raum","360","0.551586140895566","0.513055672348719","0.590116609442414"
"Min 1x pro Woche","1990","(Fach-)Abitur","Laendlicher Raum","46","0.385882421795343","0.293210446423113","0.478554397167573"
"Min 1x pro Woche","1990","AkademikerIn","Staedtischer Raum","262","","",""
"Min 1x pro Woche","1990","AkademikerIn","Laendlicher Raum","42","0.380212820535723","0.289496292319137","0.470929348752308"
"Min 1x pro Monat","1990","(noch) kein Abschluss","Staedtischer Raum","136","","",""
"Min 1x pro Monat","1990","(noch) kein Abschluss","Laendlicher Raum","19","","",""
"Min 1x pro Monat","1990","Hauptschule","Staedtischer Raum","1157","","",""
"Min 1x pro Monat","1990","Hauptschule","Laendlicher Raum","412","0.336415097882287","0.310222470071684","0.362607725692891"
"Min 1x pro Monat","1990","Realschule","Staedtischer Raum","368","0.292345330469074","0.26724096106565","0.317449699872498"
"Min 1x pro Monat","1990","Realschule","Laendlicher Raum","120","","",""
"Min 1x pro Monat","1990","(Fach-)Abitur","Staedtischer Raum","147","","",""
"Min 1x pro Monat","1990","(Fach-)Abitur","Laendlicher Raum","28","","",""
"Min 1x pro Monat","1990","AkademikerIn","Staedtischer Raum","201","","",""
"Min 1x pro Monat","1990","AkademikerIn","Laendlicher Raum","41","0.368474156482817","0.278327249788775","0.458621063176859"
"Seltener","1990","(noch) kein Abschluss","Staedtischer Raum","71","0.0981132133341039","0.0765196612372827","0.119706765430925"
"Seltener","1990","(noch) kein Abschluss","Laendlicher Raum","20","","",""
"Seltener","1990","Hauptschule","Staedtischer Raum","869","0.242675833988575","0.229521399497393","0.255830268479757"
"Seltener","1990","Hauptschule","Laendlicher Raum","306","0.264729310018984","0.24027149109006","0.289187128947908"
"Seltener","1990","Realschule","Staedtischer Raum","224","","",""
"Seltener","1990","Realschule","Laendlicher Raum","78","0.237291872036551","0.1932849002056","0.281298843867502"
"Seltener","1990","(Fach-)Abitur","Staedtischer Raum","80","0.118058876896875","0.0930596128073388","0.143058140986411"
"Seltener","1990","(Fach-)Abitur","Laendlicher Raum","20","","",""
"Seltener","1990","AkademikerIn","Staedtischer Raum","99","0.156694898121854","0.127288026036093","0.186101770207616"
"Seltener","1990","AkademikerIn","Laendlicher Raum","21","","",""
"Nie","1990","(noch) kein Abschluss","Staedtischer Raum","22","","",""
"Nie","1990","(noch) kein Abschluss","Laendlicher Raum","5","0.0421283635708727","0.00509016796633604","0.0791665591754094"
"Nie","1990","Hauptschule","Staedtischer Raum","141","","",""
"Nie","1990","Hauptschule","Laendlicher Raum","36","0.0369306119931268","0.0264758265104762","0.0473853974757774"
"Nie","1990","Realschule","Staedtischer Raum","17","","",""
"Nie","1990","Realschule","Laendlicher Raum","5","0.0198127371014126","0.00539730607321286","0.0342281681296123"
"Nie","1990","(Fach-)Abitur","Staedtischer Raum","12","","",""
"Nie","1990","(Fach-)Abitur","Laendlicher Raum","2","","",""
"Nie","1990","AkademikerIn","Staedtischer Raum","5","0.00953213427183322","0.0016717403514995","0.0173925281921669"
"Nie","1990","AkademikerIn","Laendlicher Raum","3","","",""
"Taeglich","1991","(noch) kein Abschluss","Staedtischer Raum","","","",""
"Taeglich","1991","(noch) kein Abschluss","Laendlicher Raum","","","",""
"Taeglich","1991","Hauptschule","Staedtischer Raum","","","",""
"Taeglich","1991","Hauptschule","Laendlicher Raum","","","",""
"Taeglich","1991","Realschule","Staedtischer Raum","","","",""
"Taeglich","1991","Realschule","Laendlicher Raum","","","",""
"Taeglich","1991","(Fach-)Abitur","Staedtischer Raum","","","",""
"Taeglich","1991","(Fach-)Abitur","Laendlicher Raum","","","",""
"Taeglich","1991","AkademikerIn","Staedtischer Raum","","","",""
"Taeglich","1991","AkademikerIn","Laendlicher Raum","","","",""
"Min 1x pro Woche","1991","(noch) kein Abschluss","Staedtischer Raum","","","",""
"Min 1x pro Woche","1991","(noch) kein Abschluss","Laendlicher Raum","","","",""
"Min 1x pro Woche","1991","Hauptschule","Staedtischer Raum","","","",""
"Min 1x pro Woche","1991","Hauptschule","Laendlicher Raum","","","",""
"Min 1x pro Woche","1991","Realschule","Staedtischer Raum","","","",""
"Min 1x pro Woche","1991","Realschule","Laendlicher Raum","","","",""
"Min 1x pro Woche","1991","(Fach-)Abitur","Staedtischer Raum","","","",""
"Min 1x pro Woche","1991","(Fach-)Abitur","Laendlicher Raum","","","",""
"Min 1x pro Woche","1991","AkademikerIn","Staedtischer Raum","","","",""
"Min 1x pro Woche","1991","AkademikerIn","Laendlicher Raum","","","",""
"Min 1x pro Monat","1991","(noch) kein Abschluss","Staedtischer Raum","","","",""
"Min 1x pro Monat","1991","(noch) kein Abschluss","Laendlicher Raum","","","",""
"Min 1x pro Monat","1991","Hauptschule","Staedtischer Raum","","","",""
"Min 1x pro Monat","1991","Hauptschule","Laendlicher Raum","","","",""
"Min 1x pro Monat","1991","Realschule","Staedtischer Raum","","","",""
"Min 1x pro Monat","1991","Realschule","Laendlicher Raum","","","",""
"Min 1x pro Monat","1991","(Fach-)Abitur","Staedtischer Raum","","","",""
"Min 1x pro Monat","1991","(Fach-)Abitur","Laendlicher Raum","","","",""
"Min 1x pro Monat","1991","AkademikerIn","Staedtischer Raum","","","",""
"Min 1x pro Monat","1991","AkademikerIn","Laendlicher Raum","","","",""
"Seltener","1991","(noch) kein Abschluss","Staedtischer Raum","","","",""
"Seltener","1991","(noch) kein Abschluss","Laendlicher Raum","","","",""
"Seltener","1991","Hauptschule","Staedtischer Raum","","","",""
"Seltener","1991","Hauptschule","Laendlicher Raum","","","",""
"Seltener","1991","Realschule","Staedtischer Raum","","","",""
"Seltener","1991","Realschule","Laendlicher Raum","","","",""
"Seltener","1991","(Fach-)Abitur","Staedtischer Raum","","","",""
"Seltener","1991","(Fach-)Abitur","Laendlicher Raum","","","",""
"Seltener","1991","AkademikerIn","Staedtischer Raum","","","",""
"Seltener","1991","AkademikerIn","Laendlicher Raum","","","",""
"Nie","1991","(noch) kein Abschluss","Staedtischer Raum","","","",""
"Nie","1991","(noch) kein Abschluss","Laendlicher Raum","","","",""
"Nie","1991","Hauptschule","Staedtischer Raum","","","",""
"Nie","1991","Hauptschule","Laendlicher Raum","","","",""
"Nie","1991","Realschule","Staedtischer Raum","","","",""
"Nie","1991","Realschule","Laendlicher Raum","","","",""
"Nie","1991","(Fach-)Abitur","Staedtischer Raum","","","",""
"Nie","1991","(Fach-)Abitur","Laendlicher Raum","","","",""
"Nie","1991","AkademikerIn","Staedtischer Raum","","","",""
"Nie","1991","AkademikerIn","Laendlicher Raum","","","",""
"Taeglich","1992","(noch) kein Abschluss","Staedtischer Raum","","","",""
"Taeglich","1992","(noch) kein Abschluss","Laendlicher Raum","","","",""
"Taeglich","1992","Hauptschule","Staedtischer Raum","","","",""
"Taeglich","1992","Hauptschule","Laendlicher Raum","","","",""
"Taeglich","1992","Realschule","Staedtischer Raum","","","",""
"Taeglich","1992","Realschule","Laendlicher Raum","","","",""
"Taeglich","1992","(Fach-)Abitur","Staedtischer Raum","","","",""
"Taeglich","1992","(Fach-)Abitur","Laendlicher Raum","","","",""
"Taeglich","1992","AkademikerIn","Staedtischer Raum","","","",""
"Taeglich","1992","AkademikerIn","Laendlicher Raum","","","",""
"Min 1x pro Woche","1992","(noch) kein Abschluss","Staedtischer Raum","","","",""
"Min 1x pro Woche","1992","(noch) kein Abschluss","Laendlicher Raum","","","",""
"Min 1x pro Woche","1992","Hauptschule","Staedtischer Raum","","","",""
"Min 1x pro Woche","1992","Hauptschule","Laendlicher Raum","","","",""
"Min 1x pro Woche","1992","Realschule","Staedtischer Raum","","","",""
"Min 1x pro Woche","1992","Realschule","Laendlicher Raum","","","",""
"Min 1x pro Woche","1992","(Fach-)Abitur","Staedtischer Raum","","","",""
"Min 1x pro Woche","1992","(Fach-)Abitur","Laendlicher Raum","","","",""
"Min 1x pro Woche","1992","AkademikerIn","Staedtischer Raum","","","",""
"Min 1x pro Woche","1992","AkademikerIn","Laendlicher Raum","","","",""
"Min 1x pro Monat","1992","(noch) kein Abschluss","Staedtischer Raum","","","",""
"Min 1x pro Monat","1992","(noch) kein Abschluss","Laendlicher Raum","","","",""
"Min 1x pro Monat","1992","Hauptschule","Staedtischer Raum","","","",""
"Min 1x pro Monat","1992","Hauptschule","Laendlicher Raum","","","",""
"Min 1x pro Monat","1992","Realschule","Staedtischer Raum","","","",""
"Min 1x pro Monat","1992","Realschule","Laendlicher Raum","","","",""
