"year","regtyp","mean","median","n","lower_confidence_mean","upper_confidence_mean"
"1995","Laendlicher Raum","1071.34","964.78","6204","1058.83","1083.85"
"1995","Staedtischer Raum","1201.23","1066.81","11508","1190.19","1212.27"
"1996","Laendlicher Raum","1091.75","1020.86","6074","1078.3","1105.2"
"1996","Staedtischer Raum","1232.27","1099.47","11265","1221.44","1243.1"
"1997","Laendlicher Raum","1094.67","997.55","5973","1082.17","1107.17"
"1997","Staedtischer Raum","1241.65","1135.56","11033","1230.89","1252.41"
"1998","Laendlicher Raum","1101.88","1022.45","6619","1090.97","1112.79"
"1998","Staedtischer Raum","1243.49","1124.9","12137","1233.51","1253.47"
"1999","Laendlicher Raum","1148.44","1027.17","6371","1136.4","1160.48"
"1999","Staedtischer Raum","1298.45","1181.5","11617","1287.76","1309.14"
"2000","Laendlicher Raum","1169.24","1049.56","11149","1159.7","1178.78"
"2000","Staedtischer Raum","1343.66","1193.17","20658","1334.4","1352.92"
"2001","Laendlicher Raum","1202.47","1094.52","9976","1191.72","1213.22"
"2001","Staedtischer Raum","1366.68","1226.36","18752","1357.13","1376.23"
"2002","Laendlicher Raum","1219.5","1110.99","10123","1204.73","1234.27"
"2002","Staedtischer Raum","1415.3","1238.05","19993","1395.27","1435.33"
"2003","Laendlicher Raum","1247.14","1140.33","9640","1233.01","1261.27"
"2003","Staedtischer Raum","1436.29","1249","19152","1418.19","1454.39"
"2004","Laendlicher Raum","1269.32","1145.58","9366","1243.33","1295.31"
"2004","Staedtischer Raum","1439.62","1248.5","18565","1422.12","1457.12"
"2005","Laendlicher Raum","1270.3","1142.43","8954","1254.52","1286.08"
"2005","Staedtischer Raum","1447.64","1279","17752","1431.99","1463.29"
"2006","Laendlicher Raum","1286.64","1153.59","9853","1271.06","1302.22"
"2006","Staedtischer Raum","1464.51","1285.71","18815","1449.33","1479.69"
"2007","Laendlicher Raum","1298.58","1179.29","9161","1283.61","1313.55"
"2007","Staedtischer Raum","1510.7","1303.96","17454","1493.72","1527.68"
"2008","Laendlicher Raum","1347.69","1207.93","8563","1321.45","1373.93"
"2008","Staedtischer Raum","1532.24","1333","16314","1515.4","1549.08"
"2009","Laendlicher Raum","1370.08","1249.33","8182","1354.03","1386.13"
"2009","Staedtischer Raum","1582.11","1379.66","15039","1564.39","1599.83"
"2010","Laendlicher Raum","1419.02","1298.15","13142","1407.07","1430.97"
"2010","Staedtischer Raum","1642.01","1428.13","24326","1628.94","1655.08"
"2011","Laendlicher Raum","1446.34","1333.33","15821","1435.05","1457.63"
"2011","Staedtischer Raum","1657.71","1449.67","28180","1645.49","1669.93"
"2012","Laendlicher Raum","1495.62","1333.33","15454","1480.87","1510.37"
"2012","Staedtischer Raum","1710.55","1496.67","26951","1698.13","1722.97"
"2013","Laendlicher Raum","1510.15","1368.25","16151","1498.61","1521.69"
"2013","Staedtischer Raum","1730.25","1499.52","31513","1718.33","1742.17"
"2014","Laendlicher Raum","1552.47","1397","14364","1540.14","1564.8"
"2014","Staedtischer Raum","1786.73","1549.62","27143","1773.1","1800.36"
"2015","Laendlicher Raum","1604.76","1460.77","14124","1591.89","1617.63"
"2015","Staedtischer Raum","1830.83","1597.86","26926","1817.02","1844.64"
"2016","Laendlicher Raum","1659.79","1498.67","15361","1646.2","1673.38"
"2016","Staedtischer Raum","1859.33","1665.33","29727","1846.15","1872.51"
"2017","Laendlicher Raum","1714.87","1573.62","17162","1701.57","1728.17"
"2017","Staedtischer Raum","1956.42","1666.67","32991","1899.12","2013.72"
"2018","Laendlicher Raum","1774.91","1666.33","15974","1761.66","1788.16"
"2018","Staedtischer Raum","1986.16","1777.78","32169","1972.42","1999.9"
"2019","Laendlicher Raum","1859.63","1666.67","15955","1829.34","1889.92"
"2019","Staedtischer Raum","2097.44","1833.33","31907","1987.54","2207.34"
"2020","Laendlicher Raum","1899.67","1750","15663","1864.3","1935.04"
"2020","Staedtischer Raum","2125.46","1898.28","34268","2096.1","2154.82"
