"year","hhtyp","regtyp","mean","median","n","lower_confidence","upper_confidence"
"2000","Paar mit Kind(ern)","Staedtischer Raum","1239.38","1133.15","11112","1229.09","1249.67"
"2000","Sonstige","Laendlicher Raum","1003.88","1022.45","461","967.56","1040.2"
"2000","Sonstige","Staedtischer Raum","1216.92","1138.21","737","1180.63","1253.21"
"2001","(Ehe-)Paar ohne Kind(er)","Laendlicher Raum","1377.68","1250","2436","1354.96","1400.4"
"2001","(Ehe-)Paar ohne Kind(er)","Staedtischer Raum","1591.92","1411.33","4742","1569.06","1614.78"
"2001","1-Pers.- Haushalt","Laendlicher Raum","1190.98","1038","870","1146.26","1235.7"
"2001","1-Pers.- Haushalt","Staedtischer Raum","1392.29","1274.5","2056","1362.62","1421.96"
"2001","Alleinerziehende","Laendlicher Raum","982.07","942.32","613","949.15","1014.99"
"2001","Alleinerziehende","Staedtischer Raum","1016.8","941.39","1148","987.94","1045.66"
"2001","Paar mit Kind(ern)","Laendlicher Raum","1151.75","1064.3","5700","1138.38","1165.12"
"2001","Paar mit Kind(ern)","Staedtischer Raum","1279.86","1150.46","10098","1268.62","1291.1"
"2001","Sonstige","Laendlicher Raum","1022.83","1022.58","357","979.52","1066.14"
"2001","Sonstige","Staedtischer Raum","1210.84","1060.13","708","1171.04","1250.64"
"2002","(Ehe-)Paar ohne Kind(er)","Laendlicher Raum","1391.06","1265","2536","1355.59","1426.53"
"2002","(Ehe-)Paar ohne Kind(er)","Staedtischer Raum","1669.55","1463","5268","1620.01","1719.09"
"2002","1-Pers.- Haushalt","Laendlicher Raum","1207.86","1048.5","864","1152.81","1262.91"
"2002","1-Pers.- Haushalt","Staedtischer Raum","1471.15","1295","2074","1380.72","1561.58"
"2002","Alleinerziehende","Laendlicher Raum","1014.4","870.83","644","965.78","1063.02"
"2002","Alleinerziehende","Staedtischer Raum","1023.49","966.46","1126","984.2","1062.78"
"2002","Paar mit Kind(ern)","Laendlicher Raum","1168.84","1086.09","5726","1151.46","1186.22"
"2002","Paar mit Kind(ern)","Staedtischer Raum","1308.07","1159.4","10860","1287.82","1328.32"
"2002","Sonstige","Laendlicher Raum","1071.01","1013.7","353","1008.74","1133.28"
"2002","Sonstige","Staedtischer Raum","1202.33","991.61","665","1137.44","1267.22"
"2003","(Ehe-)Paar ohne Kind(er)","Laendlicher Raum","1449.97","1332","2532","1418.06","1481.88"
"2003","(Ehe-)Paar ohne Kind(er)","Staedtischer Raum","1680.52","1461.67","5104","1641.74","1719.3"
"2003","1-Pers.- Haushalt","Laendlicher Raum","1213.8","1084","854","1158.6","1269"
"2003","1-Pers.- Haushalt","Staedtischer Raum","1472.67","1297","2065","1402.18","1543.16"
"2003","Alleinerziehende","Laendlicher Raum","970.98","877.94","603","935.27","1006.69"
"2003","Alleinerziehende","Staedtischer Raum","1032.25","925.71","1139","994.98","1069.52"
"2003","Paar mit Kind(ern)","Laendlicher Raum","1196.98","1116.77","5348","1179.92","1214.04"
"2003","Paar mit Kind(ern)","Staedtischer Raum","1342.08","1188.99","10278","1319.64","1364.52"
"2003","Sonstige","Laendlicher Raum","976.03","966.67","303","922.59","1029.47"
"2003","Sonstige","Staedtischer Raum","1324.04","1083.48","566","1259.67","1388.41"
"2004","(Ehe-)Paar ohne Kind(er)","Laendlicher Raum","1500.91","1331","2500","1420.64","1581.18"
"2004","(Ehe-)Paar ohne Kind(er)","Staedtischer Raum","1693.21","1463.33","5138","1654.17","1732.25"
"2004","1-Pers.- Haushalt","Laendlicher Raum","1239.05","1080.5","857","1185.63","1292.47"
"2004","1-Pers.- Haushalt","Staedtischer Raum","1479.24","1295","2004","1402.09","1556.39"
"2004","Alleinerziehende","Laendlicher Raum","1017.65","895.65","568","975.58","1059.72"
"2004","Alleinerziehende","Staedtischer Raum","1009.67","897.37","1118","973.83","1045.51"
"2004","Paar mit Kind(ern)","Laendlicher Raum","1190.05","1109.13","5158","1166.23","1213.87"
"2004","Paar mit Kind(ern)","Staedtischer Raum","1338.7","1186.9","9789","1319.92","1357.48"
"2004","Sonstige","Laendlicher Raum","1062.87","955.77","283","1003.09","1122.65"
"2004","Sonstige","Staedtischer Raum","1357.83","1121.67","516","1270.34","1445.32"
"2005","(Ehe-)Paar ohne Kind(er)","Laendlicher Raum","1487.51","1326.67","2422","1451.29","1523.73"
"2005","(Ehe-)Paar ohne Kind(er)","Staedtischer Raum","1714.53","1484.33","4962","1676.24","1752.82"
"2005","1-Pers.- Haushalt","Laendlicher Raum","1256.99","1098","870","1205.65","1308.33"
"2005","1-Pers.- Haushalt","Staedtischer Raum","1494.84","1326","2043","1441.38","1548.3"
"2005","Alleinerziehende","Laendlicher Raum","948.38","852.78","601","910.16","986.6"
"2005","Alleinerziehende","Staedtischer Raum","1006.13","910","1135","974.3","1037.96"
"2005","Paar mit Kind(ern)","Laendlicher Raum","1210.72","1099.52","4782","1191.33","1230.11"
"2005","Paar mit Kind(ern)","Staedtischer Raum","1343.11","1215.48","9142","1326.64","1359.58"
"2005","Sonstige","Laendlicher Raum","1004.7","1062.8","279","953.77","1055.63"
"2005","Sonstige","Staedtischer Raum","1283.66","1093.48","470","1215.14","1352.18"
"2006","(Ehe-)Paar ohne Kind(er)","Laendlicher Raum","1454.74","1332","2762","1423.41","1486.07"
"2006","(Ehe-)Paar ohne Kind(er)","Staedtischer Raum","1709.49","1465.67","5554","1674.8","1744.18"
"2006","1-Pers.- Haushalt","Laendlicher Raum","1249.76","1099","1037","1199.98","1299.54"
"2006","1-Pers.- Haushalt","Staedtischer Raum","1498.41","1295","2263","1448.86","1547.96"
"2006","Alleinerziehende","Laendlicher Raum","962.93","833.33","702","925.62","1000.24"
"2006","Alleinerziehende","Staedtischer Raum","1030.31","931.63","1222","995.47","1065.15"
"2006","Paar mit Kind(ern)","Laendlicher Raum","1268.14","1141.98","5048","1246.72","1289.56"
"2006","Paar mit Kind(ern)","Staedtischer Raum","1372.08","1216.96","9340","1355.06","1389.1"
"2006","Sonstige","Laendlicher Raum","1040.67","1035.9","304","989.36","1091.98"
"2006","Sonstige","Staedtischer Raum","1215.47","1068.13","436","1148.02","1282.92"
