"year","regtyp","sampreg","mean","median","n","lower_confidence_mean","upper_confidence_mean"
"1995","Laendlicher Raum","Ostdeutschland","926.72","885.5","3283","915.29","938.15"
"1995","Laendlicher Raum","Westdeutschland","1161.32","1022.58","2921","1138.53","1184.11"
"1995","Staedtischer Raum","Ostdeutschland","996.96","920.25","1578","975.68","1018.24"
"1995","Staedtischer Raum","Westdeutschland","1222.42","1089.69","9930","1210.13","1234.71"
"1996","Laendlicher Raum","Ostdeutschland","971.88","933.24","3195","959.93","983.83"
"1996","Laendlicher Raum","Westdeutschland","1164.41","1043.82","2879","1139.68","1189.14"
"1996","Staedtischer Raum","Ostdeutschland","1037.91","999.27","1602","1019.07","1056.75"
"1996","Staedtischer Raum","Westdeutschland","1253.05","1124.9","9663","1240.85","1265.25"
"1997","Laendlicher Raum","Ostdeutschland","992.35","954.5","3137","978.17","1006.53"
"1997","Laendlicher Raum","Westdeutschland","1156.9","1022.58","2836","1136.14","1177.66"
"1997","Staedtischer Raum","Ostdeutschland","1051.87","1022.45","1546","1029.32","1074.42"
"1997","Staedtischer Raum","Westdeutschland","1261.45","1154.68","9487","1249.54","1273.36"
"1998","Laendlicher Raum","Ostdeutschland","997.51","947.82","3349","984.91","1010.11"
"1998","Laendlicher Raum","Westdeutschland","1166.72","1054.83","3270","1149.18","1184.26"
"1998","Staedtischer Raum","Ostdeutschland","1097.26","1022.58","1585","1075.13","1119.39"
"1998","Staedtischer Raum","Westdeutschland","1258.1","1135.56","10552","1247.15","1269.05"
"1999","Laendlicher Raum","Ostdeutschland","1052.55","1007.65","3228","1037.23","1067.87"
"1999","Laendlicher Raum","Westdeutschland","1205.9","1088","3143","1187.59","1224.21"
"1999","Staedtischer Raum","Ostdeutschland","1119.06","1022.58","1543","1096.15","1141.97"
"1999","Staedtischer Raum","Westdeutschland","1316.14","1193.17","10074","1304.38","1327.9"
"2000","Laendlicher Raum","Ostdeutschland","1059.1","1008.67","5019","1047.7","1070.5"
"2000","Laendlicher Raum","Westdeutschland","1237.3","1110.65","6130","1222.92","1251.68"
"2000","Staedtischer Raum","Ostdeutschland","1132.08","1022.89","2338","1112.59","1151.57"
"2000","Staedtischer Raum","Westdeutschland","1364.09","1215.82","18320","1354","1374.18"
"2001","Laendlicher Raum","Ostdeutschland","1096.7","1022.89","4564","1084.39","1109.01"
"2001","Laendlicher Raum","Westdeutschland","1265.9","1150.21","5412","1249.23","1282.57"
"2001","Staedtischer Raum","Ostdeutschland","1195.02","1122.33","2174","1173.95","1216.09"
"2001","Staedtischer Raum","Westdeutschland","1383.38","1227.27","16578","1372.99","1393.77"
"2002","Laendlicher Raum","Ostdeutschland","1118.06","1054.78","4521","1100.16","1135.96"
"2002","Laendlicher Raum","Westdeutschland","1279.43","1152.09","5602","1257.3","1301.56"
"2002","Staedtischer Raum","Ostdeutschland","1170.1","1106","2183","1141.41","1198.79"
"2002","Staedtischer Raum","Westdeutschland","1439.04","1248.81","17810","1416.91","1461.17"
"2003","Laendlicher Raum","Ostdeutschland","1133.71","1063.33","4413","1115.94","1151.48"
"2003","Laendlicher Raum","Westdeutschland","1316.61","1197.22","5227","1295.69","1337.53"
"2003","Staedtischer Raum","Ostdeutschland","1196.38","1131.88","2134","1166.72","1226.04"
"2003","Staedtischer Raum","Westdeutschland","1458.74","1265.83","17018","1438.79","1478.69"
"2004","Laendlicher Raum","Ostdeutschland","1139.62","1065","4261","1122.25","1156.99"
"2004","Laendlicher Raum","Westdeutschland","1345.94","1198.5","5105","1300.77","1391.11"
"2004","Staedtischer Raum","Ostdeutschland","1174.66","1110.32","2117","1145.17","1204.15"
"2004","Staedtischer Raum","Westdeutschland","1465.38","1265.83","16448","1446.08","1484.68"
"2005","Laendlicher Raum","Ostdeutschland","1139.14","1028.63","4100","1119.81","1158.47"
"2005","Laendlicher Raum","Westdeutschland","1346.63","1198.5","4854","1322.98","1370.28"
"2005","Staedtischer Raum","Ostdeutschland","1195.93","1133.17","2051","1165.92","1225.94"
"2005","Staedtischer Raum","Westdeutschland","1472.8","1298.15","15701","1455.64","1489.96"
"2006","Laendlicher Raum","Ostdeutschland","1145.4","1065.33","4391","1127.33","1163.47"
"2006","Laendlicher Raum","Westdeutschland","1367.43","1197.5","5462","1343.72","1391.14"
"2006","Staedtischer Raum","Ostdeutschland","1195.46","1132.33","2149","1165.97","1224.95"
"2006","Staedtischer Raum","Westdeutschland","1490.76","1299.33","16666","1474.15","1507.37"
"2007","Laendlicher Raum","Ostdeutschland","1171.69","1097.62","4101","1153.21","1190.17"
"2007","Laendlicher Raum","Westdeutschland","1371.47","1195.24","5060","1349.21","1393.73"
"2007","Staedtischer Raum","Ostdeutschland","1242.92","1148.33","2022","1208.32","1277.52"
"2007","Staedtischer Raum","Westdeutschland","1536.73","1333.33","15432","1518.16","1555.3"
"2008","Laendlicher Raum","Ostdeutschland","1182.62","1110.56","3867","1163.06","1202.18"
"2008","Laendlicher Raum","Westdeutschland","1440.51","1282.86","4696","1395.72","1485.3"
"2008","Staedtischer Raum","Ostdeutschland","1272.21","1197.33","1954","1239.48","1304.94"
"2008","Staedtischer Raum","Westdeutschland","1557.85","1331.67","14360","1539.34","1576.36"
"2009","Laendlicher Raum","Ostdeutschland","1223.14","1135.31","3722","1202.35","1243.93"
"2009","Laendlicher Raum","Westdeutschland","1455.07","1331.67","4460","1431.67","1478.47"
"2009","Staedtischer Raum","Ostdeutschland","1326.32","1198.89","1860","1292.56","1360.08"
"2009","Staedtischer Raum","Westdeutschland","1607.8","1398","13179","1588.29","1627.31"
"2010","Laendlicher Raum","Ostdeutschland","1274.91","1199.33","5197","1257.91","1291.91"
"2010","Laendlicher Raum","Westdeutschland","1497.94","1333.33","7945","1481.74","1514.14"
"2010","Staedtischer Raum","Ostdeutschland","1375.5","1271.12","2733","1347.08","1403.92"
"2010","Staedtischer Raum","Westdeutschland","1667.87","1439.67","21593","1653.65","1682.09"
"2011","Laendlicher Raum","Ostdeutschland","1310.2","1199.33","5936","1293.22","1327.18"
"2011","Laendlicher Raum","Westdeutschland","1517.78","1378.89","9885","1502.99","1532.57"
"2011","Staedtischer Raum","Ostdeutschland","1377.59","1299","3210","1354.52","1400.66"
"2011","Staedtischer Raum","Westdeutschland","1684.99","1466.33","24970","1671.57","1698.41"
"2012","Laendlicher Raum","Ostdeutschland","1352.12","1248.5","5795","1334.39","1369.85"
"2012","Laendlicher Raum","Westdeutschland","1569.54","1401.92","9659","1548.59","1590.49"
"2012","Staedtischer Raum","Ostdeutschland","1445.13","1331.67","3075","1418.11","1472.15"
"2012","Staedtischer Raum","Westdeutschland","1735.85","1496.67","23876","1722.32","1749.38"
"2013","Laendlicher Raum","Ostdeutschland","1383.05","1291.67","5702","1365","1401.1"
"2013","Laendlicher Raum","Westdeutschland","1576.89","1427.62","10449","1562.1","1591.68"
"2013","Staedtischer Raum","Ostdeutschland","1473.32","1347.58","3134","1447.01","1499.63"
"2013","Staedtischer Raum","Westdeutschland","1753.98","1499.52","28379","1741.1","1766.86"
"2014","Laendlicher Raum","Ostdeutschland","1420.26","1318.68","5192","1401.25","1439.27"
"2014","Laendlicher Raum","Westdeutschland","1621.37","1479.13","9172","1605.4","1637.34"
"2014","Staedtischer Raum","Ostdeutschland","1521.42","1395.65","2830","1493.81","1549.03"
"2014","Staedtischer Raum","Westdeutschland","1812.02","1579.5","24313","1797.18","1826.86"
"2015","Laendlicher Raum","Ostdeutschland","1462.56","1333.33","4945","1442","1483.12"
"2015","Laendlicher Raum","Westdeutschland","1677.46","1495","9179","1661.1","1693.82"
"2015","Staedtischer Raum","Ostdeutschland","1583.63","1428.57","2778","1553.35","1613.91"
"2015","Staedtischer Raum","Westdeutschland","1854.91","1620.91","24148","1839.93","1869.89"
"2016","Laendlicher Raum","Ostdeutschland","1504.9","1395.65","5574","1484.5","1525.3"
"2016","Laendlicher Raum","Westdeutschland","1739.52","1582.33","9787","1721.7","1757.34"
"2016","Staedtischer Raum","Ostdeutschland","1586.21","1462.5","3076","1555.86","1616.56"
"2016","Staedtischer Raum","Westdeutschland","1885.2","1665.33","26651","1870.93","1899.47"
"2017","Laendlicher Raum","Ostdeutschland","1545.01","1398","5952","1524.53","1565.49"
"2017","Laendlicher Raum","Westdeutschland","1802.33","1664.33","11210","1785.14","1819.52"
"2017","Staedtischer Raum","Ostdeutschland","1639.93","1514.24","3426","1611.17","1668.69"
"2017","Staedtischer Raum","Westdeutschland","1985.95","1698.48","29565","1922.1","2049.8"
"2018","Laendlicher Raum","Ostdeutschland","1600.1","1495","5782","1579.37","1620.83"
"2018","Laendlicher Raum","Westdeutschland","1865.82","1717.14","10192","1848.75","1882.89"
"2018","Staedtischer Raum","Ostdeutschland","1701.25","1591.67","3388","1674","1728.5"
"2018","Staedtischer Raum","Westdeutschland","2013.06","1796.55","28781","1998.06","2028.06"
"2019","Laendlicher Raum","Ostdeutschland","1684.45","1568.33","5970","1649.81","1719.09"
"2019","Laendlicher Raum","Westdeutschland","1950.47","1750","9985","1906.73","1994.21"
"2019","Staedtischer Raum","Ostdeutschland","1825.67","1696.15","3382","1748.45","1902.89"
"2019","Staedtischer Raum","Westdeutschland","2122.45","1848.5","28525","1999.87","2245.03"
"2020","Laendlicher Raum","Ostdeutschland","1743.82","1663.33","5607","1685.2","1802.44"
"2020","Laendlicher Raum","Westdeutschland","1978.58","1797.5","10056","1934.23","2022.93"
"2020","Staedtischer Raum","Ostdeutschland","1888.58","1749.67","3533","1815.74","1961.42"
"2020","Staedtischer Raum","Westdeutschland","2147.74","1903.81","30735","2116.09","2179.39"
