"year","hhtyp","sampreg","mean","median","n","percentile_10","percentile_25","percentile_75","percentile_90","percentile_99","lower_confidence_mean","upper_confidence_mean","minimum","maximum","lower_confidence_median","upper_confidence_median"
"1995","(Ehe-)Paar ohne Kind(er)","Ostdeutschland","1081.45","1019.33","994","682","852","1227.33","1534","3398.67","1054.91","1107.99","271.33","5624","988.666687011719","1022.66668701172"
"1995","(Ehe-)Paar ohne Kind(er)","Westdeutschland","","","","","","","","","","","","","",""
"1995","1-Pers.- Haushalt","Ostdeutschland","851.59","817.5","325","511","643","1023","1176","1882","818.23","884.95","72","2147","767","869"
"1995","1-Pers.- Haushalt","Westdeutschland","","","","","","","","","","","","","",""
"1995","Alleinerziehende","Ostdeutschland","","","","","","","","","","","","","",""
"1995","Alleinerziehende","Westdeutschland","994.81","849.44","665","441.36","600","1193.33","1704.29","2556.5","925.76","1063.86","212.67","15338.67","813.84619140625","879.599975585938"
"1995","Paar mit Kind(ern)","Ostdeutschland","","","","","","","","","","","","","",""
"1995","Paar mit Kind(ern)","Westdeutschland","1111.37","1022.39","7540","613.6","779.05","1329.2","1704.44","2653.2","1100.45","1122.29","158.1","8034.76","949.642883300781","973.8095703125"
"1995","Sonstige","Ostdeutschland","","","","","","","","","","","","","",""
"1995","Sonstige","Westdeutschland","1051.26","1009.09","907","579.33","713.49","1278","1551.2","3068","1019.93","1082.59","311.71","4446.09","983.076965332031","1022.5"
"1996","(Ehe-)Paar ohne Kind(er)","Ostdeutschland","","","","","","","","","","","","","",""
"1996","(Ehe-)Paar ohne Kind(er)","Westdeutschland","","","","","","","","","","","","","",""
"1996","1-Pers.- Haushalt","Ostdeutschland","931.42","856.5","344","530","682","1111","1329","3068","892.93","969.91","205","3068","818","920"
"1996","1-Pers.- Haushalt","Westdeutschland","","","","","","","","","","","","","",""
"1996","Alleinerziehende","Ostdeutschland","","","","","","","","","","","","","",""
"1996","Alleinerziehende","Westdeutschland","1007.41","881","699","460","640.56","1227.33","1704","2950","970.39","1044.43","170.67","4772","843.5","889.130432128906"
"1996","Paar mit Kind(ern)","Ostdeutschland","","","","","","","","","","","","","",""
"1996","Paar mit Kind(ern)","Westdeutschland","1168.07","1060.26","7329","657.14","844.78","1363.33","1704.44","2940","1155.88","1180.26","119.33","12782.5","994.444458007812","1022.38098144531"
"1996","Sonstige","Ostdeutschland","","","","","","","","","","","","","",""
"1996","Sonstige","Westdeutschland","1076.77","1009.7","813","494.33","730.36","1278.08","1704.44","2667.83","1041.28","1112.26","165","4545","912.857177734375","1022.40002441406"
"1997","(Ehe-)Paar ohne Kind(er)","Ostdeutschland","","","","","","","","","","","","","",""
