"year","hhtyp","mean","median","n","percentile_10","percentile_25","percentile_75","percentile_90","percentile_99","lower_confidence_mean","upper_confidence_mean","minimum","maximum","lower_confidence_median","upper_confidence_median"
"1995","(Ehe-)Paar ohne Kind(er)","1380.98","1192.67","3654","716","937.33","1636","2045.33","4056","1358.57","1403.39","163.33","11930","1176","1193.33337402344"
"1995","1-Pers.- Haushalt","1181.77","1020.5","1404","552","767","1380","1882","3579","1141.53","1222.01","72","14061","1023","1023"
"1995","Alleinerziehende","966.44","842.75","942","444.21","590","1156.15","1614.74","2556.5","914.33","1018.55","212.67","15338.67","786.923095703125","852"
"1995","Paar mit Kind(ern)","1073.29","983.44","10523","590","767","1278","1661.5","2556.67","1064.73","1081.85","158.1","8034.76","925.238159179688","946"
"1995","Sonstige","1045.14","999.37","1189","584.29","716","1278","1551.2","2667.83","1018.76","1071.52","311.71","4446.09","971.5","1021.11114501953"
"1996","(Ehe-)Paar ohne Kind(er)","1366.35","1216.33","3682","716","954.67","1636","2178","3408.67","1343.43","1389.27","204.67","11930","1193.33337402344","1193.33337402344"
"1996","1-Pers.- Haushalt","1196.35","1047","1433","562","767","1432","2045","3221","1160.42","1232.28","153","10226","1023","1069"
"1996","Alleinerziehende","979.21","852.15","959","472.31","640.56","1201.5","1636","2950","949.85","1008.57","170.67","4772","817.692321777344","852.222229003906"
"1996","Paar mit Kind(ern)","1131.31","1022.5","10157","639","818","1314.76","1697.69","2840.56","1121.8","1140.82","98.46","12782.5","973.8095703125","994.444458007812"
"1996","Sonstige","1053.08","994.31","1108","495.76","710","1278","1643.57","2452.22","1024.75","1081.41","165","4545","920","994.444458007812"
"1997","(Ehe-)Paar ohne Kind(er)","1385.01","1256","3758","784","988.67","1704","2045.33","3579.33","1364.35","1405.67","221.33","13634.67","1193.33337402344","1227.33337402344"
"1997","1-Pers.- Haushalt","1204.35","1070.5","1402","562","787","1432","1943","3221","1167.96","1240.74","153","11248","1023","1074"
"1997","Alleinerziehende","983.25","879.25","967","511.33","639.23","1227.33","1661.5","2352","954.1","1012.4","134.74","4326.15","833.75","895"
"1997","Paar mit Kind(ern)","1133.23","1022.5","9806","642.61","818","1335","1704.44","2840.56","1123.64","1142.82","204.67","8129.5","979.999938964844","998.095275878906"
"1997","Sonstige","1067.29","977.29","1074","639","821.79","1278","1562.22","2414.44","1042.52","1092.06","245.6","3834.5","940.799987792969","997"
"1998","(Ehe-)Paar ohne Kind(er)","1390.24","1260.33","4358","750","988.67","1704","2113.33","3408.67","1372.45","1408.03","221.33","6817.33","1193.33337402344","1261.33337402344"
"1998","1-Pers.- Haushalt","1209.95","1072.5","1706","590","818","1432","1943","3323","1179.42","1240.48","179","7669","1023","1074"
"1998","Alleinerziehende","971.45","899.17","1105","512.31","664.5","1193.33","1527.33","2556.5","945.64","997.26","204.4","3540","852.222229003906","904.615417480469"
"1998","Paar mit Kind(ern)","1129.87","1022.72","10582","632.86","808.1","1333.91","1704.44","2684.5","1120.99","1138.75","232.78","7669.5","983.076965332031","1000.43481445312"
"1998","Sonstige","1094.31","1022.45","1005","625","793.95","1302.9","1697.6","2301","1067.33","1121.29","292.14","3834.5","1000.43481445312","1048.71789550781"
"1999","(Ehe-)Paar ohne Kind(er)","1436.87","1340.33","4312","818","1022.67","1704","2147.33","3408.67","1418.72","1455.02","170.67","7498.67","1295.33337402344","1329.33337402344"
"1999","1-Pers.- Haushalt","1256.55","1098.5","1638","614","826","1534","2045","3579","1222.47","1290.63","102","12782","1033","1106"
"1999","Alleinerziehende","974.36","899.61","1115","511.54","682","1180","1550.67","2428.5","949.7","999.02","196.92","3068","865.384643554688","920.400024414062"
"1999","Paar mit Kind(ern)","1188.73","1076.56","10257","666.96","852.22","1375.17","1789.5","3068","1179","1198.46","186.06","7101.11","1022.5","1043.19995117188"
"1999","Sonstige","1167.38","1123.28","666","656.09","858.8","1352.58","1661.5","2760.67","1134.31","1200.45","353.85","3408.67","1007.64703369141","1063.59997558594"
"2000","(Ehe-)Paar ohne Kind(er)","1496.84","1362.33","7936","818","1022.67","1704","2352","4090.67","1479.95","1513.73","238.67","17043.33","1302","1363.33337402344"
"2000","1-Pers.- Haushalt","1328.44","1153.5","3260","614","869","1534","2183","4090","1302.51","1354.37","0","12782","1125","1161"
"2000","Alleinerziehende","997.74","903.97","1911","511.33","682","1193.33","1614.74","2386","975.89","1019.59","196.92","6425.33","876.666687011719","908.888916015625"
"2000","Paar mit Kind(ern)","1201.65","1094.86","17502","681.67","858.8","1411.2","1823.04","3068","1193.93","1209.37","121.9","8521.67","1065","1084"
"2000","Sonstige","1134","1089.9","1198","562.5","843.5","1305.71","1704.44","2726.67","1107.29","1160.71","230","3408.67","1022.66668701172","1104.40002441406"
"2001","(Ehe-)Paar ohne Kind(er)","1525.16","1361.67","7178","852","1022.67","1792.67","2386","4090.67","1508.04","1542.28","204.67","15338.67","1363.33337402344","1363.33337402344"
"2001","1-Pers.- Haushalt","1336.64","1201.5","2926","633","869","1585","2199","3579","1311.69","1361.59","28","10226","1176","1207"
"2001","Alleinerziehende","1005.86","941.45","1761","511.43","682","1227.33","1534","2476.88","983.75","1027.97","216.15","6513.33","907.5","954.666687011719"
"2001","Paar mit Kind(ern)","1236.64","1124.9","15798","712.14","889.13","1431.6","1846.11","3334.35","1227.95","1245.33","140","10737","1099.5","1119.5"
"2001","Sonstige","1144.68","1022.58","1065","530.77","767","1363.33","1781.82","2860.5","1114.25","1175.11","170.56","3749.33","1022.5","1073.5"
"2002","(Ehe-)Paar ohne Kind(er)","1581.79","1365.33","7804","800","1020","1866.67","2333.33","5000","1546.05","1617.53","200","40000","1466.66662597656","1510.66662597656"
"2002","1-Pers.- Haushalt","1400.25","1199.5","2938","640","900","1601","2300","3800","1334.14","1466.36","160","65000","1200","1227"
"2002","Alleinerziehende","1020.47","944.53","1770","500","680","1269.23","1600","2500","989.83","1051.11","133.33","8333.33","937.5","1000"
"2002","Paar mit Kind(ern)","1260.59","1129.73","16586","693.55","888.89","1428.57","1900","3600","1245.96","1275.22","5","28571.43","1238.09533691406","1250"
"2002","Sonstige","1153.28","1002.98","1018","466.67","717.5","1400","1892.86","3500","1105.62","1200.94","258.06","8000","1121.21215820312","1200"
"2003","(Ehe-)Paar ohne Kind(er)","1606.3","1398.33","7636","816.67","1066.67","1933.33","2533.33","5000","1578.01","1634.59","0","33333.33","1466.66662597656","1533.33337402344"
"2003","1-Pers.- Haushalt","1402.92","1196.5","2919","644","900","1650","2300","4200","1350.27","1455.57","0","50000","1200","1244.66662597656"
"2003","Alleinerziehende","1012.79","917.71","1742","500","667.69","1260.87","1600","2533.33","985.37","1040.21","136.15","7260","906.25","966.666687011719"
"2003","Paar mit Kind(ern)","1293.48","1166.67","15626","714.29","916.67","1478.26","1923.08","3611.11","1277.53","1309.43","210","42500","1244","1250"
"2003","Sonstige","1195.96","1059.33","869","606.06","714.29","1410.4","1950","5333.33","1149.42","1242.5","225","5333.33","1140","1212.12121582031"
"2004","(Ehe-)Paar ohne Kind(er)","1631.72","1396.67","7638","806.67","1066.67","1933.33","2466.67","5333.33","1594.42","1669.02","243.33","66666","1488.66662597656","1533.33337402344"
"2004","1-Pers.- Haushalt","1413.82","1208.5","2861","650","900","1700","2300","4000","1357.25","1470.39","0","60000","1200","1250"
"2004","Alleinerziehende","1012.03","897.37","1686","511.11","692.31","1250","1538.46","2807.69","984.35","1039.71","200","7386.67","880.952392578125","933.333312988281"
"2004","Paar mit Kind(ern)","1288.5","1165.83","14947","713.57","906.25","1500","1949","3611.11","1273.64","1303.36","100","27500","1233.33337402344","1250"
"2004","Sonstige","1247.46","1032.5","799","512.82","742.42","1469.33","2000","4000","1186.59","1308.33","333.33","8695.65","1120","1200"
"2005","(Ehe-)Paar ohne Kind(er)","1641.27","1443.33","7384","833.33","1066.67","2000","2666.67","5000","1612.66","1669.88","0","23333.33","1500","1533.33337402344"
"2005","1-Pers.- Haushalt","1430.35","1269.5","2913","650","900","1750","2400","4000","1389.56","1471.14","0","30000","1216","1300"
"2005","Alleinerziehende","988.57","897.38","1736","537.5","700","1200","1533.33","2400","963.87","1013.27","222.22","5555.56","872","923.076965332031"
"2005","Paar mit Kind(ern)","1298.36","1188.99","13924","700","904.76","1500","2000","3666.67","1285.58","1311.14","85.56","10000","1250","1276"
"2005","Sonstige","1169.47","1093.48","749","528.57","785","1428.57","1866.67","3050","1121.57","1217.37","225.81","4283.33","1066.66662597656","1160"
"2006","(Ehe-)Paar ohne Kind(er)","1627.14","1397.67","8316","800","1066.67","1933.33","2666.67","5000","1601.43","1652.85","118","20000","1466.66662597656","1533.33337402344"
"2006","1-Pers.- Haushalt","1426.9","1249.5","3300","640","900","1700","2400","4200","1389.22","1464.58","0","30000","1230","1300"
"2006","Alleinerziehende","1007.24","899.75","1924","547.62","692.31","1222.22","1538.46","2700","981.22","1033.26","180","5769.23","888.888916015625","933.333312988281"
"2006","Paar mit Kind(ern)","1337.67","1193.38","14388","714.29","925","1555.56","2000","4000","1324.23","1351.11","222.22","15000","1250","1285.71423339844"
"2006","Sonstige","1140.15","1035.9","740","535.71","800","1333.33","1784","3200","1094.46","1185.84","225.81","4333.33","1090.90905761719","1166.66662597656"
"2007","(Ehe-)Paar ohne Kind(er)","1669.89","1425","7752","853.33","1066.67","2000","2666.67","5333.33","1642.12","1697.66","266.67","28444.67","1533.33337402344","1600"
"2007","1-Pers.- Haushalt","1460.19","1279","3118","650","900","1750","2500","4500","1415.41","1504.97","0","42000","1250","1300"
"2007","Alleinerziehende","1016.28","874.17","1774","538.46","722.22","1200","1533.33","3000","989.06","1043.5","250","5384.62","901.25","941.935485839844"
"2007","Paar mit Kind(ern)","1369.6","1223.61","13347","722.22","955.56","1600","2111.11","3800","1355.63","1383.57","155.56","14000","1285.71435546875","1304.34790039062"
"2007","Sonstige","1159.56","1075.96","624","471.43","722.22","1384.62","1866.67","3000","1107.82","1211.3","303.57","4553.33","1120","1200"
"2008","(Ehe-)Paar ohne Kind(er)","1717.01","1465","7468","833.33","1113.33","2000","2700","5333.33","1681.51","1752.51","200","66666","1533.33337402344","1600"
"2008","1-Pers.- Haushalt","1451","1249","2997","650","900","1800","2400","4600","1406.53","1495.47","0","40000","1250","1300"
"2008","Alleinerziehende","1023.98","924.04","1714","538.46","709.44","1233.33","1666.67","2730.77","996.74","1051.22","203.08","4900","925","961.538513183594"
"2008","Paar mit Kind(ern)","1403.92","1277.39","12161","739.13","1000","1666.67","2166.67","4000","1389.29","1418.55","239.13","17500","1312.5","1333.33337402344"
"2008","Sonstige","1277.24","1259.01","537","604.65","856.67","1600","2000","2600","1224.97","1329.51","120","4000","1200","1266.66662597656"
