year,bula_h,regtyp,hlf0186,proportion,n,N,proportion_lower_confidence,proportion_lower_confidence,proportion_upper_confidence,proportion_upper_confidence
2003,Baden-Wuerttemberg,Urban regions,Yes,0.70645,923,11529,0,0.67017,0,0.74035
2003,Baden-Wuerttemberg,Urban regions,No,0.29355,356,11529,0,0.27085,0,0.31930
2003,Baden-Wuerttemberg,Rural regions,Yes,0.70734,80,11529,0,0.60141,0,0.82337
2003,Baden-Wuerttemberg,Rural regions,No,0.29266,41,11529,0,0.23244,0,0.38531
2003,Bavaria,Urban regions,Yes,0.76044,664,11529,0,0.71801,0,0.80768
2003,Bavaria,Urban regions,No,0.23956,180,11529,0,0.21962,0,0.26356
2003,Bavaria,Rural regions,Yes,0.77936,623,11529,0,0.73992,0,0.82476
2003,Bavaria,Rural regions,No,0.22064,174,11529,0,0.19998,0,0.24149
2003,Berlin,Urban regions,Yes,0.61601,305,11529,0,0.57049,0,0.65700
2003,Berlin,Urban regions,No,0.38399,186,11529,0,0.34607,0,0.42138
2003,Brandenburg,Rural regions,Yes,0.69430,314,11529,0,0.63862,0,0.75313
2003,Brandenburg,Rural regions,No,0.30570,143,11529,0,0.27777,0,0.33690
2003,Mecklenburg-Western Pomerania,Rural regions,Yes,0.65834,168,11529,0,0.59687,0,0.72203
2003,Mecklenburg-Western Pomerania,Rural regions,No,0.34166,70,11529,0,0.29176,0,0.37861
2003,Saxony,Urban regions,Yes,0.69925,298,11529,0,0.64339,0,0.75672
2003,Saxony,Urban regions,No,0.30075,118,11529,0,0.26278,0,0.34946
2003,Saxony,Rural regions,Yes,0.74208,317,11529,0,0.68723,0,0.78796
2003,Saxony,Rural regions,No,0.25792,99,11529,0,0.23001,0,0.29236
2003,Saxony-Anhalt,Urban regions,Yes,1.00000,74,11529,0,0.87941,0,1.11475
2003,Saxony-Anhalt,Rural regions,Yes,0.69158,258,11529,0,0.63682,0,0.76120
2003,Saxony-Anhalt,Rural regions,No,0.30842,126,11529,0,0.27297,0,0.34695
2003,Thuringa,Urban regions,Yes,0.67757,103,11529,0,0.58704,0,0.81333
2003,Thuringa,Urban regions,No,0.32243,40,11529,0,0.24429,0,0.40295
2003,Thuringa,Rural regions,Yes,0.71701,248,11529,0,0.64925,0,0.77788
2003,Thuringa,Rural regions,No,0.28299,90,11529,0,0.24314,0,0.33311
2005,Schleswig-Holstein,Urban regions,Yes,0.67660,112,11023,0,0.58814,0,0.76286
2005,Schleswig-Holstein,Urban regions,No,0.32340,39,11023,0,0.26668,0,0.37785
2005,Schleswig-Holstein,Rural regions,Yes,0.68916,139,11023,0,0.60883,0,0.77797
