,Unnamed: 0,year,bula_h,sampreg,hlf0186,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,2001,Schleswig-Holstein,West,Yes,0.78923,294,11549,0.74888,0.82941
1,1,2001,Schleswig-Holstein,West,No,0.21077,67,11549,0.17891,0.23876
2,2,2001,Hamburg,West,Yes,0.66588,119,11549,0.60511,0.72107
3,3,2001,Hamburg,West,No,0.33412,60,11549,0.29566,0.37762
4,4,2001,Lower Saxony,West,Yes,0.77619,752,11549,0.73934,0.80767
5,5,2001,Lower Saxony,West,No,0.22381,196,11549,0.20634,0.23945
6,6,2001,Bremen,West,Yes,1.0,74,11549,0.90557,1.11619
7,7,2001,North Rhine-Westphalia,West,Yes,0.7612,1864,11549,0.743,0.78003
8,8,2001,North Rhine-Westphalia,West,No,0.2388,599,11549,0.22629,0.25385
9,9,2001,Hesse,West,Yes,0.79922,614,11549,0.76132,0.83657
10,10,2001,Hesse,West,No,0.20078,159,11549,0.18066,0.22311
11,11,2001,"Rhineland-Palatinate, Saarland",West,Yes,0.77414,546,11549,0.74057,0.80774
12,12,2001,"Rhineland-Palatinate, Saarland",West,No,0.22586,163,11549,0.20561,0.24547
13,13,2001,Baden-Wuerttemberg,West,Yes,0.78958,1042,11549,0.75564,0.81998
14,14,2001,Baden-Wuerttemberg,West,No,0.21042,308,11549,0.19126,0.228
15,15,2001,Bavaria,West,Yes,0.83158,1332,11549,0.80682,0.85718
16,16,2001,Bavaria,West,No,0.16842,267,11549,0.1577,0.18143
17,17,2001,Berlin,West,Yes,0.6599,176,11549,0.60982,0.71559
18,18,2001,Berlin,West,No,0.3401,94,11549,0.30305,0.37956
19,19,2001,Berlin,East,Yes,0.69405,138,11549,0.63716,0.74289
20,20,2001,Berlin,East,No,0.30595,71,11549,0.26306,0.35511
21,21,2001,Brandenburg,East,Yes,0.78264,375,11549,0.74444,0.82176
22,22,2001,Brandenburg,East,No,0.21736,122,11549,0.19535,0.24747
23,23,2001,Mecklenburg-Western Pomerania,East,Yes,0.78208,217,11549,0.7245,0.85441
24,24,2001,Mecklenburg-Western Pomerania,East,No,0.21792,66,11549,0.18604,0.24855
25,25,2001,Saxony,East,Yes,0.79685,658,11549,0.76052,0.83277
26,26,2001,Saxony,East,No,0.20315,185,11549,0.18617,0.22198
27,27,2001,Saxony-Anhalt,East,Yes,0.71638,354,11549,0.68385,0.75476
28,28,2001,Saxony-Anhalt,East,No,0.28362,147,11549,0.25555,0.31225
29,29,2001,Thuringa,East,Yes,0.76194,371,11549,0.72057,0.80697
30,30,2001,Thuringa,East,No,0.23806,119,11549,0.21053,0.27199
31,31,2003,Schleswig-Holstein,West,Yes,0.67638,265,11689,0.6244,0.72932
32,32,2003,Schleswig-Holstein,West,No,0.32362,100,11689,0.2862,0.36128
33,33,2003,Hamburg,West,Yes,0.64099,123,11689,0.55365,0.73084
34,34,2003,Hamburg,West,No,0.35901,59,11689,0.29661,0.41834
35,35,2003,Lower Saxony,West,Yes,0.70853,727,11689,0.67488,0.73991
36,36,2003,Lower Saxony,West,No,0.29147,244,11689,0.26797,0.31691
37,37,2003,Bremen,West,Yes,1.0,76,11689,0.86339,1.14075
38,38,2003,North Rhine-Westphalia,West,Yes,0.72811,1841,11689,0.70719,0.75223
39,39,2003,North Rhine-Westphalia,West,No,0.27189,632,11689,0.2597,0.2877
40,40,2003,Hesse,West,Yes,0.69579,582,11689,0.64763,0.73976
41,41,2003,Hesse,West,No,0.30421,217,11689,0.27245,0.33191
42,42,2003,"Rhineland-Palatinate, Saarland",West,Yes,0.70876,515,11689,0.67423,0.74151
43,43,2003,"Rhineland-Palatinate, Saarland",West,No,0.29124,206,11689,0.26522,0.32624
44,44,2003,Baden-Wuerttemberg,West,Yes,0.70654,1003,11689,0.67264,0.73113
45,45,2003,Baden-Wuerttemberg,West,No,0.29346,397,11689,0.2708,0.3188
46,46,2003,Bavaria,West,Yes,0.76928,1287,11689,0.73827,0.79759
47,47,2003,Bavaria,West,No,0.23072,354,11689,0.21398,0.24959
48,48,2003,Berlin,West,Yes,0.60965,174,11689,0.56095,0.65961
49,49,2003,Berlin,West,No,0.39035,102,11689,0.33725,0.44679
50,50,2003,Berlin,East,Yes,0.62595,131,11689,0.55743,0.6998
51,51,2003,Berlin,East,No,0.37405,84,11689,0.31991,0.43467
52,52,2003,Brandenburg,East,Yes,0.70372,343,11689,0.65598,0.74727
53,53,2003,Brandenburg,East,No,0.29628,150,11689,0.26808,0.32876
54,54,2003,Mecklenburg-Western Pomerania,East,Yes,0.67317,196,11689,0.60084,0.73127
55,55,2003,Mecklenburg-Western Pomerania,East,No,0.32683,81,11689,0.27788,0.37568
56,56,2003,Saxony,East,Yes,0.72158,615,11689,0.68,0.7634
57,57,2003,Saxony,East,No,0.27842,217,11689,0.25287,0.30259
58,58,2003,Saxony-Anhalt,East,Yes,0.69273,332,11689,0.65019,0.74327
59,59,2003,Saxony-Anhalt,East,No,0.30727,155,11689,0.26539,0.33941
60,60,2003,Thuringa,East,Yes,0.70595,351,11689,0.66508,0.7596
61,61,2003,Thuringa,East,No,0.29405,130,11689,0.25901,0.33648
62,62,2005,Schleswig-Holstein,West,Yes,0.68402,251,11091,0.63018,0.73887
63,63,2005,Schleswig-Holstein,West,No,0.31598,102,11091,0.27491,0.35564
64,64,2005,Hamburg,West,Yes,0.68262,128,11091,0.58192,0.76493
65,65,2005,Hamburg,West,No,0.31738,45,11091,0.25882,0.38555
66,66,2005,Lower Saxony,West,Yes,0.73043,702,11091,0.6863,0.76755
67,67,2005,Lower Saxony,West,No,0.26957,235,11091,0.24454,0.29399
68,68,2005,Bremen,West,Yes,1.0,56,11091,0.83275,1.19521
69,69,2005,North Rhine-Westphalia,West,Yes,0.70467,1680,11091,0.67998,0.72956
70,70,2005,North Rhine-Westphalia,West,No,0.29533,662,11091,0.27882,0.31199
71,71,2005,Hesse,West,Yes,0.70199,561,11091,0.65878,0.74949
72,72,2005,Hesse,West,No,0.29801,202,11091,0.26954,0.32415
73,73,2005,"Rhineland-Palatinate, Saarland",West,Yes,0.6627,453,11091,0.62112,0.70483
74,74,2005,"Rhineland-Palatinate, Saarland",West,No,0.3373,222,11091,0.30369,0.37181
