year,bula_h,rentown,hlf0186,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
2001,Schleswig-Holstein,Owner,Yes,1.00000,183,11493,1.00000,1.00000
2001,Schleswig-Holstein,Tenant,Yes,0.71077,111,11493,0.70963,0.71190
2001,Schleswig-Holstein,Tenant,No,0.28923,41,11493,0.28810,0.29037
2001,Hamburg,Owner,Yes,1.00000,34,11493,1.00000,1.00000
2001,Hamburg,Tenant,Yes,0.62799,85,11493,0.62687,0.62911
2001,Hamburg,Tenant,No,0.37201,57,11493,0.37089,0.37313
2001,Lower Saxony,Owner,Yes,0.86728,452,11493,0.86679,0.86778
2001,Lower Saxony,Owner,No,0.13272,61,11493,0.13222,0.13321
2001,Lower Saxony,Tenant,Yes,0.68220,300,11493,0.68151,0.68289
2001,Lower Saxony,Tenant,No,0.31780,135,11493,0.31711,0.31849
2001,Bremen,Owner,Yes,1.00000,34,11493,1.00000,1.00000
2001,Bremen,Tenant,Yes,1.00000,40,11493,1.00000,1.00000
2001,North Rhine-Westphalia,Owner,Yes,0.89638,910,11493,0.89604,0.89671
2001,North Rhine-Westphalia,Owner,No,0.10362,128,11493,0.10329,0.10396
2001,North Rhine-Westphalia,Tenant,Yes,0.67431,954,11493,0.67390,0.67472
2001,North Rhine-Westphalia,Tenant,No,0.32569,471,11493,0.32528,0.32610
2001,Hesse,Owner,Yes,0.93766,324,11493,0.93723,0.93808
2001,Hesse,Owner,No,0.06234,34,11493,0.06192,0.06277
2001,Hesse,Tenant,Yes,0.68644,290,11493,0.68571,0.68717
2001,Hesse,Tenant,No,0.31356,125,11493,0.31283,0.31429
2001,"Rhineland-Palatinate, Saarland",Owner,Yes,0.88171,343,11493,0.88114,0.88228
2001,"Rhineland-Palatinate, Saarland",Owner,No,0.11829,61,11493,0.11772,0.11886
2001,"Rhineland-Palatinate, Saarland",Tenant,Yes,0.64932,203,11493,0.64841,0.65022
2001,"Rhineland-Palatinate, Saarland",Tenant,No,0.35068,102,11493,0.34978,0.35159
2001,Baden-Wuerttemberg,Owner,Yes,0.89191,554,11493,0.89150,0.89232
2001,Baden-Wuerttemberg,Owner,No,0.10809,77,11493,0.10768,0.10850
2001,Baden-Wuerttemberg,Tenant,Yes,0.70096,488,11493,0.70040,0.70153
2001,Baden-Wuerttemberg,Tenant,No,0.29904,231,11493,0.29847,0.29960
2001,Bavaria,Owner,Yes,0.89885,768,11493,0.89849,0.89920
2001,Bavaria,Owner,No,0.10115,85,11493,0.10080,0.10151
2001,Bavaria,Tenant,Yes,0.76416,564,11493,0.76366,0.76466
2001,Bavaria,Tenant,No,0.23584,182,11493,0.23534,0.23634
2001,Berlin,Owner,Yes,1.00000,50,11493,1.00000,1.00000
2001,Berlin,Tenant,Yes,0.65293,264,11493,0.65220,0.65366
2001,Berlin,Tenant,No,0.34707,155,11493,0.34634,0.34780
2001,Brandenburg,Owner,Yes,0.84529,165,11493,0.84421,0.84638
2001,Brandenburg,Owner,No,0.15471,34,11493,0.15362,0.15579
2001,Brandenburg,Tenant,Yes,0.74822,210,11493,0.74726,0.74919
2001,Brandenburg,Tenant,No,0.25178,88,11493,0.25081,0.25274
2001,Mecklenburg-Western Pomerania,Owner,Yes,1.00000,84,11493,1.00000,1.00000
2001,Mecklenburg-Western Pomerania,Tenant,Yes,0.75265,133,11493,0.75150,0.75379
2001,Mecklenburg-Western Pomerania,Tenant,No,0.24735,49,11493,0.24621,0.24850
2001,Saxony,Owner,Yes,0.85600,253,11493,0.85516,0.85685
2001,Saxony,Owner,No,0.14400,53,11493,0.14315,0.14484
2001,Saxony,Tenant,Yes,0.76923,405,11493,0.76854,0.76992
2001,Saxony,Tenant,No,0.23077,132,11493,0.23008,0.23146
2001,Saxony-Anhalt,Owner,Yes,0.77962,180,11493,0.77847,0.78076
2001,Saxony-Anhalt,Owner,No,0.22038,51,11493,0.21924,0.22153
2001,Saxony-Anhalt,Tenant,Yes,0.67133,174,11493,0.67024,0.67243
2001,Saxony-Anhalt,Tenant,No,0.32867,96,11493,0.32757,0.32976
2001,Thuringa,Owner,Yes,0.86490,199,11493,0.86388,0.86592
2001,Thuringa,Owner,No,0.13510,39,11493,0.13408,0.13612
2001,Thuringa,Tenant,Yes,0.69500,172,11493,0.69389,0.69611
2001,Thuringa,Tenant,No,0.30500,80,11493,0.30389,0.30611
2003,Schleswig-Holstein,Owner,Yes,0.75123,177,11637,0.75027,0.75218
2003,Schleswig-Holstein,Owner,No,0.24877,39,11637,0.24782,0.24973
2003,Schleswig-Holstein,Tenant,Yes,0.59043,88,11637,0.58926,0.59159
2003,Schleswig-Holstein,Tenant,No,0.40957,61,11637,0.40841,0.41074
2003,Hamburg,Owner,Yes,1.00000,48,11637,1.00000,1.00000
2003,Hamburg,Tenant,Yes,0.59765,75,11637,0.59645,0.59885
2003,Hamburg,Tenant,No,0.40235,52,11637,0.40115,0.40355
2003,Lower Saxony,Owner,Yes,0.81117,477,11637,0.81062,0.81173
2003,Lower Saxony,Owner,No,0.18883,89,11637,0.18827,0.18938
2003,Lower Saxony,Tenant,Yes,0.59435,250,11637,0.59361,0.59509
2003,Lower Saxony,Tenant,No,0.40565,155,11637,0.40491,0.40639
2003,Bremen,Owner,Yes,1.00000,41,11637,1.00000,1.00000
