year,quintil_oecd_hh,rentown,hlf0186,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2001,1st Quintile,Owner,Yes,0.69462,264,385,0.64856,0.74069
2001,1st Quintile,Owner,No,0.28510,121,385,0.23995,0.33026
2001,1st Quintile,Tenant,Yes,0.46796,824,1818,0.44501,0.49090
2001,1st Quintile,Tenant,No,0.51857,994,1818,0.49559,0.54154
2001,2nd Quintile,Owner,Yes,0.83348,738,902,0.80915,0.85781
2001,2nd Quintile,Owner,No,0.15068,164,902,0.12732,0.17404
2001,2nd Quintile,Tenant,Yes,0.69823,1086,1537,0.67527,0.72119
2001,2nd Quintile,Tenant,No,0.29303,451,1537,0.27027,0.31579
2001,3rd Quintile,Owner,Yes,0.86731,1005,1157,0.84775,0.88686
2001,3rd Quintile,Owner,No,0.11665,152,1157,0.09815,0.13516
2001,3rd Quintile,Tenant,Yes,0.78013,985,1261,0.75726,0.80299
2001,3rd Quintile,Tenant,No,0.21548,276,1261,0.19278,0.23818
2001,4th Quintile,Owner,Yes,0.88176,1169,1317,0.86431,0.89920
2001,4th Quintile,Owner,No,0.10623,148,1317,0.08958,0.12288
2001,4th Quintile,Tenant,Yes,0.81743,851,1028,0.79380,0.84106
2001,4th Quintile,Tenant,No,0.17160,177,1028,0.14854,0.19465
2001,5th Quintile,Owner,Yes,0.93658,1357,1455,0.92406,0.94911
2001,5th Quintile,Owner,No,0.05748,98,1455,0.04552,0.06945
2001,5th Quintile,Tenant,Yes,0.88518,646,711,0.86173,0.90863
2001,5th Quintile,Tenant,No,0.09787,65,711,0.07601,0.11973
2003,1st Quintile,Owner,Yes,0.65004,228,350,0.59999,0.70008
2003,1st Quintile,Owner,No,0.32873,122,350,0.27945,0.37802
2003,1st Quintile,Tenant,Yes,0.38005,630,1681,0.35684,0.40326
2003,1st Quintile,Tenant,No,0.60971,1051,1681,0.58638,0.63303
2003,2nd Quintile,Owner,Yes,0.75734,618,819,0.72796,0.78671
2003,2nd Quintile,Owner,No,0.23527,201,819,0.20620,0.26433
2003,2nd Quintile,Tenant,Yes,0.63028,877,1368,0.60469,0.65587
2003,2nd Quintile,Tenant,No,0.35840,491,1368,0.33297,0.38382
2003,3rd Quintile,Owner,Yes,0.78702,825,1038,0.76210,0.81194
2003,3rd Quintile,Owner,No,0.20043,213,1038,0.17606,0.22479
2003,3rd Quintile,Tenant,Yes,0.73081,852,1176,0.70545,0.75618
2003,3rd Quintile,Tenant,No,0.26192,324,1176,0.23678,0.28706
2003,4th Quintile,Owner,Yes,0.84668,1075,1270,0.82686,0.86651
2003,4th Quintile,Owner,No,0.15010,195,1270,0.13044,0.16975
2003,4th Quintile,Tenant,Yes,0.76594,765,991,0.73956,0.79232
2003,4th Quintile,Tenant,No,0.22733,226,991,0.20122,0.25344
2003,5th Quintile,Owner,Yes,0.89448,1944,2138,0.88145,0.90750
2003,5th Quintile,Owner,No,0.09831,194,2138,0.08569,0.11093
2003,5th Quintile,Tenant,Yes,0.82790,747,879,0.80293,0.85287
2003,5th Quintile,Tenant,No,0.16369,132,879,0.13922,0.18816
2005,1st Quintile,Owner,Yes,0.54445,183,323,0.49005,0.59884
2005,1st Quintile,Owner,No,0.44289,140,323,0.38864,0.49715
2005,1st Quintile,Tenant,Yes,0.33613,547,1628,0.31317,0.35908
2005,1st Quintile,Tenant,No,0.64933,1081,1628,0.62614,0.67251
2005,2nd Quintile,Owner,Yes,0.72737,541,754,0.69556,0.75917
2005,2nd Quintile,Owner,No,0.26253,213,754,0.23110,0.29396
2005,2nd Quintile,Tenant,Yes,0.59937,773,1293,0.57265,0.62609
2005,2nd Quintile,Tenant,No,0.39019,520,1293,0.36359,0.41679
2005,3rd Quintile,Owner,Yes,0.78786,799,1011,0.76264,0.81307
2005,3rd Quintile,Owner,No,0.19939,212,1011,0.17475,0.22403
2005,3rd Quintile,Tenant,Yes,0.69500,744,1075,0.66747,0.72254
2005,3rd Quintile,Tenant,No,0.29968,331,1075,0.27228,0.32708
2005,4th Quintile,Owner,Yes,0.82776,1083,1293,0.80717,0.84835
2005,4th Quintile,Owner,No,0.16206,210,1293,0.14197,0.18216
2005,4th Quintile,Tenant,Yes,0.75153,696,909,0.72342,0.77964
2005,4th Quintile,Tenant,No,0.24694,213,909,0.21889,0.27499
2005,5th Quintile,Owner,Yes,0.90997,1791,1963,0.89731,0.92264
2005,5th Quintile,Owner,No,0.08157,172,1963,0.06946,0.09369
2005,5th Quintile,Tenant,Yes,0.86376,755,867,0.84091,0.88660
2005,5th Quintile,Tenant,No,0.13053,112,867,0.10810,0.15297
2007,1st Quintile,Owner,Yes,0.55980,182,324,0.50566,0.61394
2007,1st Quintile,Owner,No,0.39824,142,324,0.34485,0.45162
2007,1st Quintile,Tenant,Yes,0.30472,504,1619,0.28229,0.32715
2007,1st Quintile,Tenant,No,0.69003,1115,1619,0.66750,0.71257
2007,2nd Quintile,Owner,Yes,0.68100,503,735,0.64728,0.71472
2007,2nd Quintile,Owner,No,0.30471,232,735,0.27141,0.33801
2007,2nd Quintile,Tenant,Yes,0.54813,765,1354,0.52162,0.57465
2007,2nd Quintile,Tenant,No,0.43909,589,1354,0.41265,0.46553
2007,3rd Quintile,Owner,Yes,0.78647,866,1115,0.76241,0.81054
2007,3rd Quintile,Owner,No,0.20124,249,1115,0.17769,0.22478
2007,3rd Quintile,Tenant,Yes,0.67813,745,1087,0.65035,0.70592
2007,3rd Quintile,Tenant,No,0.31599,342,1087,0.28834,0.34364
2007,4th Quintile,Owner,Yes,0.82351,1161,1380,0.80339,0.84363
2007,4th Quintile,Owner,No,0.16399,219,1380,0.14444,0.18353
2007,4th Quintile,Tenant,Yes,0.73164,709,937,0.70325,0.76002
2007,4th Quintile,Tenant,No,0.25780,228,937,0.22978,0.28582
2007,5th Quintile,Owner,Yes,0.88940,1838,2021,0.87573,0.90308
2007,5th Quintile,Owner,No,0.10257,183,2021,0.08934,0.11581
2007,5th Quintile,Tenant,Yes,0.85396,691,798,0.82944,0.87848
2007,5th Quintile,Tenant,No,0.14220,107,798,0.11795,0.16645
2011,1st Quintile,Owner,Yes,0.54829,237,378,0.49805,0.59853
2011,1st Quintile,Owner,No,0.33424,141,378,0.28662,0.38186
2011,1st Quintile,Tenant,Yes,0.29014,654,1852,0.26947,0.31082
2011,1st Quintile,Tenant,No,0.55706,1198,1852,0.53443,0.57969
2011,2nd Quintile,Owner,Yes,0.70774,655,854,0.67722,0.73826
2011,2nd Quintile,Owner,No,0.19197,199,854,0.16554,0.21840
2011,2nd Quintile,Tenant,Yes,0.55516,832,1368,0.52882,0.58151
2011,2nd Quintile,Tenant,No,0.33133,536,1368,0.30638,0.35628
2011,3rd Quintile,Owner,Yes,0.77269,1026,1225,0.74921,0.79617
2011,3rd Quintile,Owner,No,0.15952,199,1225,0.13901,0.18004
2011,3rd Quintile,Tenant,Yes,0.65285,805,1136,0.62515,0.68055
2011,3rd Quintile,Tenant,No,0.27048,331,1136,0.24463,0.29632
2011,4th Quintile,Owner,Yes,0.81425,1256,1461,0.79430,0.83420
2011,4th Quintile,Owner,No,0.12094,205,1461,0.10421,0.13766
2011,4th Quintile,Tenant,Yes,0.77691,780,965,0.75063,0.80320
2011,4th Quintile,Tenant,No,0.17752,185,965,0.15340,0.20164
2011,5th Quintile,Owner,Yes,0.87831,1845,1990,0.86394,0.89268
2011,5th Quintile,Owner,No,0.08006,145,1990,0.06813,0.09199
2011,5th Quintile,Tenant,Yes,0.83319,682,775,0.80693,0.85946
2011,5th Quintile,Tenant,No,0.13038,93,775,0.10666,0.15410
2013,1st Quintile,Owner,Yes,0.49455,215,391,0.44492,0.54417
2013,1st Quintile,Owner,No,0.39007,176,391,0.34166,0.43848
2013,1st Quintile,Tenant,Yes,0.29210,806,2632,0.27472,0.30947
2013,1st Quintile,Tenant,No,0.60419,1826,2632,0.58550,0.62287
2013,2nd Quintile,Owner,Yes,0.69387,656,881,0.66341,0.72432
2013,2nd Quintile,Owner,No,0.21050,225,881,0.18356,0.23743
2013,2nd Quintile,Tenant,Yes,0.56302,1086,1900,0.54071,0.58533
2013,2nd Quintile,Tenant,No,0.34994,814,1900,0.32849,0.37139
2013,3rd Quintile,Owner,Yes,0.77263,1059,1293,0.74978,0.79549
2013,3rd Quintile,Owner,No,0.16109,234,1293,0.14105,0.18114
2013,3rd Quintile,Tenant,Yes,0.65315,926,1323,0.62749,0.67881
2013,3rd Quintile,Tenant,No,0.28532,397,1323,0.26098,0.30966
2013,4th Quintile,Owner,Yes,0.83796,1288,1485,0.81921,0.85671
2013,4th Quintile,Owner,No,0.11540,197,1485,0.09915,0.13166
2013,4th Quintile,Tenant,Yes,0.77037,879,1092,0.74541,0.79533
2013,4th Quintile,Tenant,No,0.18296,213,1092,0.16002,0.20590
2013,5th Quintile,Owner,Yes,0.88963,1887,2018,0.87596,0.90331
2013,5th Quintile,Owner,No,0.06753,131,2018,0.05658,0.07848
2013,5th Quintile,Tenant,Yes,0.83652,740,840,0.81149,0.86154
2013,5th Quintile,Tenant,No,0.13410,100,840,0.11104,0.15716
2015,1st Quintile,Owner,Yes,0.62973,272,479,0.58644,0.67302
2015,1st Quintile,Owner,No,0.34004,207,479,0.29758,0.38251
2015,1st Quintile,Tenant,Yes,0.34844,917,3038,0.33149,0.36539
2015,1st Quintile,Tenant,No,0.64372,2121,3038,0.62669,0.66075
2015,2nd Quintile,Owner,Yes,0.78175,783,1075,0.75704,0.80645
2015,2nd Quintile,Owner,No,0.20238,292,1075,0.17835,0.22641
2015,2nd Quintile,Tenant,Yes,0.59376,1273,2281,0.57360,0.61392
2015,2nd Quintile,Tenant,No,0.39996,1008,2281,0.37985,0.42007
2015,3rd Quintile,Owner,Yes,0.81387,1145,1427,0.79367,0.83407
2015,3rd Quintile,Owner,No,0.17891,282,1427,0.15902,0.19881
2015,3rd Quintile,Tenant,Yes,0.68688,1090,1569,0.66392,0.70983
2015,3rd Quintile,Tenant,No,0.29946,479,1569,0.27679,0.32213
2015,4th Quintile,Owner,Yes,0.87477,1433,1641,0.85875,0.89079
2015,4th Quintile,Owner,No,0.11965,208,1641,0.10394,0.13536
2015,4th Quintile,Tenant,Yes,0.79031,934,1176,0.76704,0.81359
2015,4th Quintile,Tenant,No,0.20019,242,1176,0.17731,0.22307
2015,5th Quintile,Owner,Yes,0.93564,1946,2073,0.92508,0.94621
2015,5th Quintile,Owner,No,0.06286,127,2073,0.05241,0.07331
2015,5th Quintile,Tenant,Yes,0.89313,803,899,0.87292,0.91334
