year,quintil_oecd_hh,sampreg,hlf0186,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
2001,1st Quintile,West,Yes,0.07437474730084628,743,11678,0.07429126872183534,0.07445822587985723
2001,1st Quintile,West,No,0.0741242851130421,759,11678,0.07404093593824278,0.07420763428784143
2001,1st Quintile,East,Yes,0.028071132924535502,340,11678,0.028018580602525097,0.028123685246545908
2001,1st Quintile,East,No,0.02259672251984768,340,11678,0.022549439596376442,0.022644005443318915
2001,2nd Quintile,West,Yes,0.10921462606804934,1215,11678,0.10911538952217002,0.10931386261392866
2001,2nd Quintile,West,No,0.03903984519482272,447,11678,0.03897822097519173,0.03910146941445371
2001,2nd Quintile,East,Yes,0.04119276317232542,596,11678,0.041129533517180406,0.04125599282747043
2001,2nd Quintile,East,No,0.011307639681798896,185,11678,0.011273999272682862,0.01134128009091493
2001,3rd Quintile,West,Yes,0.1290524775293868,1440,11678,0.1289458120557113,0.12915914300306233
2001,3rd Quintile,West,No,0.028918015100694906,326,11678,0.02886469918313291,0.028971331018256902
2001,3rd Quintile,East,Yes,0.03759529721195877,577,11678,0.037534778409098773,0.037655816014818766
2001,3rd Quintile,East,No,0.0053128155384763185,99,11678,0.005289686886085824,0.005335944190866813
2001,4th Quintile,West,Yes,0.1484726984278836,1631,11678,0.14835957116270862,0.1485858256930586
2001,4th Quintile,West,No,0.024760823350722827,264,11678,0.024711382855811582,0.024810263845634072
2001,4th Quintile,East,Yes,0.023350267395040935,388,11678,0.02330222108428772,0.02339831370579415
2001,4th Quintile,East,No,0.003640046967014492,63,11678,0.0036208864896707968,0.0036592074443581872
2001,5th Quintile,West,Yes,0.1732243077819823,1784,11678,0.17310390321336017,0.17334471235060445
2001,5th Quintile,West,No,0.012895085769708098,140,11678,0.01285919039645974,0.012930981142956457
2001,5th Quintile,East,Yes,0.012856402951863077,212,11678,0.012820560756443096,0.012892245147283059
2003,1st Quintile,West,Yes,0.06668261476152648,597,11800,0.06660389111855781,0.06676133840449515
2003,1st Quintile,West,No,0.08489815588652996,788,11800,0.08481019936648983,0.0849861124065701
2003,1st Quintile,East,Yes,0.020033565823538567,247,11800,0.01998935089539225,0.020077780751684884
2003,1st Quintile,East,No,0.02770489569664249,365,11800,0.027653103837142652,0.02775668755614233
2003,2nd Quintile,West,Yes,0.09829994382280531,958,11800,0.09820599488422761,0.09839389276138301
2003,2nd Quintile,West,No,0.050363660255693485,505,11800,0.05029464875043924,0.05043267176094773
2003,2nd Quintile,East,Yes,0.03812917261005922,544,11800,0.03806874001248223,0.038189605207636215
2003,2nd Quintile,East,No,0.013157508496302229,190,11800,0.01312155054459659,0.013193466448007868
2003,3rd Quintile,West,Yes,0.11772913453980356,1200,11800,0.11762743309108042,0.1178308359885267
2003,3rd Quintile,West,No,0.03979625543059124,421,11800,0.039734569375532006,0.03985794148565047
2003,3rd Quintile,East,Yes,0.03465518350058769,492,11800,0.034597465732271876,0.0347129012689035
2003,3rd Quintile,East,No,0.007707933555229205,136,11800,0.007680335852305751,0.0077355312581526585
2003,4th Quintile,West,Yes,0.1398935068966987,1464,11800,0.13978404597859256,0.1400029678148048
2003,4th Quintile,West,No,0.031614522306351436,337,11800,0.03155930799744304,0.03166973661525983
2003,4th Quintile,East,Yes,0.023098918581070355,373,11800,0.023051515637162776,0.023146321524977934
2003,4th Quintile,East,No,0.005859730538545599,81,11800,0.00583564552747024,0.005883815549620959
2003,5th Quintile,West,Yes,0.16077548464367974,2374,11800,0.16065957136525186,0.16089139792210763
2003,5th Quintile,West,No,0.02327305636519024,281,11800,0.023225479317469988,0.02332063341291049
2003,5th Quintile,East,Yes,0.01407659035104512,312,11800,0.014039415047778886,0.014113765654311354
2003,5th Quintile,East,No,0.002250165938109331,45,11800,0.0022352138344263915,0.00226511804179227
2005,1st Quintile,West,Yes,0.057005406752422653,507,11196,0.05693244861845528,0.05707836488639003
2005,1st Quintile,West,No,0.08940736706526897,789,11196,0.08931758081989977,0.08949715331063818
2005,1st Quintile,East,Yes,0.01815455513828364,222,11196,0.018112542934602127,0.018196567341965154
2005,1st Quintile,East,No,0.03423909677763511,418,11196,0.03418187556573465,0.03429631798953558
2005,2nd Quintile,West,Yes,0.09313345270945249,847,11196,0.09304200230413939,0.09322490311476558
2005,2nd Quintile,West,No,0.05577086431946393,541,11196,0.05569865329972787,0.05584307533919999
2005,2nd Quintile,East,Yes,0.036218166994788165,476,11196,0.036159375609548176,0.03627695838002815
2005,2nd Quintile,East,No,0.01527939977869119,210,11196,0.015240801249982484,0.015317998307399897
2005,3rd Quintile,West,Yes,0.11633341108771791,1077,11196,0.11623251889970919,0.11643430327572664
2005,3rd Quintile,West,No,0.04491632614667779,423,11196,0.04485115071507054,0.04498150157828504
