,Unnamed: 0,year,bula_h,hlf0186,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,2001,Schleswig-Holstein,Yes,0.78923,294,11549,0.74232,0.83498
1,1,2001,Schleswig-Holstein,No,0.21077,67,11549,0.18809,0.24076
2,2,2001,Hamburg,Yes,0.66588,119,11549,0.60601,0.73809
3,3,2001,Hamburg,No,0.33412,60,11549,0.28977,0.37916
4,4,2001,Lower Saxony,Yes,0.77619,752,11549,0.74074,0.80177
5,5,2001,Lower Saxony,No,0.22381,196,11549,0.20672,0.24269
6,6,2001,Bremen,Yes,1.0,74,11549,0.89682,1.10395
7,7,2001,North Rhine-Westphalia,Yes,0.7612,1864,11549,0.73982,0.7839
8,8,2001,North Rhine-Westphalia,No,0.2388,599,11549,0.22604,0.25158
9,9,2001,Hesse,Yes,0.79922,614,11549,0.76202,0.83506
10,10,2001,Hesse,No,0.20078,159,11549,0.18121,0.22059
11,11,2001,"Rhineland-Palatinate, Saarland",Yes,0.77414,546,11549,0.73336,0.8128
12,12,2001,"Rhineland-Palatinate, Saarland",No,0.22586,163,11549,0.20652,0.24472
13,13,2001,Baden-Wuerttemberg,Yes,0.78958,1042,11549,0.75863,0.8231
14,14,2001,Baden-Wuerttemberg,No,0.21042,308,11549,0.19363,0.22968
15,15,2001,Bavaria,Yes,0.83158,1332,11549,0.80732,0.85723
16,16,2001,Bavaria,No,0.16842,267,11549,0.1561,0.18168
17,17,2001,Berlin,Yes,0.67274,314,11549,0.63429,0.7093
18,18,2001,Berlin,No,0.32726,165,11549,0.29579,0.34921
19,19,2001,Brandenburg,Yes,0.78264,375,11549,0.74135,0.82408
20,20,2001,Brandenburg,No,0.21736,122,11549,0.19461,0.24102
21,21,2001,Mecklenburg-Western Pomerania,Yes,0.78208,217,11549,0.7288,0.84267
22,22,2001,Mecklenburg-Western Pomerania,No,0.21792,66,11549,0.18859,0.25158
23,23,2001,Saxony,Yes,0.79685,658,11549,0.7668,0.82829
24,24,2001,Saxony,No,0.20315,185,11549,0.18513,0.22114
25,25,2001,Saxony-Anhalt,Yes,0.71638,354,11549,0.68257,0.75828
26,26,2001,Saxony-Anhalt,No,0.28362,147,11549,0.25721,0.31119
27,27,2001,Thuringa,Yes,0.76194,371,11549,0.71518,0.81435
28,28,2001,Thuringa,No,0.23806,119,11549,0.20632,0.26912
29,29,2003,Schleswig-Holstein,Yes,0.67638,265,11689,0.62795,0.72221
30,30,2003,Schleswig-Holstein,No,0.32362,100,11689,0.2909,0.35546
31,31,2003,Hamburg,Yes,0.64099,123,11689,0.55281,0.7393
32,32,2003,Hamburg,No,0.35901,59,11689,0.31009,0.40539
33,33,2003,Lower Saxony,Yes,0.70853,727,11689,0.67451,0.74486
34,34,2003,Lower Saxony,No,0.29147,244,11689,0.27096,0.3139
35,35,2003,Bremen,Yes,1.0,76,11689,0.86517,1.14538
36,36,2003,North Rhine-Westphalia,Yes,0.72811,1841,11689,0.70603,0.75089
37,37,2003,North Rhine-Westphalia,No,0.27189,632,11689,0.25787,0.28781
38,38,2003,Hesse,Yes,0.69579,582,11689,0.64652,0.75065
39,39,2003,Hesse,No,0.30421,217,11689,0.27714,0.33262
40,40,2003,"Rhineland-Palatinate, Saarland",Yes,0.70876,515,11689,0.66729,0.7534
41,41,2003,"Rhineland-Palatinate, Saarland",No,0.29124,206,11689,0.26656,0.31941
42,42,2003,Baden-Wuerttemberg,Yes,0.70654,1003,11689,0.67134,0.74423
43,43,2003,Baden-Wuerttemberg,No,0.29346,397,11689,0.2713,0.31381
44,44,2003,Bavaria,Yes,0.76928,1287,11689,0.73283,0.80081
45,45,2003,Bavaria,No,0.23072,354,11689,0.21376,0.2475
46,46,2003,Berlin,Yes,0.61601,305,11689,0.57047,0.65572
47,47,2003,Berlin,No,0.38399,186,11689,0.34692,0.41848
48,48,2003,Brandenburg,Yes,0.70372,343,11689,0.65226,0.75138
49,49,2003,Brandenburg,No,0.29628,150,11689,0.26418,0.32784
50,50,2003,Mecklenburg-Western Pomerania,Yes,0.67317,196,11689,0.61811,0.73358
51,51,2003,Mecklenburg-Western Pomerania,No,0.32683,81,11689,0.28454,0.38078
52,52,2003,Saxony,Yes,0.72158,615,11689,0.68312,0.75867
53,53,2003,Saxony,No,0.27842,217,11689,0.25572,0.30059
54,54,2003,Saxony-Anhalt,Yes,0.69273,332,11689,0.64754,0.73545
