"hlf0186","year","quintil","regtyp","n","percent","lower_confidence","upper_confidence"
"Ja","2001","1","Staedtischer Raum","2113","0.505695748673957","0.490680376709539","0.520711120638374"
"Ja","2001","1","Laendlicher Raum","1598","0.559636438287237","0.541571648740885","0.577701227833588"
"Ja","2001","2","Staedtischer Raum","3488","0.74348218897472","0.730923356163932","0.756041021785508"
"Ja","2001","2","Laendlicher Raum","2267","0.77469211869121","0.759572361383115","0.789811875999305"
"Ja","2001","3","Staedtischer Raum","3444","0.832740780217644","0.821392957907426","0.844088602527862"
"Ja","2001","3","Laendlicher Raum","1868","0.884873441414103","0.871248296522785","0.898498586305421"
"Ja","2001","4","Staedtischer Raum","2939","0.88484368791496","0.873959269603569","0.895728106226351"
"Ja","2001","4","Laendlicher Raum","1193","0.905662876177344","0.889852568318766","0.921473184035921"
"Ja","2001","5","Staedtischer Raum","2043","0.922330414116115","0.911216699066124","0.933444129166105"
"Ja","2001","5","Laendlicher Raum","557","0.912233519120056","0.889960986597893","0.93450605164222"
"Nein","2001","1","Staedtischer Raum","2146","0.494304251326043","0.479288879361626","0.509319623290461"
"Nein","2001","1","Laendlicher Raum","1303","0.440363561712763","0.422298772166412","0.458428351259115"
"Nein","2001","2","Staedtischer Raum","1157","0.25651781102528","0.243958978214492","0.269076643836068"
"Nein","2001","2","Laendlicher Raum","666","0.22530788130879","0.210188124000695","0.240427638616885"
"Nein","2001","3","Staedtischer Raum","711","0.167259219782356","0.155911397472138","0.178607042092574"
"Nein","2001","3","Laendlicher Raum","240","0.115126558585897","0.101501413694579","0.128751703477215"
"Nein","2001","4","Staedtischer Raum","365","0.11515631208504","0.104271893773649","0.126040730396431"
"Nein","2001","4","Laendlicher Raum","120","0.0943371238226565","0.0785268159640794","0.110147431681234"
"Nein","2001","5","Staedtischer Raum","185","0.0776695858838853","0.0665558708338947","0.0887833009338758"
"Nein","2001","5","Laendlicher Raum","63","0.0877664808799435","0.0654939483577803","0.110039013402107"
"Ja","2002","1","Staedtischer Raum","","","",""
"Ja","2002","1","Laendlicher Raum","","","",""
"Ja","2002","2","Staedtischer Raum","","","",""
"Ja","2002","2","Laendlicher Raum","","","",""
"Ja","2002","3","Staedtischer Raum","","","",""
"Ja","2002","3","Laendlicher Raum","","","",""
"Ja","2002","4","Staedtischer Raum","","","",""
"Ja","2002","4","Laendlicher Raum","","","",""
"Ja","2002","5","Staedtischer Raum","","","",""
"Ja","2002","5","Laendlicher Raum","","","",""
"Nein","2002","1","Staedtischer Raum","","","",""
"Nein","2002","1","Laendlicher Raum","","","",""
"Nein","2002","2","Staedtischer Raum","","","",""
"Nein","2002","2","Laendlicher Raum","","","",""
"Nein","2002","3","Staedtischer Raum","","","",""
"Nein","2002","3","Laendlicher Raum","","","",""
"Nein","2002","4","Staedtischer Raum","","","",""
"Nein","2002","4","Laendlicher Raum","","","",""
"Nein","2002","5","Staedtischer Raum","","","",""
"Nein","2002","5","Laendlicher Raum","","","",""
"Ja","2003","1","Staedtischer Raum","1321","0.395663556924608","0.379226992360867","0.41210012148835"
"Ja","2003","1","Laendlicher Raum","1111","0.478483728972591","0.458099616256988","0.498867841688194"
"Ja","2003","2","Staedtischer Raum","2515","0.646369961488311","0.631148945473062","0.66159097750356"
"Ja","2003","2","Laendlicher Raum","1591","0.688327353566716","0.669319533730686","0.707335173402746"
"Ja","2003","3","Staedtischer Raum","3032","0.762035812920242","0.748739125112211","0.775332500728273"
"Ja","2003","3","Laendlicher Raum","1698","0.775320803805989","0.757670462738615","0.792971144873363"
"Ja","2003","4","Staedtischer Raum","3327","0.826307197855754","0.814648211432203","0.837966184279304"
"Ja","2003","4","Laendlicher Raum","1522","0.860440027875683","0.844232134347601","0.876647921403764"
"Ja","2003","5","Staedtischer Raum","3496","0.90709712307174","0.897901024817914","0.916293221325565"
"Ja","2003","5","Laendlicher Raum","937","0.860203166674212","0.839218139672177","0.881188193676247"
"Nein","2003","1","Staedtischer Raum","2079","0.604336443075392","0.58789987851165","0.620773007639133"
"Nein","2003","1","Laendlicher Raum","1196","0.521516271027409","0.501132158311806","0.541900383743012"
"Nein","2003","2","Staedtischer Raum","1275","0.353630038511689","0.33840902249644","0.368851054526938"
"Nein","2003","2","Laendlicher Raum","690","0.311672646433284","0.292664826597254","0.330680466269314"
"Nein","2003","3","Staedtischer Raum","908","0.237964187079758","0.224667499271727","0.251260874887789"
"Nein","2003","3","Laendlicher Raum","450","0.224679196194011","0.207028855126637","0.242329537261385"
"Nein","2003","4","Staedtischer Raum","729","0.173692802144246","0.162033815720696","0.185351788567796"
"Nein","2003","4","Laendlicher Raum","234","0.139559972124317","0.123352078596236","0.155767865652399"
"Nein","2003","5","Staedtischer Raum","332","0.0929028769282601","0.0837067786744347","0.102098975182086"
"Nein","2003","5","Laendlicher Raum","112","0.139796833325788","0.118811806323752","0.160781860327823"
"Ja","2004","1","Staedtischer Raum","","","",""
"Ja","2004","1","Laendlicher Raum","","","",""
"Ja","2004","2","Staedtischer Raum","","","",""
"Ja","2004","2","Laendlicher Raum","","","",""
"Ja","2004","3","Staedtischer Raum","","","",""
"Ja","2004","3","Laendlicher Raum","","","",""
"Ja","2004","4","Staedtischer Raum","","","",""
"Ja","2004","4","Laendlicher Raum","","","",""
"Ja","2004","5","Staedtischer Raum","","","",""
"Ja","2004","5","Laendlicher Raum","","","",""
"Nein","2004","1","Staedtischer Raum","","","",""
"Nein","2004","1","Laendlicher Raum","","","",""
"Nein","2004","2","Staedtischer Raum","","","",""
"Nein","2004","2","Laendlicher Raum","","","",""
"Nein","2004","3","Staedtischer Raum","","","",""
"Nein","2004","3","Laendlicher Raum","","","",""
"Nein","2004","4","Staedtischer Raum","","","",""
"Nein","2004","4","Laendlicher Raum","","","",""
"Nein","2004","5","Staedtischer Raum","","","",""
"Nein","2004","5","Laendlicher Raum","","","",""
"Ja","2005","1","Staedtischer Raum","1148","0.341697817752295","0.325151043428728","0.358244592075862"
"Ja","2005","1","Laendlicher Raum","850","0.389022660811587","0.368510178219928","0.409535143403246"
"Ja","2005","2","Staedtischer Raum","2081","0.60664346469659","0.590187297120937","0.623099632272242"
"Ja","2005","2","Laendlicher Raum","1413","0.666041633987719","0.645625758281466","0.686457509693971"
"Ja","2005","3","Staedtischer Raum","2641","0.738381525142422","0.723968107145903","0.752794943138942"
"Ja","2005","3","Laendlicher Raum","1493","0.758802348810333","0.739735859839416","0.77786883778125"
"Ja","2005","4","Staedtischer Raum","3068","0.811658118778296","0.799179117035303","0.824137120521289"
"Ja","2005","4","Laendlicher Raum","1362","0.815892617703249","0.797287501175095","0.834497734231404"
"Ja","2005","5","Staedtischer Raum","3422","0.910996760473113","0.901859904270482","0.920133616675744"
"Ja","2005","5","Laendlicher Raum","992","0.90113147443469","0.883296805022932","0.918966143846448"
"Nein","2005","1","Staedtischer Raum","2008","0.658302182247705","0.641755407924138","0.674848956571272"
"Nein","2005","1","Laendlicher Raum","1320","0.610977339188413","0.590464856596754","0.631489821780072"
"Nein","2005","2","Staedtischer Raum","1304","0.39335653530341","0.376900367727758","0.409812702879063"
"Nein","2005","2","Laendlicher Raum","637","0.333958366012281","0.313542490306029","0.354374241718534"
"Nein","2005","3","Staedtischer Raum","931","0.261618474857578","0.247205056861058","0.276031892854097"
"Nein","2005","3","Laendlicher Raum","441","0.241197651189667","0.22213116221875","0.260264140160584"
"Nein","2005","4","Staedtischer Raum","703","0.188341881221704","0.175862879478711","0.200820882964697"
"Nein","2005","4","Laendlicher Raum","305","0.184107382296751","0.165502265768596","0.202712498824906"
"Nein","2005","5","Staedtischer Raum","309","0.0890032395268873","0.0798663833242563","0.0981400957295183"
"Nein","2005","5","Laendlicher Raum","84","0.0988685255653099","0.0810338561535517","0.116703194977068"
"Ja","2006","1","Staedtischer Raum","","","",""
"Ja","2006","1","Laendlicher Raum","","","",""
"Ja","2006","2","Staedtischer Raum","","","",""
"Ja","2006","2","Laendlicher Raum","","","",""
"Ja","2006","3","Staedtischer Raum","","","",""
"Ja","2006","3","Laendlicher Raum","","","",""
"Ja","2006","4","Staedtischer Raum","","","",""
"Ja","2006","4","Laendlicher Raum","","","",""
"Ja","2006","5","Staedtischer Raum","","","",""
"Ja","2006","5","Laendlicher Raum","","","",""
"Nein","2006","1","Staedtischer Raum","","","",""
"Nein","2006","1","Laendlicher Raum","","","",""
"Nein","2006","2","Staedtischer Raum","","","",""
"Nein","2006","2","Laendlicher Raum","","","",""
"Nein","2006","3","Staedtischer Raum","","","",""
"Nein","2006","3","Laendlicher Raum","","","",""
