"year","mean","median","n","percentile_10","percentile_25","percentile_75","percentile_90","percentile_99","lower_confidence_mean","upper_confidence_mean","minimum","maximum","lower_confidence_median","upper_confidence_median"
"2006","7.44","7.5","21843","5","6","9","10","10","7.42","7.46","0","10","8","8"
"2007","","","","","","","","","","","","","",""
"2008","","","","","","","","","","","","","",""
"2009","","","","","","","","","","","","","",""
"2010","","","","","","","","","","","","","",""
"2011","7.57","7.5","25676","5","7","9","10","10","7.55","7.59","0","10","8","8"
"2012","","","","","","","","","","","","","",""
"2013","","","","","","","","","","","","","",""
"2014","","","","","","","","","","","","","",""
"2015","","","","","","","","","","","","","",""
"2016","7.63","7.5","24017","5","7","9","10","10","7.61","7.65","0","10","8","8"
