year,regtyp,sex,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence,n
1984,-1,maennlich,2.1151473583556877,2.0891142329283103,2.141180483783065,1.0,2.0,2.0,1.0,3.5,2.0,2.0,2.0,3626.0
1984,-1,weiblich,2.0401200986886856,2.0171255060611095,2.0631146913162617,1.0,2.0,2.0,1.0,3.5,2.0,2.0,2.0,3670.0
1985,Staedtischer Raum,maennlich,1.5704765369267584,1.5436676920691474,1.5972853817843693,0.0,1.0,2.0,0.0,5.0,1.0,1.0,1.0,4127.0
1985,Staedtischer Raum,weiblich,1.6472591186100847,1.6199335065885625,1.6745847306316068,0.0,1.0,2.0,0.0,5.0,1.0,1.0,1.0,4289.0
1985,Laendlicher Raum,maennlich,1.4551424084815359,1.408826395338665,1.5014584216244067,0.0,1.0,2.0,0.0,5.0,1.0,1.0,1.0,1110.0
1985,Laendlicher Raum,weiblich,1.5477800937574864,1.5054532823490268,1.590106905165946,0.0,1.0,2.0,0.0,5.0,1.0,1.0,1.0,1179.0
1986,Staedtischer Raum,maennlich,1.4968519089024952,1.4710654955235836,1.5226383222814068,0.0,1.0,2.0,0.0,5.0,1.0,1.0,1.0,4001.0
1986,Staedtischer Raum,weiblich,1.5343821799559911,1.5085767769557938,1.5601875829561884,0.0,1.0,2.0,0.0,5.0,1.0,1.0,1.0,4081.0
1986,Laendlicher Raum,maennlich,1.3379777171860892,1.2991989346717374,1.376756499700441,0.0,1.0,2.0,0.0,5.0,1.0,1.0,1.0,1073.0
1986,Laendlicher Raum,weiblich,1.5546281062536402,1.5097077047359047,1.5995485077713758,0.0,1.0,2.0,0.0,5.0,1.0,1.0,1.0,1133.0
1987,Staedtischer Raum,maennlich,1.5264982443598731,1.4991589448867753,1.553837543832971,0.0,1.0,2.0,0.0,5.0,1.0,1.0,1.0,3993.0
1987,Staedtischer Raum,weiblich,1.6208255724311418,1.593001685131966,1.6486494597303176,0.0,1.0,2.0,0.0,5.0,1.0,1.0,1.0,4025.0
1987,Laendlicher Raum,maennlich,1.3357010274654366,1.295373681862429,1.3760283730684442,0.0,1.0,2.0,0.0,5.0,1.0,1.0,1.0,1056.0
1987,Laendlicher Raum,weiblich,1.4190745239107312,1.3813607729474977,1.4567882748739647,0.0,1.0,2.0,0.0,5.0,1.0,1.0,1.0,1108.0
